id,desc
1,Complete 1 battle in Tests
2,Engage 5 battles in Junior Varsity
3,Complete Daily Quiz 6 times
4,Consume 500 Gems in game
5,Login for 5 Days
6,Consume 2000 Gems
7,Pull Slot Machine 400 times
8,Pull Slot Machine 800 times
9,Draw 200 Adv. Capsules
10,Draw 500 Adv. Capsules
11,Enroll 40 times
12,Enroll 80 times
13,Acquire a 5-star Girl
14,Acquire a 6-star Girl
15,Consume 1000 Elemental Orbs
16,Consume 2000 Elemental Orbs
17,Use 30 Rudders in total
18,Use 75 Rudders in total
