id,mission_des
1,Use Alchemy once to get Coins
2,Use Normal Slot Machine twice
3,Complete 2 Internships Tasks
4,Craft 3 Gear in Forge.
5,Draw 1 Regular Capsule
6,Draw 1 Adv. Capsule\n(≠ Wish Capsule)
7,Finish 3 Junior Varsity battles
8,Collect Auto-Battle Loot 5 times in Campaign
9,Clear 2 Quizzes in Daily Quiz
10,Send out 5 Hearts
11,Complete all Daily Tasks
12,Win 15 battles in Junior Varsity
13,"Graduate, Awake or Limit-Break girls for 10 times"
14,Fight in 2 Illusions of Sanctuary
15,Defeat 1 Friend Boss
16,Complete three 5/6/7 star Internship tasks
17,Increase 10 Comfort Points for your Dorm
18,Complete all Daily Tasks for 7 continuous days
19,Get a 10-Star Girl
20,Get 3 skins
21,Upgrade Antique for 10 times
22,Finish 5 7-Star Quests in Internship
23,Win 150 battles in Junior Varsity
24,Use 30 Seals
25,Craft 15 Gears in Forge.
26,Acquire resource 1 time in Dorm
