id,desc
1,Pass Chapter 1 in Campaign
2,Forge 1 Gear
3,Level up a girl to Lv. 30
4,Make a friend
5,Say something in Chat
6,Change Background
7,Draw 1 time from Slot Machine
8,Engage 1 battle in Junior Varsity
9,Join or Create a Guild
10,Pass Stage 1 in Tests
11,不顯示
12,Log in for 3 consecutive days
13,Pass Chapter 7 in Campaign
14,Reach Player Level 50
15,Level up a girl to Lv. 100
16,Draw 10 times from Adv. Capsule Machine
17,Enroll 1 time
18,Complete 1 battle in Sanctuary
19,Pass Stage 10 in Tests
20,Complete 1 Internship Quest
21,不顯示
22,Equip a girl with a skin
23,Log in the game in 7 consecutive days
24,Pass Chapter 10 in Campaign
25,Acquire 1 6-star girl
26,Draw 10 times from High Stake Slot Machine
27,Engage 1 battle in Varsity
28,Engage 1 battle in Elite League
29,Complete 1 Character Challenge
30,Tame 1 Servant
31,Have a battle in Patrol
32,不顯示
33,Pass Chapter 5 in Campaign
