id,get_chapter,get_banner,get_cover_url,time
1,Episode 1,https://mhome.carolgames.com/assets/img/upload/115/banner1.png?,https://mhome.carolgames.com/assets/img/upload/115/cover_001.png?width=200&height=182,0
2,Episode 2,https://mhome.carolgames.com/assets/img/upload/115/banner_002.png?width=500&height=200,https://mhome.carolgames.com/assets/img/upload/115/cover_002.png?width=500&height=200,0
3,Episode 3,https://mhome.carolgames.com/assets/img/upload/115/banner_003.png?width=226&height=206,https://mhome.carolgames.com/assets/img/upload/115/cover_003.png?width=200&height=182,1538697600
4,Episode 4,https://mhome.carolgames.com/assets/img/upload/115/banner_004.png?width=226&height=206,https://mhome.carolgames.com/assets/img/upload/115/cover_004.png?width=200&height=182,0
5,Episode 5,https://mhome.carolgames.com/assets/img/upload/115/banner_005.png?width=226&height=206,https://mhome.carolgames.com/assets/img/upload/115/cover_005.png?width=200&height=182,0
6,Episode 6,https://mhome.carolgames.com/assets/img/upload/115/banner_006.png?width=226&height=206,https://mhome.carolgames.com/assets/img/upload/115/cover_006.png?width=200&height=182,0
7,Episode 7,https://mhome.carolgames.com/assets/img/upload/115/banner_007.png?width=226&height=206,https://mhome.carolgames.com/assets/img/upload/115/cover_007.png?width=200&height=182,0
8,Episode 8,https://mhome.carolgames.com/assets/img/upload/115/banner_008.png?width=226&height=206,https://mhome.carolgames.com/assets/img/upload/115/cover_008.png?width=200&height=182,0
9,Episode 9,https://mhome.carolgames.com/assets/img/upload/115/banner_009.png?width=226&height=206,https://mhome.carolgames.com/assets/img/upload/115/cover_009.png?width=200&height=182,0
10,Episode 10,https://mhome.carolgames.com/assets/img/upload/115/banner_010.png?width=226&height=206,https://mhome.carolgames.com/assets/img/upload/115/cover_010.png?width=200&height=182,0
11,Episode 11,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/banner_011g.png?width=226&height=206,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/cover_011g1.png?width=200&height=182,0
