id,desc
1,
2,
3,
101,
102,
103,
201,"Tap here to adjust the Outfit your character equips, some Outfit pieces have more than 1 style to choose from."
202,You will benefit from the attribute bonuses of the obtained Outfit pieces without putting them on. Tap here for more details.
203,Special Bonuses can also be unlocked by collecting Outfit pieces. Tap here to check out the unlocked Special Bonus(es).
204,You can check out the obtained Outfit pieces and upgrade them.
205,Tap here to check the rules. You can find the answers to your questions here!
