id,name,remark,desc,is_guide,level
1,Market,Market,,,0
2,Girls,Girls,,,0
3,Bag,Bag,,,0
4,Quiz,Quiz,,,0
5,Trophy,Trophy,,,0
6,Forge,Gear Forge,,,0
7,Recharge,Recharge,,,0
8,Transfer,Transfer,,,0
9,Graduate,Progress,,,0
10,Capsule,Capsule,,,0
11,Slot Machine,Slot Machine,Obtain rewards in Lottery.,1,14
12,Super Slot Machine,Super Slot Machine,,,80
13,Fantasy Book,Fantasy Book,Complete the tasks to win rewards!,1,17
14,Junior Varsity,Junior Varsity,Fight with other players in Junior Varsity and win additional rewards!,1,18
15,Test,Test,Great rewards waiting for you in Test.,1,24
16,Enroll,Enroll,Enroll the girls in certain faction.,1,25
17,Internship,Internship,Send your girls in internship for rewards.,1,28
18,Sanctuary,Sanctuary,The battle from the past awaits,,40
19,Patrol,Patrol,Assemble!\nNeutralize Threat.,,72
20,Mail,Mail,,,0
21,Friends,Friends,,,0
22,Guild,Guild,Create or join a guild with your friends.,1,21
23,Ace League,Ace League,Show your true strength! Full Attack!,,50
24,Skin,Skin,You can view the Girl's new skin here,,29
25,Elite League,Elite League,Form teams with trustworthy friends,,60
26,Manga,Manga,Find out interesting stories about the Girls,,30
27,Character Srory,Character Srory,,,0
28,Servant,Servant,Taming and training Servants can be make your team stronger.,1,70
29,Quiz,Quiz,Daily Quiz,,20
30,Exclusives,Exclusives,,,0
31,Character Challenge,Character Challenge,Pass special challenges to learn more\nabout the Girls' backstories!,,75
32,Security Squad,Security Squad,Defeat Chaos\nwith trusted friends,,90
33,Change Wallpaper,Change Wallpaper,,,0
34,Ultimate League,Ultimate League,Become the Champion!,,90
35,House Exams,House Exams,Complete House Exams\nto become stronger,,90
36,Guild,Guild,Create or join a guild with your friends.,1,21
37,Guidance,,,,
38,Soulbound,,,,
39,Old Campus Exploration,Old Campus Exploration,Create your plan and discover secrets!,1,88
40,Excursion,School Excursion,Prepare for the excursion and experience something new!,1,78
41,Chat,Chat,"Join the Chatroom and make friends, Senpai!",,999
45,Outfit,Outfit,Adjust your Outfits in the Locker Room!,1,0
