id,name,charge_ios,charge,currency,show_name
1,Monthly Pass,14.99,14.99,$,Monthly Pass
2,Mini Pass,4.99,4.99,$,Mini Pass
3,Weekly Pass,0.99,0.99,$,Weekly Pass
4,250 Gems Pack,4.99,4.99,$,Gem Pack
5,500 Gems Pack,9.99,9.99,$,Gem Pack
6,1000 Gems Pack,19.99,19.99,$,Gem Pack
7,2500 Gems Pack,49.99,49.99,$,Gem Pack
8,5000 Gems Pack,99.99,99.99,$,Gem Pack
9,LV 24 Pack,1.99,1.99,$,LV 24 Pack
10,LV 32 Pack,4.99,4.99,$,LV 32 Pack
11,LV 48 Pack,9.99,9.99,$,LV 48 Pack
12,LV 58 Pack,29.99,29.99,$,LV 58 Pack
13,LV 78 Pack,49.99,49.99,$,LV 78 Pack
14,4-Star Girl Training Pack,4.99,4.99,$,4-Star Girl Training Pack
15,5-Star Girl Training Pack,9.99,9.99,$,5-Star Girl Training Pack
16,Monthly Pack 1,4.99,4.99,$,Monthly Pack
17,Monthly Pack 2,9.99,9.99,$,Monthly Pack
18,Monthly Pack 3,29.99,29.99,$,Monthly Pack
19,Monthly Pack 4,49.99,49.99,$,Monthly Pack
20,Monthly Pack 5,69.99,69.99,$,Monthly Pack
89,Monthly Pack 7,99.99,99.99,$,Monthly Pack
22,Weekly Pack 1,9.99,9.99,$,Weekly Pack
23,Weekly Pack 2,19.99,19.99,$,Weekly Pack
24,Weekly Pack 3,49.99,49.99,$,Weekly Pack
25,Weekly Pack 4,69.99,69.99,$,Weekly Pack
26,Value Pack 1,99.99,99.99,$,Value Pack
27,Value Pack 2,69.99,69.99,$,Value Pack
28,Value Pack 3,29.99,29.99,$,Value Pack
29,Value Pack 4,9.99,9.99,$,Value Pack
30,Value Pack 5,4.99,4.99,$,Value Pack
31,Value Pack 1,99.99,99.99,$,Value Pack
32,Value Pack 2,69.99,69.99,$,Value Pack
33,Value Pack 3,29.99,29.99,$,Value Pack
34,Value Pack 4,19.99,19.99,$,Value Pack
36,Value Pack 5,4.99,4.99,$,Value Pack
69,Value Pack 6,4.99,4.99,$,Value Pack
35,Free Reload Pack,1.99,1.99,$,Free Reload Pack
37,Limited Edition 5-star Girl Pack,0.99,0.99,$,Limited Edition 5-star Girl Pack
38,Subscription,0.99,0.99,$,Subscription
39,Black Friday Card,9.99,9.99,$,Black Friday Card
40,Weekly Subscription,0.99,0.99,$,Weekly Subscription
41,Monthly Subscription,3.99,3.99,$,Monthly Subscription
42,Quarterly Subscription,9.99,9.99,$,Quarterly Subscription
43,Monthly Pack 1,4.99,4.99,$,Monthly Pack
44,Monthly Pack 2,9.99,9.99,$,Monthly Pack
45,Monthly Pack 3,29.99,29.99,$,Monthly Pack
46,Monthly Pack 4,49.99,49.99,$,Monthly Pack
47,Monthly Pack 5,69.99,69.99,$,Monthly Pack
48,Monthly Pack 6,79.99,79.99,$,Monthly Pack
49,Weekly Pack 1,9.99,9.99,$,Weekly Pack
50,Weekly Pack 2,19.99,19.99,$,Weekly Pack
51,Weekly Pack 3,49.99,49.99,$,Weekly Pack
52,Weekly Pack 4,69.99,69.99,$,Weekly Pack
53,Weekly Subscription,0.99,0.99,$,Weekly Subscription
54,Monthly Subscription,3.99,3.99,$,Monthly Subscription
55,Quarterly Subscription,9.99,9.99,$,Quarterly Subscription
56,Special Skin Pack 1,4.99,4.99,$,Special Gift Pack
57,Special Gift Pack 1,4.99,4.99,$,Special Gift Pack
65,Special Gift Pack 2,49.99,49.99,$,Special Gift Pack
58,7-Day Free Trial,0,0,$,7-Day Free Trial
59,7-Day Free Trial,0,0,$,7-Day Free Trial
60,7-Day Free Trial,0,0,$,7-Day Free Trial
61,7-Day Free Trial,0,0,$,7-Day Free Trial
62,7-Day Free Trial,0,0,$,7-Day Free Trial
63,7-Day Free Trial,0,0,$,7-Day Free Trial
64,Stage Pack,9.99,9.99,$,Stage Pack
66,Oath Ring,19.99,19.99,$,Oath Ring
67,Growth Pack,9.99,9.99,$,Growth Pack
68,Value Pack 6,4.99,4.99,$,Value Pack
70,Unlock Special Rewards,19.99,19.99,$,Unlock Special Rewards
71,Special Skin Pack 2,49.99,49.99,$,Special Gift Pack
72,Black Friday Card,19.99,19.99,$,Black Friday Card
73,Jingle Bell Pack,49.99,49.99,$,Jingle Bell Pack
74,Motivation Program,9.99,9.99,$,Motivation Program
75,Oath Pack,29.99,29.99,$,Oath Pack
76,Deluxe Pass,9.99,9.99,$,Deluxe Pass
1010101,LV 24 pack,1.99,1.99,$,LV 24 pack
1010201,LV 32 pack,4.99,4.99,$,LV 32 pack
1010301,LV 48 pack,9.99,9.99,$,LV 48 pack
1010401,LV 58 pack,9.99,9.99,$,LV 58 pack
1010402,LV 58 pack,29.99,29.99,$,LV 58 pack
1010403,LV 58 pack,49.99,49.99,$,LV 58 pack
1010404,LV 58 pack,69.99,69.99,$,LV 58 pack
1010501,LV 78 pack,9.99,9.99,$,LV 78 pack
1010502,LV 78 pack,29.99,29.99,$,LV 78 pack
1010503,LV 78 pack,49.99,49.99,$,LV 78 pack
1010504,LV 78 pack,69.99,69.99,$,LV 78 pack
1010601,LV 100 pack,9.99,9.99,$,LV 100 pack
1010602,LV 100 pack,29.99,29.99,$,LV 100 pack
1010603,LV 100 pack,49.99,49.99,$,LV 100 pack
1010604,LV 100 pack,69.99,69.99,$,LV 100 pack
1030101,Training Pack,4.99,4.99,$,Training Pack
1030102,Training Pack,9.99,9.99,$,Training Pack
1030103,Training Pack,19.99,19.99,$,Training Pack
1040101,Training Pack,9.99,9.99,$,Training Pack
1040102,Training Pack,19.99,19.99,$,Training Pack
1040103,Training Pack,29.99,29.99,$,Training Pack
1050101,EXP Booster,4.99,4.99,$,EXP Booster
1050102,EXP Booster,9.99,9.99,$,EXP Booster
1050103,EXP Booster,19.99,19.99,$,EXP Booster
1060101,Coin Booster,4.99,4.99,$,Coin Booster
1060102,Coin Booster,9.99,9.99,$,Coin Booster
1060103,Coin Booster,19.99,19.99,$,Coin Booster
1070101,Stage Pack,9.99,9.99,$,Stage Pack
1070102,Stage Pack,19.99,19.99,$,Stage Pack
1070103,Stage Pack,29.99,29.99,$,Stage Pack
1070201,Stage Pack,9.99,9.99,$,Stage Pack
1070202,Stage Pack,19.99,19.99,$,Stage Pack
1070203,Stage Pack,29.99,29.99,$,Stage Pack
