id,desc,mask_icon,icon_offset,mask_icon_h5,icon_offset_h5
1,"Welcome back to [c][d76500]Yume Academy[-][/c]!\n\nSince today's the first day of school, let me show you around!",,,,
2,"Now, let's give you a tour to help you become familiar with the campus~!",,,,
3,Tap here to check out [c][d76500]Capsules[-][/c]!,buttoncrop_1,0|0,,
4,[c][d76500]Regular Capsules [-][/c] can be used to summon most girls (1-5 Stars). Regular Capsules require [c][d76500]Regular Capsule Coins [-][/c]!,,,,
5,"You're in luck, Senpai!\nThere's a free capsule available... Let's try it out!",buttoncrop_4,0|0,,
6,,,,,
7,[c][d76500]Advanced Capsule Machine[-][/c] can be used to summon girls with [c][d76500]more Stars[-][/c]. They require [c][d76500]Gems[-][/c] or [c][d76500]Advanced Capsule Coins[-][/c] to obtain.,,,,
8,"Wow, here's also a free Advanced Capsule Coin! Give it a try~",buttoncrop_6,0|0,,
9,,,,,
10,,buttoncrop_1,0|0,,
11,Great! It looks like you are getting the hang of summoning Girls. Let's focus now on the [c][d76500]Campaign![-][/c],,,,
12,"Look, Senpai!~\nThe [c][d76500]Campaign [-][/c] is over here~",buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
13,"Wow! The [c][d76500]battle[-][/c] is about to begin! Senpai, let's go check it out!",buttoncrop_17,0|0,,
14,"First, you need to choose which Girls to take into battle~!",buttoncrop_3,0|0,,
15,,buttoncrop_3,0|0,,
16,"Ok, we're ready!\nLet's start the fight~!",buttoncrop_5,0|0,,
17,Each girl belongs to a [c][d76500]Faction [-][/c]~ \nEach Faction has a [c][d76500]rival[-][/c] that they are more effective at fighting. \nTap the button below to see how this works!,,,,
18,,buttoncrop_18,0|0,,
19,,,,,
20,,,,,
21,"Hey Senpai, you've collected some [c][d76500]Girl Shards [-][/c]!\nTap on your Bag to put them together.",buttoncrop_1,0|0,,
22,"Here, you can [c][d76500]Summon[-][/c] Girls with shards!",buttoncrop_11,0|2,,
23,"When you have enough Girl Shards, you can tap the icon to summon the corresponding Girl.",,,,
24,,,,,
25,,,,,
26,,,,,
27,Senpai~!! The Girls need to get stronger!,buttoncrop_1,0|0,,
28,Tap the [c][d76500]Campus[-][/c] icon.,buttoncrop_8,-1|-1,buttoncrop_8_h5,-1|-1
29,"Senpai, let's try the [c][d76500]Transfer[-][/c] feature~!",buttoncrop_9,0|-1,,
30,"If you transfer Girls, you will receive [c][d76500]Exp Juice[-][/c], which is important for leveling up your Girls!",,,,
31,Select a Girl you want to transfer~,buttoncrop_3,0|0,,
32,,buttoncrop_19,0|0,,
33,,,,,
34,Great!\nLet's go [c][d76500]Level Up[-][/c] your Girls.,buttoncrop_1,0|0,,
35,,buttoncrop_10,0|0,,
36,"After you get enough Exp Juice,\nyou can tap here to Level Up a Girl.",,,,
37,WOW~! Let's try that again!,,,,
38,Senpai is so smart!\nLet's do it one more time!,,,,
39,Your Girl is getting much stronger! Let's do it one last time~!,,,,
40,Now it's time to equip some [c][d76500]Gear[-][/c]~!,buttoncrop_11,0|0,,
41,Tap here to equip your Girl with a weapon.,buttoncrop_12,0|0,,
42,,,,,
43,,,,,
44,"Wow, that's amazing!\nYour Girl is even stronger than before!",,,,
45,,buttoncrop_13,0|0,,
46,,buttoncrop_1,0|0,,
47,"Let's go, Senpai~!\nIt's time to continue our adventure.",buttoncrop_2,0|0,buttoncrop_2_h5,0|-4
48,"Tap here to go to the next stage, Senpai!",buttoncrop_20,-16|0,,
49,,,,,
50,"Loot accumulates automatically, tap here to claim your loot!",buttoncrop_21,0|2,,
51,Let's start another battle!,buttoncrop_17,0|0,,
52,Tap a Girl's avatar to add them to your lineup.,buttoncrop_3,0|0,,
