id,name,brief,desc
1,Coin,Currency,Regular Currency
2,Gem,Currency,The most valuable rare Currency.
3,EXP,EXP,Use to upgrade Player Level
4,Guild Coin,Guild Coin,Use to buy items in the Guild Store.
5,Guild EXP,Guild EXP,Use to upgrade Guild Level.
6,Coupon,Coupon,Use to buy items in the Lucky Store in Regular Slot.
7,Class List,Currency for Purchasing Girls,Used to exchange girls in Transfer Store
8,VIP EXP,VIP EXP,
9,EXP Juice,Girl Level EXP,Used to upgrade a Girl's level in their attribute screen
10,Lunch Box,Girl Upgrade Material,Used to upgrade a girl in the Girls section
11,Heart,Currency for BFF Capsules,Send and claim from Other Players in Friend List. Used to summon Girls in BFF Capsule.
12,Golden Egg Capsule points,Golden Egg Capsule points,
13,Test Permit,Tests Hall Pass,Used to fight a battle in Test Hall in Trials
14,Crystal Chisel,Materials for Upgrading Crystals,Used to upgrade a Crystal in Girl's Gear screen.
15,Sacred Page,Sanctuary Store Token,Used to exchange items in Sanctuary Store
16,League Coin,League Store token,Used to exchange items at League Store
17,League Chest,Open automatically via Mail,"Randomly get Coins, EXP Juice, Lunch Boxes, Legendary Gear, Girl Shards, and other rare items."
18,Bread,Stamina item,Used to raid a Guild mill.
19,Portfolio,Girl Exchange Material,Used to exchange Girl in Enroll
20,Seal,Item used for Summoning Girls,Can summon a 4-star Girl (or higher) or Girl Shards in Enroll
22,1-star Red Antique Chest,Antique Chest,Randomly get 1-star Red Artifact after purchasing.
23,1-star Green Antique Chest,Antique Chest,Randomly get 1-star Green Artifact after purchasing.
24,Internship Scroll,Internship Scroll,Randomly add one 1-star to 4-star available internship after using it in Internship.
25,Advance Internship Scroll,Internship Scroll,Randomly add one 4-star to 7-star available internship after using it in Internship.
26,Servant Cookie,Servant Material,"Used to raise, train, and evolve Servants"
27,Spirit Cookie,Servant Material,Used for upgrading your Servant's Aura
28,Hourglass,Practical Work Tickets,Used to participate in Practical Work
29,Super Slot Ticket,Super Slot Ticket,Each round of Super Slot Machine costs 1 Super Slot Ticket.
30,Avatar,Special Avatar,blank
31,Construction Material,Building Material,Material to construct
32,Girls exchange material,Girl Exchange Material,Use for replacing 10-star Girl
33,Capsule Coin,Summoning Item,Used to summon Girls at Regular Capsule
34,League Ticket,League Ticket,Used to fight League battles.
35,Slot Ticket,Regular Slot\nMachine Ticket,Each round of Regular Slot Machine costs 1 Slot Ticket.
36,Adv. Capsule Coin,Summoning Item,Used to summon Girls at Advance Capsule
37,Cookies,Exchange Material,Event material for exchanging rewards during events.
38,Moon Cake,Exchange Material,Event material for exchanging rewards during events.
39,Manual Battery,Event Material,"The Girls made these batteries by hand. They weren't very careful in the process, but it deals heavy damage to any Boss."
40,Energy,Event Material,Used to move puzzle pieces in jigsaw events
41,Snowman,Event Material,"Exclusive items that can be exchanged for rewards during events. These items can no longer be exchanged once the event ends, so please use them all during the event."
42,Christmas Stockings,Event Material,"Exclusive items that can be exchanged for rewards during events. These items can no longer be exchanged once the event ends, so please use them all during the event."
43,Gift Box,Gift Box,A mysterious box that contains 1 random gift and several gift shards.
44,Gift Shard,Gift Shard,Shards made of mysterious crystals. They can be acquired from gift boxes to be used as a materials to make various kinds of gifts.
45,Oath Ring,Oath Item,It can be used in Date to form an oath once Girl's intimacy reaches 100.
46,Spring Festival Firecracker,Event Material,Material for making exchanges for rewards during events.
47,Diploma,Girl Replace Material,Used to Exchange or Reverse 10-Star girls
48,Heart Balloon,Exchange Material,Material for making exchanges for rewards during events.
49,Bone Biscuit,Event Material,Used for increasing intimacy of your Servant.
50,Easter Bunny,Event Material,Exclusive item that can be exchanged for rewards during its corresponding event.
51,Vote Ticket,Event Material,Exclusive items that can be used to vote in Winning Heart.
52,Decoration Budget,Event Material,The item used to help the girls finish their decoration mission.
53,Orientation Coupon,Event Material,"The exclusive item to exchange the Orientation Gift. The exchange will be closed after the event is over, please use it in time!"
54,Gear Supply Card,Event Material,Rare gear can be exchanged for equipment supplies.
1001,1st. Arena Event Frame,Special Avatar,1st. Limited portrait in Arena.
1002,Solar Avatar,Special Avatar,Champion Avatar of Elite League.
1003,Lunar Avatar,Special Avatar,Runner-up Avatar of Elite League.
1004,Gold Avatar,Special Avatar,Gold Avatar of Elite League.
1005,Silver Avatar,Special Avatar,Rank 4-10 Avatar of Elite League.
1006,Bronze Avatar,Special Avatar,Rank 11-20 Avatar of Elite League.
1007,Halloween Avatar,Special Avatar,Halloween special avatar by finishing all missions in Halloween Arena.
1008,Jigsaw Special Avatar,Special Avatar,Complete the Jigsaw event to win a special avatar.
1009,New year avatar,Special Avatar,Limited avatar of new year
1010,Snow Exclusive,Special Avatar,An exclusive avatar that is acquired once you completed all tasks in League.
1013,Limited Time Avatar,Special Avatar,An exclusive avatar that is acquired once you completed all tasks in League.
1014,Spring Festival Exclusive avatar,Special Avatar,Spring Festival Special Avatar
1015,“Miss Fortune”: Unlucky,Special Avatar,No 5-star girl acquired after 200 consecutive Adv. Capsule draws
1016,“Miss Fortune”: Poor,Special Avatar,No 5-star girl acquired after 300 consecutive Adv. Capsule draws
1017,“Miss Fortune”: Cursed,Special Avatar,No 5-star girl acquired after 400 consecutive Adv. Capsule draws
1018,Spring Exclusive Avatar,Special Avatar,An exclusive avatar that is acquired once you completed all tasks in League.
1019,Oath Avatar,Special Avatar,An exclusive avatar that is acquired once you completed all tasks in League.
1020,Easter Avatar,Special Avatar,Special Avatar of Easter
1023,Mother's Day Avatar,Special Avatar,Special Avatar of Mother's Day
1024,Opening Ceremony Avatar,Special Avatar,Special Avatar of Opening Ceremony
