id,name,from,content
1,Daily League Rewards,League Mail,Congratulations on achieving rank {2} in League of {1}. Your rewards will be sent to you by Mail on the FrontPage.
2,End of Season Rewards,League Mail,"As the Principal of the Yume Academy, I would like to congratulate you for achieving rank {1} in Junior Varsity. Your excellent skills and bravery have won you the following rewards."
3,New Server Bonus,System Message,"Login every day during the event and you will receive Gems x 50, Normal Slot Tickets x 2, League Tickets x 2. Your rewards are attached."
4,Monthly Pass,Monthly Pass,"Congratulations! From {1}, you will get 370 gems each day at 00:00 am (UTC/GMT 0). The Gems from the first day will be sent immediately after purchasing the Monthly Pass."
5,Monthly Pass Rewards,Monthly Pass,"Dear VIP {1} player, please collect the following rewards in time. Your Monthly Pass will expire in {2} days."
6,Monthly Pass Expired,Monthly Pass,"Dear Senpai, your Monthly Pass has expired. Please visit the Homework section to renew your Monthly Pass. As a reminder, the Monthly pass is 13 times cheaper than buying Gems individually!"
7,Mini Pass,Mini Pass,"Congratulations! From {1}, you will get 85 gems each day at 00:00 am (UTC/GMC 0). The Gems from the first day will be sent immediately after purchasing the Mini Pass."
8,Mini Pass Rewards,Mini Pass,"Dear Senpai, please collect the following rewards in time. Your Mini Pass will expire in {1} day(s)."
9,Mini Pass Expired,Mini Pass,"Dear Senpai, your Mini Pass has expired. Please visit the Homework section to renew your Mini Pass. As a reminder, the Mini pass is 10 times cheaper than buying Gems individually!"
10,Summon Girl Rewards,Summon Rewards,Congratulations on summoning {1} during the event. Your rewards are available in Mail on the FrontPage.
11,Daily Rewards,System Message,"Login every day during the event and you will receive Adv. Capsule Coin x 3, Colorful Sand x 10. Your rewards are attached."
12,Capsule Reward,System Message,"Congratulations, you've completed {1} Adv. Capsule Draws during event Girls X Capsule Points, here's your reward."
13,Daily Rewards,System Message,Login every day during the event and you will receive Seal x 1. Your rewards are attached.
14,Enroll Rewards,System Message,Congratulations on reaching {1} points during the Enroll event. Here are your rewards~!
15,Boss Fight Rewards,System Message,Congratulations on defeating your friend's Boss. You have received the following rewards for your service!
16,Boss Fight Rewards,System Message,The friend BOSS you found has been defeated. You have received the following rewards for your help!
17,Co-op Rank Rewards,System Message,Congratulations! You achieved rank {1} for helping with Friend Battles. Here are your rewards~!
18,Girls Assembly Rewards,System Message,Congratulations! You reached a goal during the Girls Assembly Event. The following are your rewards.
19,Beta Period Reload Rebate,System Message,Thank you for purchasing {1}. Here is your bonus reward for supporting us during the testing phase!
20,Lottery Rewards,System Message,Congratulations! You reached {1} points during the Slot Machine Event! Here are your rewards~!
21,Daily Rewards,System Message,Login daily during the event to get Super Slot Ticket * 1 and Elemental Orb * 100. Your rewards are attached.
22,Internship Rewards,System Message,Congratulations! You've completed {1} star internship quest during the Internship Event! Here are your rewards.
23,Reload Notice,System Message,Thank you for purchasing {1}. Your items are available in Bag. Have a look~!
24,Daily Rewards,System Message,"Login every day during the event and you will receive Rudder x 5, Gem x 150, Scratch Ticket x 1. Your rewards are attached."
25,League Battle Rewards,System Message,Congratulations! You reached a goal during the League event. Here are your rewards~!
26,Subscription,Subscription,Congratulations! You are a Weekly Pass holder. Your Coin Loot will increase by 100% for the next 168 hours. This benefit is combined with VIP benefits.
27,Weekly Pass will expire,Weekly Pass,Your Weekly Pass expires today. Please renew your Weekly Pass to continue enjoying the benefits. Looting Coin is increased 100% while the pass is active~!
28,Graduate & Awake,System Message,Congratulations! You Graduated {1} to 5-stars. Your rewards are attached~!
29,Graduate & Awake,System Message,Congratulations! You Graduated {1} to 6-stars. Here are your rewards!
30,Guild Boss Rank Rewards,Guild Mail,Congratulations! The Guild Boss has been defeated. Here are your rewards.
