id,name,desc
1,Opening Ceremony,\n
2,Newbies,\n
3,House Human,\n
4,House Monster,\n
5,House Angel,\n
6,Elf of House Fairy,\n
7,Fallen Angel of\nHouse Demon,\n
8,House Ghost,\n
9,Dinner,\n
10,Riot,\n
11,Girls' Dorm,\n
12,Running Late,\n
13,Fried Noodle Bread,\n
14,Friendship! Passion!\nVictory!,\n
15,Horrors of the Literary Club,\n
16,Chado,\n
17,Student Union,\n
18,SHINING BAND,\n
19,All of a Sudden,\n
20,Lucifer,\n
21,Discipline Committee,\n
22,Investigation,\n
23,Back to the Grid,\n
24,CHAOS FIGURE,\n
25,Blood Moon,\n
26,Lord of the Night,\n
27,Hazard,\n
28,Unstoppable,\n
29,Fallen Wings,\n
30,Deteriorate,\n
31,Yume,\n
32,Hanabi Girl,\n
33,Little Wish,\n
34,Operation in the Street,\n
35,Defender,\n
36,Beautiful Night,\n
37,Graduate,\n
38,Strange Photo,\n
39,Light and Dark,\n
40,D.E.F,\n
41,Power Practice,\n
42,Escape is Shameful\nand Useless,\n
43,One Who Disturbs,\n
44,Primary Test,\n
45,Challenger,\n
46,Advanced Test,\n
47,Catch Me if You Can,\n
48,Power Girl,\n
49,Final Test,\n
50,Unexpected Truth,\n
51,The Beginning,\n
52,Chinese Cuisine,\n
53,Enchanted Cottage,\n
54,Another Divination,\n
55,Black Fog,\n
56,Trapped,\n
57,A Long-Range Raid,\n
58,Committee Has Fallen,\n
59,Nobunaga,\n
60,Nightflower,\n
61,Conflict,\n
62,Black Rock,\n
63,Laughing Bat,\n
64,Behind Reality,\n
65,Out of Control,\n
66,Inferno,\n
67,Nobunaga,\n
68,The Eye of Judgement,\n
69,Black or White,\n
70,Lose,\n
71,A Bargain from D. E. F,\n
72,Jetton for Exchange,\n
73,Negotiation Suspended,\n
74,Collapse,\n
75,Catching Fire,\n
76,Struggle in Mind,\n
77,Break Out,\n
78,Voice of Resistance,\n
79,Air,\n
80,Conspiracy,\n
81,Glimmer,\n
82,Memento,\n
83,Invasion of Chaos,\n
84,The Unyielding,\n
85,Yume,\n
86,Li,\n
87,Talk,\n
88,Twins,\n
89,Deadlock,\n
90,Broken Seal,\n
91,Chaos Invasion,\n
92,Nightmare Returns,\n
93,Legion of Chaos,\n
94,Unite,\n
95,Against All Odds,\n
96,Call To Arms,\n
97,Strike Back,\n
98,Judgement Day,\n
99,"A Chance,\nSlim as it Should be",\n
100,A Lifetime of Living,\n
101,Welcome Back,\n
102,Growth,\n
103,Celebration,\n
104,Interlude,\n
105,Encore,\n
106,New Faces,\n
107,Return of the Legends,\n
108,Invitation,\n
109,Terror Figure,\n
110,Determination,\n
111,Daily Practice,\n
112,The Challenge of Ithil,\n
113,Grand Library Ulbricht,\n
114,Labyrinth,\n
115,The Valkyrie,\n
116,Philosopher's Stone,\n
117,Starting at the\nFinishing Line,\n
118,The Second Line\nof Defense,\n
119,The Legendary\nElementalist,\n
120,"""Her"" Story",\n
121,Sudden Invasion,\n
122,The Bees,\n
123,Defense Activated,\n
124,Closing the Net,\n
125,The Hornet,\n
126,Opposition,\n
127,A Genius Idea,\n
128,Pursuit,\n
129,On Enemy Grounds,\n
130,"""Enigma""",\n
131,The Eyes of True Sight,\n
132,Terror Figure?,\n
133,The Mimics,\n
134,Song of Time,\n
135,Cooperation,\n
136,The Broken Sword,\n
137,Return from Hell,\n
138,Vengeful Flame,\n
139,Choices,\n
140,Divergence,\n
141,The Chase,\n
142,The Hostages,\n
143,Belief,\n
144,The Ritual,\n
145,Unending Flames,\n
146,Requiem,\n
147,The One Who\nHolds the Blade,\n
148,Rebirth,\n
149,The Sacrifice,\n
150,The Twins,\n
151,Once Upon a Time,\n
152,Truth Retold,\n
153,The Pieces on the Board,\n
154,"""Love""",\n
155,Despair,\n
156,Turin,\n
157,Jacob?,\n
158,Her Dream,\n
159,Salvation,\n
160,The Day After,\n
161,Training Result,\n
162,Four Patients,\n
163,The Doctor,\n
164,Breach into the Library,\n
165,New Suggestion,\n
166,Vacation!!!,\n
167,Sign Up,\n
168,Familiar Smell,\n
169,Through The Forest,\n
170,Hot Spring,\n
171,A Moment of Rest,\n
172,Not in the Mood,\n
173,Confirmation,\n
