id,desc
1,Set Saint background girl
2,Forge 20 random gears
3,Saint reached Lv. 40
4,Consume 50K coins
5,Saint's intimacy reached 40
6,Randomly consume 500 gems
7,Saint reached Lv. 80
8,Saint's intimacy reached 80
9,Saint reached Lv. 100
10,Saint's intimacy reached 100
11,Set Sonya as background girl
12,Sonya reached Lv. 40
13,Sonya's intimacy reached 80
14,Sonya reached Lv. 100
15,Sonya's intimacy reached 100
16,Set Dracula as background girl
17,Forge 20 random gears
18,Dracula reached Lv. 40
19,Consume 50K coins
20,Dracula's intimacy reached 40
21,Randomly consume 500 gems
22,Dracula reached Lv. 80
23,Dracula's intimacy reached 80
24,Dracula reached Lv. 100
25,Dracula's intimacy reached 100
26,Set Iron Fist as background girl
27,Forge 20 random gears
28,Iron Fist reached Lv. 40
29,Iron Fist's intimacy reached 10
30,Use 15 Gift Boxes
31,Iron Fist's intimacy reached 30
32,Consume 70 Gift Shards
33,Iron Fist's intimacy reached 50
34,Iron Fist reached Lv. 100
35,Iron Fist's intimacy reached 80
36,Set Bud Elf as background girl
37,Bud Elf reached Lv. 40
38,Bud Elf's intimacy reached 30
39,Use 15 Gift Boxes
40,Bud Elf's intimacy reached 60
41,Set Gabriel as background girl
42,Gabriel reached Lv. 40
43,Gabriel's intimacy reached 40
44,Randomly consume 500 gems
45,Gabriel's intimacy reached 80
46,Set Aquaris as background girl
47,Use 15 Gift Boxes
48,Aquaris reached Lv. 60
49,Forge 40 random gears
50,Aquaris's intimacy reached 80
