id,fort_name,fort_name2,name,description,skill
1,Phoenix·Reborn,Phoenix·Reborn,Off to battle,"After the battle of Yartta, Yume gained a great tactical advantage, and had the Legion of Chaos cornered. The commander of the backup regiment--- Omega, assigned Phoenix and her team as reinforcement to the front-line.",
2,Phoenix·Reborn,Phoenix·Reborn,Terror Figure,"On Phoenix's way to the front-base, she was ambushed by Legion of Chaos. All of a sudden, countless enemies warped to the singularity point, and breached the perimeter. And when Phoenix and her team arrived, Terror Figures are waiting for them.",
3,Phoenix·Reborn,Phoenix·Reborn,Meeting up,"On the way back, Phoenix found that the support HQ is under attack, she had to fight her way to the HQ and support the commander. After meeting the commander, Dark Knight appears as an enemy.",
4,Phoenix·Reborn,Phoenix·Reborn,Dark Knight,"Dark Knight swings his sword, claiming ""It's over"", and detonated the Terror Figure beside him. The Chaos power spreads over the entire camp, and then there were none.",
5,Phoenix·Reborn,Phoenix·Reborn,It's not over yet!,"The camp is totally annihilated in a sudden, and the successful surprise attack seems have offered Legion of Chaos a chance to fight another day, and they started to celebrate this victory in the crazy laughing of Dark Knight.",
6,Phoenix·Reborn,Phoenix·Reborn,Reborn,"Only judging by the tone of her voice, Dark Knight could tell the wrath of Phoenix is overwhelming, but there's no time to hesitate. He swings the sword, and the strike tears her flame apart.",
7,Phoenix·Reborn,Phoenix·Reborn,Interrogation,"When the attack of flame arrives, it's too late for Dark Knight to do anything. And soon after, both him and his fears are turned to ashes.",
8,Phoenix·Reborn,Phoenix·Reborn,Who's the traitor?,"Having defeated the Dark Knight, Phoenix meets Linky who has just finished off the rest of the enemy. Linky grows worried about the battlefield after learning that the Legion of Chaos has the ability to teleport the army through the Singularity, and she asks Phoenix to go with her and check the status of Regiment Alpha.",
9,Phoenix·Reborn,Phoenix·Reborn,Wiped Out,"When they arrive at the position of Regiment Alpha, they only see the ruins of the camp, and any signs of life is covered by the smoke and flame.",
10,Phoenix·Reborn,Phoenix·Reborn,Duties & Choices,"Affected by Linky, Phoenix decides to end this war once and for all, and find the traitor. So she flies towards the very edge of Chaos, her speed is so fast that only a beam of red arc could be seen in the sky.",
11,Linky·Para Bellum,Linky·Para Bellum,I am Destruction!,"In the office of Discipline Committee, president Michael asked her senior about her story in for the sake of campus management. And Linky showed no struggle： the story, starts with the invasion of Chaos……",
12,Linky·Para Bellum,Linky·Para Bellum,Assemble!,"The assemble of the united force has started. Linky passed the examination of Regiment Alpha successfully. But due to her destructive instinct, she failed to team up with anyone else in the same regiment.",
13,Linky·Para Bellum,Linky·Para Bellum,Squad 11,"""She"" appears to invite Linky to Squad 11, as predicted, Linky considered it pity and refused. ""Her"" second invitation seems had irritated Linky...",
14,Linky·Para Bellum,Linky·Para Bellum,Battle of the Valley I,"The 98th year after the invasion of Chaos, Regiment Alpha received an order to assault one of the camp of the Legion of Chaos, Linky and her team were assigned to execute the mission. But when they are passing the valley, they got ambushed.",
15,Linky·Para Bellum,Linky·Para Bellum,Battle of the Valley II,"Linky fought to the best of her ability, eyes glowing red with each kill, but her teammates were falling around her. Her body was broken and battered, only supported by the words of ""her"": Hold that line and let nobody pass.",
16,Linky·Para Bellum,Linky·Para Bellum,Battle of the Valley III,"The battle with the Legion Officer was the last straw: Linky's mind was overcame by the urge to kill, and went berserk. Until ""she"" arrives with the reinforcement.",
17,Linky·Para Bellum,Linky·Para Bellum,It's a Trap!,"Six days after the Yartta Victory, ""Regiment Alpha"" received orders from the HQ: Break the final defense line of the Legion of Chaos, and end the war once and for all. However, what they saw when they arrived at the main camp of the Legion of Chaos were completely out of their expectations...",
18,Linky·Para Bellum,Linky·Para Bellum,Supply Camp,"When Linky arrived, the Supply Camp was almost destroyed. She cleared out the Legion Soldiers, rescuing any survivors, and from them she gained knowledge of the whereabouts of the Quartermaster.",
19,Linky·Para Bellum,Linky·Para Bellum,Wiped Out,"When they arrive at the position of Regiment Alpha, they only see the ruins of the camp, and any signs of life is covered by the smoke and flame.",
20,Linky·Para Bellum,Linky·Para Bellum,A new journey,"Linky was stuck in her memories, which overwhelmed her with regret and pure hatred for the Legion of Chaos...",
21,Iron Fist·Diary,Iron Fist·Diary,Eternal Nightmare,"The smoke was illuminated by fire, and sparks fluttered, seemingly in a fierce battlefield. With the whistling of the flying arrow and the collision of the blade, a fuzzy black figure appeared in front of Iron Fist...",
22,Iron Fist·Diary,Iron Fist·Diary,The Surgery,"Under the white ceiling, two fuzzy figures standing in front of her. Iron Fist breathed slowly and weakly, only hearing the regular ""drop-drop-"" sound that seems to be coming from the monitoring equipment. Iron Fist understood that she is now in the operation room.",
23,Iron Fist·Diary,Iron Fist·Diary,"Her name, KongMing","Iron Fist has been sitting in the darkness without saying a word for a while, and only cooperated with a dull face towards the care from the doctors and the care-workers. Only a tiny figure has been coming in tiredlessly for a few days, saying a few words and then gone...",
24,Iron Fist·Diary,Iron Fist·Diary,Days with Senpai,"Unlike the darkness before, the windows of the ward are now wide open, and there is plenty of sunshine, with small decorations such as flowers in the room. If it weren't for the medical staff who often go in and out, Iron Fist would even think that she was living in her warm bedroom.",
25,Iron Fist·Diary,Iron Fist·Diary,After Waking Up,"Iron Fist was asleep, and she did not know whether it was the effect of the anesthetic or her inner resistance, she just could not wake up. She was dreaming and the dream is not ending anytime soon...",
26,Iron Fist·Diary,Iron Fist·Diary,Rehabilitation Training,"On top of the academy's roof, two figures are moving swiftly, emitting some light or sound from time to time. In order to adapt to the new arm, Iron Fist began the special training in this uninhabited place.",
27,Iron Fist·Diary,Iron Fist·Diary,Final Training~ Farewell,"The special training turned out to be very effective. The final training finally arrived. Iron Fist understood that in the following days, KongMing Senpai could not stay with her forever. It was time to bid farewell to her.",
28,Iron Fist·Diary,Iron Fist·Diary,Dinner for One,"In the new school year, Iron Fist has officially entered the Yume Academy. Although she still has nightmare from time to time, but with seniors truly caring about her, she's not that afraid anymore.",
29,Iron Fist·Diary,Iron Fist·Diary,Reunion,"Late at night, only a few lights in the corner were lit in dorm, and most of the rooms were in darkness. Iron Fist was suddenly awakened by a low howling. Alerting the unknown enemy, she leaned closer to the light. Through the light, she saw the familiar but strange figure in front of her eyes...",
