id,text
110010201,How exciting skiing is! Life without skiing is incomplete.
110010202,YA~! I ski faster than the wind~
110010203,"Faster, faster! Avalanche ~Let's race along with the avalanche!"
110010204,I'll be up ahead waiting for you~ You have to catch up~
110010205,What a nice winter~! That's when everyone can enjoy skiing!
110010301,Show me something exciting~
110010401,Skiing forward. Turn! Accelerate... Brake! There's nothing I can't do it with my skiing skills! Let's go skiing!
110010501,-1
110010601,Snow Protection!
110010701,"Thank you, Senpai!"
110010801,I can count on my skis in all kinds of situations!
110011101,"Maybe next time, I can try a snowboard?"
110011102,Skiing in this suit? It's worth a shot!
110012801,"Do you want to take a ski-lesson? Trust me, you won't regret taking it!"
110011301,Relax! Everything's working just fine!
110011401,Ugh... If I didn't trip and fall…
110011501,-1
110011502,-1
110011503,-1
110011504,-1
110011601,"By the mountain, our fates are bounded!"
110011701,YO~HO! Come and check out my new skis!
110011801,Living a life without skiing is just like committing chronic suicide!
110011901,It's necessary to take a good rest after training~
110012001,Can you help me with the internship? I need more coins to get a new ski-set!
110012101,Remember to collect your reward!
110012201,Don't forget to check the school news when you enjoy the skiing!
110012301,"Who would ever like this, dummy~"
110012401,Ooh a gift for me? Thank you~ Leave it here and come ski with me~
110012501,I saw you holding it when I was skiing. Is it for me? Thanks~ I like it~
110012601,"Welcome back, Senpai!"
110020201,So sleepy~ Is it morning? Oh? It's already noon?
110020202,Go to sleep~ Go to sleep~ Go to sleep~
110020203,Wake me up at lunchtime!
110020204,"Beds, blankets, and pillows~ I can't live without them~"
110020205,A mouse? I heard it somewhere... Oh~ Back to sleep.
110020301,Can't open my eyes...
110020401,"Can I sleep on your lap? I am so sleepy～ I have no bed… Uh, sleeping here is so comfortable～ Master, can I just lie here on your lap forever?"
110020501,-1
110020601,So sleepy...!
110020701,Stop... I cannot take anymore... ZZZ
110020801,I feel more sleepy…
110021101,This can never become a nice pillow…
110021102,"This one is soft… Sorry, I made it my pillow~"
110022801,Hope I can have a snap out there…
110021301,Now it is bed time~
110021401,No… Not a nightmare again…
110021501,-1
110021502,-1
110021503,-1
110021504,-1
110021601,"I dreamt that we walked down the aisle together...wait, that was real?"
110021701,ZZZ… ZZZ… Make yourself at home…
110021801,Bed…
110021901,I should join you sleeping…
110022001,I will wake up when you return from work…
110022101,Go and get the rewards… I need another snap now…
110022201,So noisy out there… Maybe something's happening…
