id,name,skill_name,ex_skill_desc
751001011,董卓,生命吸取,"Damage increases to {1} of Attack, Self-Healing increases to {2}."
751001012,董卓,生命吸取,"Damage increases to {1} of Attack, Self-Healing increases to {2}."
751001013,董卓,生命吸取,"Damage increases to {1} of Attack, Self-Healing increases to {2}."
751001014,董卓,生命吸取,"Damage increases to {1} of Attack, Self-Healing increases to {2}."
751001015,董卓,生命吸取,"Damage increases to {1} of Attack, chance to [c][01a310]Freeze[-][/c] increases to {2}, Self-Healing increases to {3}."
751001021,董卓,霸王之心,HP increase increases to {1}.
751001022,董卓,霸王之心,"HP increase increases to {1}, Precision increase increases to {2}."
751001023,董卓,霸王之心,"HP increase increases to {1}, Precision increase increases to {2}."
751001024,董卓,霸王之心,"HP increase increases to {1}, Precision increase increases to {2}."
751001025,董卓,霸王之心,"HP increase increases to {1}, Precision increase increases to {2}."
751001031,董卓,靈魂儀式,Self-Healing increases to {1}.
751001032,董卓,靈魂儀式,Self-Healing increases to {1}.
751001033,董卓,靈魂儀式,Self-Healing increases to {1}.
751001034,董卓,靈魂儀式,Self-Healing increases to {1}.
751001035,董卓,靈魂儀式,Self-Healing increases to {1}.
751001041,董卓,吸取,Self-Healing increases to {1}.
751001042,董卓,吸取,Self-Healing increases to {1}.
751001043,董卓,吸取,Self-Healing increases to {1}.
751001044,董卓,吸取,Self-Healing increases to {1}.
751001045,董卓,吸取,Self-Healing increases to {1}.
751002011,德古拉,蝙蝠爆破,"Damage increases to {1} of Attack, [c][01a310]Bleed[-][/c] damage to Mage enemies increases to {2}."
751002012,德古拉,蝙蝠爆破,"Damage increases to {1} of Attack, [c][01a310]Bleed[-][/c] damage to Mage enemies increases to {2}."
751002013,德古拉,蝙蝠爆破,"Damage increases to {1} of Attack, [c][01a310]Bleed[-][/c] damage to Mage enemies increases to {2}."
751002014,德古拉,蝙蝠爆破,"Damage increases to {1} of Attack, [c][01a310]Bleed[-][/c] damage to Mage enemies increases to {2}."
751002015,德古拉,蝙蝠爆破,"Damage increases to {1} of Attack, [c][01a310]Bleed[-][/c] damage to Mage enemies increases to {2}."
751002021,德古拉,破綻,Attack increase increases to {1}.
751002022,德古拉,破綻,"Attack increase increases to {1}, HP increase increases to {2}."
