id,title,name,dialog,select_text
1,Campus Craft,,"In the world of card games, Gambler believes that luck is by her side.",
2,,,"Even when she is at a great disadvantage against a formidable opponent, multiple opponents, or cheaters…",
3,,,Gambler would draw the most critical card at the direst moments...... and reverse the odds stacked against her.,
4,,,Victory... power... business deals... Much was in her hand. This world has given Gambler everything. She became the Empress of the gambling world.,
5,,,Like every other day. The card club has a new challenger. \n This challenger will be just another stepping stone on Gambler's path to domination.,
6,,Gambler,My turn... a pair.,
7,,Gambler,"(Now, I have almost every key card. Only one more to go. No one is going to stop me)！",
8,,Gambler,(Newcomer. I don't even know why you're challenging me......),
9,,Saint,"Now it's my turn, right?",
10,,Saint,"Alright~! Draw. Oh, this... is the card you need right?",
11,,Gambler,(What !?),
12,,Saint,"Now, take this!",
13,,Saint,Let's see you deal with this.,
14,,,"Gambler, defeated by Saint, becomes the 11th leader of the club head of delegation. She has also become another stepping stone on this new student's path to domination.",
15,,Gambler,"I... lost.... \nSaint, I am waiting for your deal. Please don't make things difficult for my club members.",
16,,Saint,You fight with honor...,
17,,Saint,Are you interested in following me?  \n There are so many guilds I need to take out. I honestly will have more work than I could deal with...,
18,,Gambler,What you're saying is. You plan to unite this academy and end the chaos?,
19,,Saint,Hahaha… You can say that.,
20,,,"Just not long ago, Yume Academy was a place of conflict.",
21,,,Groups divide. A despot rise. People look at each other with hate and disgust. Endless Conflicts and chaos... year after year... until a new student arrives on campus.,
22,,,"From out of nowhere, the righteous and powerful emerge! ""They take things as they come"" she said.",
23,,,Destiny will be altered by this champion!,
24,Recruitment,,More and more guilds were defeated by Saint.\nA different atmosphere has settled across campus.,
25,,,"Once again, smiles can be seen throughout the academy...",
26,,,"Yet, these changes are all under the monitor of a large organization ：\n --- Discipline Committee",
27,,Michael,"All the committee's resources and authority will be yours,\n and our goal is to overcome the chaos. We share the same goal.",
28,,Saint,"Armed to the teeth, yet I'm still bound by shackles...?",
29,,Saint,Do you consider me as just another thug?,
30,,Michael,How dare you say that!,
31,,Michael,"If you keep doing this, then you will become no different than those other guilds. You may be just another Succuba!!",
32,,Saint,How dare you!!!,
33,,Joan,"I mean, Saint...",
34,,Joan,The committee usually wouldn't make such a generous offer... Succuba's guild won't give such an opportunity.,
35,,Saint,!?,
36,,Saint,……Who are you？,
37,,Joan,I am Joan. Just treat me as just another ordinary committee member.,
38,,Saint,……,
39,,Saint,…I will consider it.,
40,,Gambler,President?,
41,,Michael,Great! Then tomorrow we will make some arrangements!,
42,,Michael,"I'm looking forward to seeing you, Saint!",
43,,Michael,"Sisters, let's go!",
44,,Joan,"Yes, ma'am!",
45,,Joan,"See you, Saint~!",
46,,Saint,....,
47,,Gambler,Saint? Was that...?,
48,,Saint,(Why do I have this feeling when I see her?),
49,,Saint,"(Who the hell are you, Joan?)",
50,Code:  Fried Noodles Bread,,"After joining the Discipline Committee, Saint got more powers and privileges.",
51,,,"Although people before her were talking about her tactics that break tradition, \n actions speak louder than words：Majority of the guild was effectively reorganized under her management and control.",
52,,,But there is still one guild left. One that she just cannot takedown. The most difficult and secretive guild of all ：\n --- Succuba Guild,
53,,Saint,"All set? Don't make me say this again. What do we have, Gambler?",
54,,Gambler,More than 30% of Academy's underground trade of fried noodle bread happens in this market.,
55,,Gambler,Every move on the campus is leaked by the meal delivery network. And Succuba's guild has all of it under their control.,
56,,Saint,"So everybody understood what's going on, right?",
57,,Committee Members,"Yes, ma'am!",
58,,Joan,"Wait a minute, Saint! We should wait for Michael's signal.",
59,,Saint,"No time to waste... Members, take it down! Faster! Succuba won't wait for us!",
60,,Joan,Discipline Committee! Everyone freeze!,
61,,Succuba's members,Damn! Impossible…,
62,,Committee Members,Move! Move! Move!,
63,,Succuba's members,Ahhhhh!,
64,,Saint,Take them down!,
65,,,Later that day.,
66,,Michael,SAINT!,
67,,Michael,Why did you engage before my signal!,
68,,Michael,I swear! You will....!!!,
69,,Saint,"Chill out, Michael... It wasn't such a big deal. There is nothing you can't deal with.",
70,,Saint,The surprise attack was successful. Succuba's base is at hand.,
71,,Saint,You are still not satisfied?,
72,,Michael,"....Well, Saint, it's you who planned the assault and the rules of engagement.",
73,,Michael,Your recklessness will endanger your team!,
74,,Saint,Rules... regulations... are just tools. The most important is the best time to strike.,
75,,Saint,Tools should be a short-cut for reaching a goal. Not an obstacle.,
76,,Michael,You...,
77,Succuba's end,,"Operation ""Fried Noodles"" was a success.",
78,,,Every secret operation and member of the Succuba Guild was taken care of.,
79,,,"And only one remaining... Succuba, the leader of the guild.",
80,,Succuba,WA-HAHAHAHAHAHA,
81,,Saint,Hey hey. Just another typical villain's speech.\nAren't you even aware of that?,
82,,Succuba,Shut it! Arrogant trash!!,
83,,Succuba,You've got something in you finding me here. But what can you do now?,
84,,Succuba,"Besides, you're not the first discipline committee member who found me.",
85,,Gambler,WHAT?,
86,,Succuba,After finishing you off-----,
87,,Succuba,It won't be long before I rise again!,
88,,Succuba,"This time, your committee members will work under me! Hahahaha!!!",
89,,Saint,Let's just make this quick. I've got to go back and file a report.,
90,,Saint,The pork set-meal in the cafeteria is nice today. It's going to get cold.,
91,,Succuba,You arrogant punk!!!!,
92,,Succuba,How dare you!?,
93,,Succuba,Rise! My toys!,
94,,Muppet,Ouch!,
95,,,"The sound of battle, Saint's fury, and buildings collapsing throughout the whole day. Everyone in the academy witness Succuba Guild's final moments.",
96,,,"Saint showed another side of herself during the operation: Acting arbitrarily, showing brutality, and being way too aggressive.",
97,,,"In a fit of rage, Saint turned into a different person.",
98,,,Not only the Committee Members but also even Gambler trembled in fear.,
99,,,"After that day, Saint kept to herself for a long time…",
100,,Saint,What's the status?,
101,,Gambler,"Saint, we've tracked down and seized almost everything on the list.",
102,,Gambler,It must be the Succuba's guild's central warehouse!,
103,,Saint,What else?,
104,,Gambler,... We've found... the girl.,
105,,Gambler,Serious dehydration and malnutrition! Not to mention a severely damaged immune system.,
106,,Gambler,She must have been abused and imprisoned for a long time.,
107,,Saint,If we were only quicker...,
108,,Gambler,It was the best we could do. We couldn't have done it without you...,
109,,Saint,Shh...,
110,,Muppet,...,
111,,Saint,"Hey, don't worry... it's over.",
112,,Saint,You are free… Don't be afraid. You won't suffer any longer...,
113,,Muppet,…H… help,
114,,Muppet,Please… help me…,
115,,Saint,You are in good hands now.,
116,New Threat,,Regarded as most valuable player in this operation. Saint became a great honorary member of Discipline Committee.,
117,,,Year 121. The start of a new semester……,
118,,,"Looking at the new students entering the academy, Saint got a bad feeling of what is about to come. Meanwhile, a new threat is brewing…",
119,,Committee Members,Discipline Committee here checking in. Everyone line up!,
120,,Muppet,Saint……,
121,,Saint,Just another routine check-up. Take it easy.,
122,,Gambler,"Saint, something is wrong…",
123,,Muppet,……(Let out a huge sigh)...,
124,,Saint,"Muppet, are you alright...?",
125,,Infected Members,Wryyyyyyyyyyyyyyyyyyyyyy!!!!,
126,,Saint,"Tch, why now...",
127,,Gambler,Girls! Get ready to retreat!,
128,,,Battle was over in a blink of an eye.,
129,,,The infection of CHAOS FIGURE has not been much of a threat to Saint.,
130,,,But Saint ignored what happened to others around her…,
131,,Muppet,Ah… Ah….,
132,,Saint,"Muppet, what's wrong....? What happened?",
133,,Muppet,Traitor...,
134,,Saint,What?,
135,,Muppet,Go to hell!,
136,,Saint,Ahhhhhhhh!,
137,,Saint,"Gakki, what the....!!!",
138,,Muppet,Tch...,
139,,Saint,What the...,
140,Apprehensive,,"The ""Chaos Figure"" spreads seemingly without end. Yet, no one knew how it would affect them.",
141,,,"But once it spreads, all the girls become anxious and uneasy. ""Suspects"".",
142,,,"When the committee and the whole campus were in dire need of her, Saint was searching for Muppet whereabouts.",
143,,Saint,"(Muppet might be infected, or even worse...)",
144,,Saint,(It's my responsibility to protect you… I'm coming for you...),
145,,Saint,(.... I hope... there is still time....),
146,,,"Attempting to hold back and control Saint's obsession with Muppet, Michael sent out her team to monitor Saint's work and operation...",
147,,,"Joan, others cannot see through Saint's facade. \n She is the one who should be feared the most.--",
148,,Joan,"Saint, wait!",
149,,Gambler,"Joan, just give it a rest.",
150,,Joan,But we still need to register those infected girls and inspect their bodies. It's a direct order from the club president.,
151,,Saint,huh… hehe… HEHEHEHEHE,
152,,Joan,"Saint, why are you laughing?",
153,,Saint,(Exhausted) WHY AM I LAUGHING?!,
154,,Saint,I thought Michael was the only fool. I never thought another one would be standing right in front of me.,
155,,Saint,"The ""Chaos Figure"" outbreak... and its infection.... are highly contagious... Their names… personality… blood type… it doesn't matter what they have...",
156,,Saint,But where they've been... Their relationships... Their classes... Dorm or even their common hangouts… That's the key to the mystery…,
157,,Joan,Agreed...,
158,,Saint,（Exchausted) You guys keep looking... I... have something else to do...,
159,,Joan,But Saint. What if.....,
160,,Saint,(Frantic) ENOUGH!!!!!!!,
161,,Gambler,Saint....,
162,,Joan,……,
163,,,Fighting and searching around the clock... has affected Saint's mood.,
164,,,"But this time, Saint knows she can't hold it in anymore…",
165,,Saint,(Exhausted)..... Just forget about that.,
166,,Saint,Joan……\n Just worry about yourself and stay out of my way.,
167,,Saint,I don't care about your Discipline Committee's childish games.,
168,Ash to ash,,"Days and nights passed, they finally found a result. But it's not the answer that Saint wants to hear.",
169,,,"At that moment, Muppet turned completely mad.",
170,,,"With the infection, her insanity could bring everything to ruins. Even herself.",
171,,Muppet,Destroy! Incinerate! Everything! Everything........! No! There's nothing at all!!!! Hahahaha!!,
172,,Saint,Muppet——,
173,,Saint,I know you won't understand me...\nBut I'll save you!\nAgain…,
174,,Muppet,"Well, well.....",
175,,Muppet,Look here! Saint is coming for me! Again!,
176,,Muppet,Come and get me then!,
177,,Saint,Don't give up! it's not you... It's the infection that's controlling your mind...,
178,,Muppet,I've never been soberer! I can see through everything now... and... you!!,
179,,Muppet,HOW! DARE! YOU! Go against me...,
180,,Saint,I'll save you... NO MATTER WHAT!,
181,,Muppet,Save? All you do is take…,
182,,Muppet,Everything... you've taken everything from me...,
183,,Saint,(Shocked)....,
184,,,"Clear images appear in front of Saint: On the surface of a river, a raging fire ignites. Agonizing wails and cries of countless victims engulf the entire scene.",
185,,Saint,This…,
186,,Saint,Did... I do this?,
187,Imprisoned,,(Sound of the shackles and chains),
188,,Committee Members,GET HER! NOW!,
189,,Saint,?!,
190,,Committee Members,STOP! SAINT!,
191,,Committee Members,Stop!,
192,,Saint,(Shocked)... What's going on here....?,
193,,Joan,……,
194,,Gambler,……,
195,,Saint,What happened...? Tell me!,
196,,Joan,...You were INFECTED.,
197,,Saint,I was... H-How could it be?,
198,,Saint,"I found Muppet, and I was about to save her! I...",
199,,Joan,"After taking down Muppet, you went out of control.",
200,,Gambler,You started screaming and attacking… EVERYONE.,
201,,Saint,(Shocked)!?,
202,,Saint,Was I...,
203,,Saint,...I was…,
204,,Joan,"With Gambler's help, we got you back alive.",
205,,Gambler,……,
206,,Joan,"Since your human part came back, I'm heading back to campus and give a briefing.",
207,,Joan,"Think it over, Saint.\nOur Super star~!",
208,,Saint,……,
209,Escape,,"During the infection's second phase, Saint saw herself differently.",
210,,,The self that is too arrogant to stand at the peak of the capital... The self that is so evil that she would slaughter innocent families. The self who cut her hair off just to fulfill a promise.,
211,,,The self who survived from the large fire near the river bank and ran back home with sorrow and remorse.,
212,,Saint,This…,
213,,Saint,is… this… me…?,
214,,Saint,Who… am… I? Who's… Saint? Who am I? No… I'm not…!,
215,,Saint,NO! SHE'S NOT ME...! Yes... she is me... I'm her…,
216,,Saint,Saint… I'm Saint… Who is Saint...?,
217,,Gambler,Saint... Saint! SAINT!!!,
218,,Saint,!?,
219,,Gambler,Saint... are you alright?,
220,,Saint,"I'm Saint... yes, I-uh.....",
221,,Saint,Gambler.,
222,,Committee Members,Gambler. Do not stay too long with the prisoners!,
223,,Gambler,She has to eat anyway!,
224,,Gambler,(Whisper) How is your body? Is it under control?,
225,,Saint,(Nod),
226,,,"In order to feed Saint, Gambler has to kneel down.",
227,,,Saint felt Gambler's warm body temperature and her erratic breathing. Maybe because she is tense.,
228,,,"She never got this close to Saint. Clearly, she notices this as well.",
229,,,The atmosphere got less tense and the surroundings became more and more distant. She lowers her head...,
230,,,…an ice-cold touch pass through her hands.,
231,,Gambler,(whisper) This is the key to your lock. You know what to do.,
232,,Saint,(Whisper) Got it.,
233,,Saint,Everyone move! Get out of the way!,
234,,Saint,I GOT A HOSTAGE!,
235,,Committee Members,Damn! Stop her!,
236,,Gambler,That was way easier than I thought.,
237,,Saint,Are you sure you're coming with me?,
238,,Saint,This committee will have less manpower. You could have a brighter future as a student~,
239,,Gambler,What are you talking about? I was never a student.,
240,,Saint,I see. Let's move then!,
241,Return From the Cinders,Joan,Saint... it looks like we have a traitor.,
242,,Saint,Sorry for being late.,
243,,Joan,It's nothing. I was worried you were too weak to make it out of here.,
244,,Gambler,Look's like you're well prepared...,
245,,Joan,You are the star! The king! The one who blew away the chaos in this academy.,
246,,Joan,But that's not how it works in the Discipline Committee.,
247,,Saint,"You finally spoke, Joan.",
248,,Joan,"Michael wants me to keep an eye on you. Now it's my turn, yet...",
249,,Joan,…You… You are the one I need to take care... Then I shall step up... It's time… to take you out!,
250,,Saint,I have to admit. You're the only one who can match me on campus…,
251,,Saint,But how can you stop me now?,
252,,Joan,Why should I stop you?,
253,,Saint,"Sure, you got no reason to…",
254,,Saint,No matter which path we choose. I will not come back to the committee.,
255,,Joan,Saint… are we going to……meet again?,
256,,Saint,"Sure we will! After all, you are my only enemy on campus.",
257,,,"HQ of D.E.F, the gate was breached.",
258,,DEF Agent,W-ho dares come here!!!,
259,,D.E.F,Uh... Excuse me?,
260,,Saint,Give me the man in charge!,
261,,D.E.F Leader,It's our great honor to have a former member of Discipline Committee as our guest-----,
262,,D.E.F Leader,How can I help?,
263,,Saint,"""Chaos Figure"" has enlighten me------",
264,,Saint,"I've paid the price to come here, but this…",
265,,Saint,....pisses me off very much!,
266,,D.E.F Leader,"There is a big lie on this campus, and we're the only ones who can see through it...",
267,,D.E.F Leader,Some of us can even consider your comrades in this case.,
268,,D.E.F Leader,"Since we are almost alike, what do you want then?",
269,,Saint,Hmmph... Are you going to be my tools or instruments...? Or be an obstacle?,
270,,D.E.F Leader,Rest assured... our ultimate goal is to turn this place into chaos.,
271,,D.E.F Leader,"Saint, did you see that coming?",
