id,desc,boss
1,,Training Dummy Lv.1
2,Unlock 「Defense CourseⅠ」\nUnlock 「Training Dummy Lv.2」,Training Dummy Lv.2
3,Unlock 「Stamina CourseⅠ」\nUnlock 「Training Dummy Lv.3」,Training Dummy Lv.3
4,Unlock 「Physical CourseⅡ」「Agility CourseⅡ」\nUnlock 「Training Dummy Lv.4」,Training Dummy Lv.4
5,Unlock 「Attack CourseⅡ」「Defense CourseⅡ」\nUnlock 「Training Dummy Lv.5」,Training Dummy Lv.5
6,Unlock 「Stamina CourseⅡ」「Physical CourseⅢ」\nUnlock 「Training Dummy Lv.6」,Training Dummy Lv.6
7,Unlock 「Agility CourseⅢ」\nUnlock 「Training Dummy Lv.7」,Training Dummy Lv.7
8,Unlock 「Attack CourseⅢ」\nUnlock 「Training Dummy Lv.8」,Training Dummy Lv.8
9,Unlock 「Defense CourseⅢ」\nUnlock 「Training Dummy Lv.9」,Training Dummy Lv.9
10,Unlock 「Stamina CourseⅢ」\nUnlock 「Training Dummy Lv.10」,Training Dummy Lv.10
