id,name_type,text
1,1,Bi
2,1,Zhao
3,1,Zen
4,1,Chang
5,1,Cheng
6,1,Ding
7,1,Feng
8,1,Fu
9,1,Hao
10,1,Hertz
11,1,Hua
12,1,Jiang
13,1,Jie
14,1,Lei
15,1,Lu
16,1,Ma
17,1,Nie
18,1,Pan
19,1,Peng
20,1,Tang
21,1,Tao
22,1,Shen
23,1,Wu
24,1,Xu
25,1,Yan
26,1,Haneul
27,1,Ki
28,1,Yong
29,1,Seung
30,1,Saleh
31,1,Wafi
32,1,Jamaal
33,1,Myeong
34,1,Rusul
35,1,Nima
36,1,Ingo
37,1,Ludde
38,1,Nooa
39,1,Santtu
40,1,Altti
41,1,Mathias
42,1,Henning
43,1,Roni
44,1,Bennett
45,1,Ashton
46,1,Tiesha
47,1,Delpha
48,1,Kelly
49,1,Wm
50,1,Tuyet
51,1,Brendan
52,1,Wilhelmina
53,1,Beckie
54,1,Trudie
55,1,Marvel
56,1,Hope
57,1,Vania
58,1,Lien
59,1,Elwood
60,1,Shera
61,1,Aubrey
62,1,Ciara
63,1,Jayme
64,1,Alena
65,1,Cleveland
66,1,Dominica
67,1,Paola
68,1,Jenise
69,1,Pamala
70,1,Robbie
71,1,Zofia
72,1,Reva
73,1,Aleen
74,1,Apryl
75,1,Shandi
76,1,Bobbye
77,1,Thao
78,1,Kristan
79,2,Jacqueline
80,2,Margurite
81,2,Dorine
82,2,Griselda
83,2,Sydney
84,2,Solomon
85,2,Twanda
86,2,Norbert
87,2,Beverlee
88,2,Jackson
89,2,Santiago
90,2,Omar
91,2,Yamashita
92,2,Nakano
93,2,Ishida
94,2,Kaneko
95,2,Takagi
96,2,Nakayama
97,2,Endo
98,2,Miura
99,2,Shibata
100,2,Ueda
101,2,Nomura
102,2,Sakai
103,2,Imai
104,2,Ando
105,2,Sakamoto
106,2,Yokoyama
107,2,Uchida
108,2,Ohno
109,2,Miyazaki
110,2,Morita
111,2,Ichikawa
112,2,Fujiwara
113,2,Saito
114,2,Kojima
115,2,Matsui
116,2,Sakurai
117,2,Murata
118,2,Mizuno
119,2,Heiya
120,2,Shimada
121,2,Hattori
122,2,Miyamoto
123,2,Ueno
124,2,Kitamura
125,2,Kono
126,2,Nagai
127,2,Sugiyama
128,2,Noguchi
129,2,Otsuka
130,2,Kinoshita
131,2,Maruyama
132,2,Matsuo
133,2,Koyama
134,2,Kansai
135,2,Takada
136,2,No
137,2,Iwasaki
138,2,Kudo
139,2,Akiyama
140,2,Oshima
141,2,Fujimoto
142,2,Naito
