id,title,text
1,Description of Functions,"Battle|Send your line-up to battle in Campaign Mode and Auto-Battle. During the Campaign, you can earn Player EXP, Coins, EXP Juice, and other rewards.||Tests|Progress through each floor of the building to fight enemies with increasing difficulty. Rewards for clearing a floor may include Lunch Boxes, Coins, Gear, and Girl Shards.||League|Challenge other players in the League to win rewards. Special rewards are also given based on rank at the end of a season.||Capsules|Opening Capsules is the fastest way to acquire new Girls. Opening Advanced Capsules will grant you Egg Energy, which you can use to summon a 5-Star Girl.||Graduate|This is the only way to acquire 6-Star Girls. Choose a Girl to graduate; will keep her experience and Gear. Girls used to Graduate the chosen Girl will have their EXP Juice, Lunch Boxes, and Gear returned to you. The more Girls you acquire, the more chances you have to Graduate Girls to higher Star Ranks.||Transfer|When you have Girls that you don't need, you can Transfer them. Transferring a Girl will reward you with EXP Juice, Lunch Boxes, Crystal Chisels, and Class Lists. Class Lists can be used in the Transfer Store to purchase high-level Girls. Class Lists can also be obtained through special events.||Gear Forge|Combine low-level Gear in the Gear Forge to acquire higher level Gear. Combine Gear from the same set and quality level to unlock special properties! Note: Equipped Gear cannot be forged.||Slot Machines|Use Slot Machine Tickets to win prizes like Girl Shards, Coins, Gear, Antiques, Crystal Chisels, EXP Juice, and more! Good luck!||Market|The Market sells EXP Juice, Lunch Boxes, Girl Shards, Gear, Capsule Coins, League Tickets, and other goods. Merchandise will be restocked every 24 hours. ||Enroll|Use Enroll Seals to acquire 4 and 5-Star Girls and Girl Shards from specific factions. You will also receive Portfolios that you can use to exchange 4 and 5-Star Girls within the same faction.||Intern|New Intern quests will be available every 24 hours. Each quest is given a star ranking and will have requirements for the type and rank of the Girls needed to complete the quest. Completing each quest will earn you great rewards. You can spend Gems to refresh tasks that haven't been locked or started already. You can also spend Gems to speed up tasks that you've already started. Intern Scrolls can be used to add additional quests to your list. These scrolls are dropped as Loot in Auto-Battle and are also available at the Market.||Servant| Servants are the best partners to have in battle. If you add a Servant to your team, they can provide auras to give your Girls attribute boosts and trigger unique active skills during battle. You may also collect Servant Cookies and Spirit Cookies to train and evolve your Servants."
2,Stage Description,"Overview|The Campaign Map is divided into four difficulty levels: Normal, Hard, Nightmare, and Fantasy. Each difficulty level has multiple stages which must be unlocked in order.||Unlock Level|When you reach a new level, you must take time to explore the level first. Afterwards, you will be allowed to deploy Girls for Battle.||Unlock Area & Map|Clear all the Stages in one Area to unlock the next Area. Clear all Areas to unlock the next difficulty level.||Battle Rewards|You will receive special rewards after winning each Battle.||Auto-Battle|You will receive Loot, EXP, and Coins while you are engaged in Auto-Battle for up to 10 hours. After that, you will stop accumulating these rewards and must return to the Auto-Battle screen to collect your rewards.||Auto-Battle Rewards|You will receive player EXP, Coins and EXP Juice. Rewards received from Auto-Battle are determined by the stage; the further you progress in the Campaign, the more rewards you will get. Your VIP Level increases the output rate for EXP Juice, Player EXP, and Coins.||Drops & Loot|You can check the loot information for a specific stage by clicking on its button. When you are auto-battling in a stage, you might obtain items that drop from that stage (this can be checked in loot)."
3,Battle,"Battle Line-Up|Girls positioned in the Front Row will take more damage than Girls in the Back Row. Adjust the Girls' positions according to their Class so that the whole team survives longer.||Faction Rivalry|Faction Rivalry gives boosts to Girls when fighting against specific Factions. Deploy Girls based on the boosts they will gain from fighting against your opponent's Faction.||Faction Aura|Certain Faction combinations will give Aura boosts to all of your Girls in battle.||Victory or Defeat|Defeat all your opponents' Girls within 15 Rounds for a Victory. Failure to finish within 15 rounds will result in a Defeat.||Attack|Attack refers to the damage dealt to enemies. The higher Attack a Girl has, the more damage she will deal in an attack.||HP|HP allows Girls to survive longer in Battle.||Armor|Armor helps to reduce damage from your opponents.||Speed|Speed determines the order that Girls attack in battle. Higher Speed allows Girls to attack first every round. If girls on the same team have equal Speed, the girl closest to the front first position will move first.||Extra Skill Damage|Extra Skill Damage gives bonus damage to skill attacks, boosts the damage rate that is based on the characters' Attack attribute in Active skills only.||Block|Block determines the probability of blocking an attack. Blocking an attack successfully will reduce 30% of the damage taken; if the attack was a critical strike, blocking will reduce 50% of the damage taken. Only damage based on the Attack of the attacker will be reduced by blocking.||Precision|Precision lowers the probability of the target blocking an attack. Furthermore, every 1% of Precision will grant an extra 0.3% of damage. The extra damage will max out at 45%. Only damage based on the Attack of the attacker will be increased.||Crit Resist|Reduce the chance to take Critical hits, the higher a girl's Crit Resist is, the less likely she's going to take a Critical hit.||Crit Rate|Crit Rate determines the probability of performing a critical strike against an opponent, dealing significantly increased damage. Without extra Crit damage increases, a Critical Strike will cause 150% damage of a normal attack. Passive skills will not trigger Crit attacks.||Crit Damage|Crit Damage determines how much extra damage is dealt when performing a critical strike. The highest Crit Damage that an attack can have is 150%.||Armor Break|Armor Break decreases your opponents' Armor, allowing you to deal more damage to the opponent. The maximum amount of Armor Break that can be reached is 100%.||Immunity|Immunity helps against attacks that restrict your Girls, like Petrify, Freeze, and Stun. Immunity is calculated differently from the control effect chances: for example, an attack with a 50% chance to restrict a girl may be possible to control a girl with 70% Immunity.||Control Rate|Increases the rate the enemy will be affected by your control skills. This status will be calculated together with the target's Immunity.||Damage Reduction|Damage Reduction reduces the amount of damage inflicted by opponents, helping your Girls to survive longer. It will max out at 70%, and only works on damage based on the Attack of the attacker.||Holy Damage|Holy Damage will not be affected by the armor of the target, but will be affected by Damage Reduction.||Damage Depletion|Reduces all damages received and is calculated separately from Damage Reduction. 70% Damage Depletion maximum is obtainable by a Girl.||Dodge|Provides Girls chance to avoid damages from enemies' Active Skills and Basic Attacks.(Servant's Active skill cannot be dodged)||Energy|Every girl starts with 50 Energy when the battle begins. A girl will gain 50 Energy when she attacks the enemy, and will gain 10 Energy when she is attacked. If she takes a Critical strike, she will gain 20 Energy. A girl can only use her active skill when she has 100 or more Energy. When she has more than 100 Energy, every extra Energy will be counted as 1% of Extra Skill Damage.||The color of DMG|If it's white, it means this attack doesn't trigger Crit attack and the attacker doesn't have Faction Rivalry buff. If it's yellow, it means this attack doesn't trigger Crit attack and the attacker is buffed by Faction Rivalry. If it's red, it means this attack is a Crit attack (the attack can be either buffed by Faction Rivalry or not). And if it's green, it's showing the healing amount.||Skill Effect|Buffs or debuffs labeled with “Skill effect” cannot be removed by Potential or Skills."
4,Getting New Girls,"From Loot|You can receive Girl Shards from Auto-Battle, Campaign Stages, Events, Girl Quizzes, and Tests.||From Stores|You can get Girls and Girl Shards at the Market, Slot Machine Store, and Transfer Store.||From Capsules|The most direct way to get Girls is by summoning with Hearts as well as using Capsule Coins and Gems for the machines on the Capsule screen.||Enroll|You can use Seals in the Enroll menu to get Girl Shards.||Slots|You can use Slot Machine Tickets to get Girl Shards.||Internship Quests|Some Internship Quests have Girl Shards as rewards.||Friend Boss|You can get some Girl Shards by defeating Friend Bosses"
5,Enhancing Girls,"Level-Up Girls|Use EXP Juice to level up your Girls.||Upgrade Girls|Use Lunch Boxes to upgrade a Girl's Star Rank when they reach the level cap for their current Star rank.||Graduate|When a Girl reaches max level and Star Rank, you can use Graduate to increase her Star rank. After Graduating, she will have higher stats. Her level, gear, and other features will stay the same.||Awake|Use other Girls to Awake 6-Star Girls, unlocking even higher max Star Ranks. Girls used to Awaken the chosen Girl will return some EXP Juice.||Gear & Antiques|Equip your Girls with Gear and Antiques to further strengthen your Girls' stats. Gear and Antiques can be upgraded to higher quality items.||Crystal Upgrades|Increase Girl stats by upgrading or exchanging the crystal they hold. These functions require Coins and Crystal Chisels.||Elite Skills|Girls at or above 10-star can upgrade their current skills to elite skills; the upgrade will cost you ""Standard File"" and ""Exclusive File"""
6,Girl Categories,"Classes|Girls can be classified according to their class: Warrior, Mage, Ranger, Assassin, and Priest. Warriors have high HP and Armor, but their ATK tends to be lower. They are usually placed in the frontline to take damage. Mages and Rangers tend to have low HP and Armor, but their ATK tends to be high and they often deal AoE damage. They usually fit in the backline dealing damage. Assassin class stats are similar to Mages and Rangers stats, but their attacks often hit a single target, so they tend to be placed in the backline. Priests tend to have lower stat than other classes, but they often have crowd control abilities and HP regeneration, making them great supports in the backline.||Star Rank|Each Girl has a starting Star Rank. 5-star is the highest starting rank. The higher the star rank a Girl has, the higher her basic stats and skills will be. Graduating or Awakening a Girl helps raise her Star Rank.||Faction|Each Girl is part of one of the following factions: Demon, Angel, Fairy, Ghost, Human, or Monster. Certain factions counter each other in game: Fairy counters Ghost, Ghost counters Human, Human counters Monster, Monster counters Fairy, Demon and Angel counter each other. Girls deal 30% extra damage and have a 15% increase to Precision when fighting a faction that they counter."
7,Gear & Antiques,"Gear/Antique Quality|There are 6 levels of quality (blue, gold, purple, green, red, and orange) with blue being the lowest and orange being the highest.||Gear/Antique Stars|Blue and gold-quality Gear can be upgraded to 2 stars, purple up to 3 stars, green up to 4 stars, and red and orange up to 6 stars. Blue and gold-quality antiques can be upgraded to 4 stars, purple and green up to 5 stars, red and orange up to 6 stars.||Gear Forge| Low-quality Gear can be Forged to make higher-quality pieces of Gear. Antique Shards can be assembled to produce Antiques of the same quality.||Acquiring Gear|You can earn Gear or through Auto-Battle, Tests, Campaign Loot, and Slot Machines. They can also be purchased at the Market, Guild Merchant, and Sanctuary Store.||Upgrade Antiques|Tap an equipped Antique, then tap the up arrow. From here you can combine Antiques from your Bag in order to upgrade your current Antique.||Acquiring Antiques|Once you reach a certain of Auto-Battle, you may receive Antiques as possible rewards. The Guild Merchant has Antiques for sale, and the Slot Machines have Antiques as prizes."
8,Friends,"Finding Friends|Search using their ID; Choose from Recommended Friends under the Search tab; Tap player avatar in Chat; Tap Guild member's avatar in Guild Office||Friend Requests|View your Friend requests under the Requests tab. Tap Agree to add a player as a friend.||Hearts|Friends can send Hearts to each other. Collect 10 Hearts to earn a BFF Capsule.||Delete Friends|Tap your friend's avatar in the List tab, then tap the trash button in the friend's infobox.||Help Fight|You may challenge a Friend Boss every day. In this mode, you will be able to borrow a girl from your Friends. If you defeat the boss, you will be rewarded with Gems, Coins, Girls Shards, etc. You will also be awarded according to how many times the girls you set on Duty has helped your friend to defeat Friend Bosses."
9,Guild,"Joining a Guild|Enter Guild ID or Guild name to search for a Guild, then tap ""Apply"" to send an application to the Guild. You can join after your request is approved.||Creating a Guild|You can create a Guild from the Guild interface. Creating a Guild costs Gems. After your Guild is created, you can invite other players to your Guild and accept applications to grow your Guild.||Guild Leader|The Guild Leader has access to all functions in the Guild Office. The Leader can also transfer their position to other members.||Disband Guild|The Leader can disband the Guild by tapping the Disband button in the Office. After the Leader confirms, the Guild will be disbanded after 2 hours.||Guild Level|Make sure all your members sign into the Office daily to increase your Guild Level.||Guild Merchant|Use Guild Coins at the Guild Merchant to purchase Girl Shards, Gear, and Antique Shards.||Lab|Use Guild Coins in the Lab to upgrade your Guild Skills. Guild Skills will strengthen your own Girls during Guild Battles. You retain Skill upgrades if you transfer to another Guild.||Guild Functions|All members of the Guild can sign into the Guild Office each day to increase the Guild Level. Members can participate in Gym Battles, Cafeteria, and Playground to get Guild Coins and other rewards."
10,General Questions,"1. Q: How do I move my game to a new device without losing my progress?|A: Download the game to your new device and start the game, then go to Settings in the upper right corner of the FrontPage and tap ""Switch"" to choose the 3rd party account you used on your old device.|2. Q: What should I do if my account is stolen or I forget my password?|A: Contact our customer support if you are unable to login.|3. Q: What should I do if I'm unable to login because of a network timeout?|A: Try logging in again, or close the game and relaunch it.|4. Q: What should I do if I'm unable to login due to error ""check updates""?|A: Try closing the game and relaunching it or try a different internet connection. If neither of these work, please contact support.|5. Q: What should I do if my data or account is missing?|A: First, go to Settings on the game's FrontPage to confirm that you are in the same server you normally use. If the server is correct and you still experience problems, please contact us as soon as possible. Provide your account ID (tap your avatar to show ID#), registered e-mail address, and any other relevant information and we will do our best to help you.|6. Q: What should I do if I'm repeatedly disconnected from the game?|A: Please check your network connection or connect to a different network. If you still experience problems, contact support.|7. Q: What should I do if my game crashes during gameplay?|A: Please close all your apps and reopen the game. Otherwise, try restarting your device. If the problem persists, contact support with your model number and a description of your problem.|8. Q: What should I do if I think a player is cheating?|A: We are committed to providing a fair gaming environment for our players. Using bugs in the game to gain an advantage over other players is not allowed. If you find a player cheating, please notify us immediately so we can fix it as soon as possible."
