id,fort_id,name,tips_dialog
1,1,,
2,1,,
3,1,Opening Ceremony,"Senpai, please pay attention to the time. The opening ceremony is about to begin."
4,1,Newbies,"Senpai, be careful where you walk!| It's my fault... Are you injured?"
5,1,House Human,Senpai! What is.. This test?
6,1,House Monster,"Iron Fist, listen to Senpai when he suggested for you to go to House Monster. |Isn't that right, Senpai? Isn't their examination spot right in front of it?"
7,1,House Angel,I've been waiting for almost a day. I thought you were in trouble at House Monster.
8,1,Elf of House Fairy,Are you going to the exam site that Kong Ming is in charge of afterwards?
9,1,Fallen Angel of House Demon,"Ah, House Demon... Sounds terrible... | Haha, it's all right. Don't worry, Iron Fist. Lucifer is actually a pretty cool person."
10,1,House Ghost,Vampires? They are no different from House Demons just now...
11,1,Dinner,"Senpai, after a whole day of work, let's have a banquet ~"
12,1,Riot,Senpai? Senpai?! What's wrong with those students over there?
13,2,Girls' Dorm,What happened on campus? Let's find out!
14,2,Running Late,What happened on campus? Let's find out!
15,2,Fried Noodle Bread,What happened on campus? Let's find out!
16,2,Friendship! Passion! Victory!,What happened on campus? Let's find out!
17,2,Horrors of the Literary Club,What happened on campus? Let's find out!
18,2,Chado,What happened on campus? Let's find out!
19,2,Student Union,What happened on campus? Let's find out!
20,2,SHINING BAND,What happened on campus? Let's find out!
21,2,All of a sudden,What happened on campus? Let's find out!
22,2,Lucifer,What happened on campus? Let's find out!
23,3,Discipline Committee,What happened on campus? Let's find out!
24,3,Investigation,What happened on campus? Let's find out!
25,3,Back to the Grid,What happened on campus? Let's find out!
26,3,CHAOS FIGURE,What happened on campus? Let's find out!
27,3,Blood Moon,What happened on campus? Let's find out!
28,3,Lord of the Night,What happened on campus? Let's find out!
29,3,Hazard,What happened on campus? Let's find out!
30,3,Unstoppable,What happened on campus? Let's find out!
31,3,Fallen Wings,What happened on campus? Let's find out!
32,3,Deteriorate,What happened on campus? Let's find out!
33,4,Yume,What happened on campus? Let's find out!
34,4,Hanabi Girl,What happened on campus? Let's find out!
35,4,Little Wish,What happened on campus? Let's find out!
36,4,Operation in the Street,What happened on campus? Let's find out!
37,4,Defender,What happened on campus? Let's find out!
38,4,Beautiful Night,What happened on campus? Let's find out!
39,4,Graduate,What happened on campus? Let's find out!
40,4,Strange Photo,What happened on campus? Let's find out!
41,4,Light and Dark,What happened on campus? Let's find out!
42,4,D.E.F,What happened on campus? Let's find out!
43,5,Power Practice,What happened on campus? Let's find out!
44,5,Escape is shameful and useless,What happened on campus? Let's find out!
45,5,One who disturbs,What happened on campus? Let's find out!
46,5,Primary Test,What happened on campus? Let's find out!
47,5,Challenger,What happened on campus? Let's find out!
48,5,Advanced Test,What happened on campus? Let's find out!
49,5,Catch me if you can,What happened on campus? Let's find out!
50,5,Power Girl,What happened on campus? Let's find out!
51,5,Final Test,What happened on campus? Let's find out!
52,5,Unexpected Truth,What happened on campus? Let's find out!
53,6,The Beginning,What happened on campus? Let's find out!
54,6,Chinese Cuisine,What happened on campus? Let's find out!
55,6,Enchanted Cottage,What happened on campus? Let's find out!
56,6,Another Divination,What happened on campus? Let's find out!
57,6,Black Fog,What happened on campus? Let's find out!
58,6,Trapped,What happened on campus? Let's find out!
59,6,A Long-range Raid,What happened on campus? Let's find out!
60,6,Committee Has Fallen,What happened on campus? Let's find out!
61,6,Nobunaga,What happened on campus? Let's find out!
62,6,Nightflower,What happened on campus? Let's find out!
63,7,Conflict,What happened on campus? Let's find out!
64,7,Black Rock,What happened on campus? Let's find out!
65,7,Laughing Bat,What happened on campus? Let's find out!
66,7,Behind Reality,What happened on campus? Let's find out!
67,7,Out of Control,What happened on campus? Let's find out!
68,7,Inferno,What happened on campus? Let's find out!
69,7,Nobunaga,What happened on campus? Let's find out!
70,7,The Eye of Judgement,What happened on campus? Let's find out!
71,7,Black or White,What happened on campus? Let's find out!
72,7,Lose,What happened on campus? Let's find out!
73,8,A Bargain from D. E. F,What happened on campus? Let's find out!
74,8,Jetton for Exchange,What happened on campus? Let's find out!
75,8,Negotiation Suspended,What happened on campus? Let's find out!
76,8,Collapse,What happened on campus? Let's find out!
77,8,Catching Fire,What happened on campus? Let's find out!
78,8,Struggle in Mind,What happened on campus? Let's find out!
79,8,Break Out,What happened on campus? Let's find out!
80,8,Voice of Resistance,What happened on campus? Let's find out!
81,8,Air,What happened on campus? Let's find out!
82,8,Conspiracy,What happened on campus? Let's find out!
83,9,Glimmer,What happened on campus? Let's find out!
84,9,Memento,What happened on campus? Let's find out!
85,9,Invasion of Chaos,What happened on campus? Let's find out!
86,9,The Unyielding,What happened on campus? Let's find out!
87,9,Yume,What happened on campus? Let's find out!
88,9,Li,What happened on campus? Let's find out!
89,9,Talk,What happened on campus? Let's find out!
90,9,Twins,What happened on campus? Let's find out!
