id,name,desc,unlock_desc
110101,Basic Supply Lv.1,"After this Observation ends, you will receive a random reward from the following list: Coins/EXP Juice/Crystal Chisels/Lunch Boxes/Gems",
110102,Basic Supply Lv.2,"After this Observation ends, you will receive a random reward from the following list: Coins/EXP Juice/Crystal Chisels/Lunch Boxes/Gems",
110103,Basic Supply Lv.3,"After this Observation ends, you will receive a random reward from the following list: Coins/EXP Juice/Crystal Chisels/Lunch Boxes/Gems",
110104,Basic Supply Lv.4,"After this Observation ends, you will receive a random reward from the following list: Coins/EXP Juice/Crystal Chisels/Lunch Boxes/Gems",
110105,Basic Supply Lv.5,"After this Observation ends, you will receive a random reward from the following list: Coins/EXP Juice/Crystal Chisels/Lunch Boxes/Gems",
110106,Basic Supply Lv.6,"After this Observation ends, you will receive a random reward from the following list: Coins/EXP Juice/Crystal Chisels/Lunch Boxes/Gems",
110201,Plain Button Lv.1,"After this Observation ends, you will receive a certain number of Plain Buttons.",
110202,Plain Button Lv.2,"After this Observation ends, you will receive a certain number of Plain Buttons.",
110203,Plain Button Lv.3,"After this Observation ends, you will receive a certain number of Plain Buttons.",
110204,Plain Button Lv.4,"After this Observation ends, you will receive a certain number of Plain Buttons.",
110205,Plain Button Lv.5,"After this Observation ends, you will receive a certain number of Plain Buttons.",
110206,Plain Button Lv.6,"After this Observation ends, you will receive a certain number of Plain Buttons.",
110301,Plain Silk Lv.1,"After this Observation ends, you will receive a certain number of Plain Silk.",
110302,Plain Silk Lv.2,"After this Observation ends, you will receive a certain number of Plain Silk.",
110303,Plain Silk Lv.3,"After this Observation ends, you will receive a certain number of Plain Silk.",
110304,Plain Silk Lv.4,"After this Observation ends, you will receive a certain number of Plain Silk.",
110305,Plain Silk Lv.5,"After this Observation ends, you will receive a certain number of Plain Silk.",
110306,Plain Silk Lv.6,"After this Observation ends, you will receive a certain number of Plain Silk.",
110401,Dyed Silk Lv.1,"After this Observation ends, you will receive a certain number of Dyed Silk.",
110402,Dyed Silk Lv.2,"After this Observation ends, you will receive a certain number of Dyed Silk.",
110403,Dyed Silk Lv.3,"After this Observation ends, you will receive a certain number of Dyed Silk.",
110404,Dyed Silk Lv.4,"After this Observation ends, you will receive a certain number of Dyed Silk.",
110405,Dyed Silk Lv.5,"After this Observation ends, you will receive a certain number of Dyed Silk.",
110406,Dyed Silk Lv.6,"After this Observation ends, you will receive a certain number of Dyed Silk.",
120101,Challenge · I,"In Lv. 1 Challenge Battles, Outfit Attributes (Courage, Charisma, and Knowledge) will be transformed into Battle Attributes.",
120102,Challenge · I (Victory),Obtained full rewards for your Victory in Lv. 1 Challenge Battle.,
120103,Challenge · I (Defeat),Obtained half rewards for your Defeat in Lv. 1 Challenge Battle.,
120201,Challenge · II,"In Lv. 2 Challenge Battles, Outfit Attributes (Courage, Charisma, and Knowledge) will be transformed into Battle Attributes.",
120202,Challenge · II (Victory),Obtained full rewards for your Victory in Lv. 2 Challenge Battle.,
120203,Challenge · II (Defeat),Obtained half rewards for your Defeat in Lv. 2 Challenge Battle.,
120301,Challenge · III,"In Lv. 3 Challenge Battles, Outfit Attributes (Courage, Charisma, and Knowledge) will be transformed into Battle Attributes.",
120302,Challenge · III (Victory),Obtained full rewards for your Victory in Lv. 3 Challenge Battle.,
120303,Challenge · III (Defeat),Obtained half rewards for your Defeat in Lv. 3 Challenge Battle.,
130101,Luna · I,"I was heavily injured and unconscious when Raphael found me near the mountains. She brought me back to Yume Academy and took care of me until I healed. However, when I woke up, the only thing I remembered was my name.",
130102,Luna · II,"All I have is my name: Luna. Aside from that, I have no memories, no belongings, and no friends. There's no one here for me…I'm so lonely here.","Unlock after ""Encounter Card Upgrade · 1"" reaches Lv.1"
130103,Luna · III,"A person called ""Senpai"" told me that I am no different from any other girl in the Academy. He invited me to become an official student of the Academy, and even gave me a bunny!","Unlock after ""Encounter Card Upgrade · 1"" reaches Lv.2"
130104,Luna · IV,"Senpai's name isn't Senpai, and he told me his name (oﾟ▽ﾟ)o I gave him some snacks I made, will he like them?","Unlock after ""Encounter Card Upgrade · 1"" reaches Lv.3"
130105,Luna · V,"Senpai suggested that I join the Baking Club, so it seems like he liked the snacks after all! The Club members are kind and children often visit us for snacks. I don't feel lonely anymore.","Unlock after ""Encounter Card Upgrade · 1"" reaches Lv.4"
130106,Luna · VI,"A tall girl, Angelica, visited us for snacks today. She doesn't look like a child. Hey! Don't laugh at her, Frexie, even grown-ups can have a snack now and then!","Unlock after ""Encounter Card Upgrade · 1"" reaches Lv.5"
130107,Luna · VII,"I have a feeling that someone is looking at me, but when I look around, the only person I find is Angelica. But it can't be her: a grown-up that likes sweets and snacks so much can't be a bad person!","Unlock after ""Encounter Card Upgrade · 1"" reaches Lv.6"
130201,Blowie · I,"It's been an entire week since I'm here at Yume Academy, and I can't take it anymore~ I like it here, but not having large baths are killing me.",
130202,Blowie · II,"I skipped classes and explored the Academy today. This place is like a prison, with no recreation facilities at all! All I want is a nice bathhouse…","Unlock after ""Encounter Card Upgrade · 2"" reaches Lv.1"
130203,Blowie · III,"If there are no bathhouses here, I'll build one myself! But it's so tiring, and I want to have a nice long bath~","Unlock after ""Encounter Card Upgrade · 2"" reaches Lv.2"
130204,Blowie · IV,"Another day of working on my dream bathhouse. The first thing to do is to dig out a foundation…wait, what is that thing? A dirty oil lamp?","Unlock after ""Encounter Card Upgrade · 2"" reaches Lv.3"
130205,Blowie · V,"I dreamed that a pretty girl emerged from the oil lamp, promising me one wish. I wished for a huge bathhouse. I hope it really appears when I wake up!","Unlock after ""Encounter Card Upgrade · 2"" reaches Lv.4"
130206,Blowie · VI,"Oh my, my dream bathhouse is really there! I'll go in right away. Wait a minute, where has the lamp gone?","Unlock after ""Encounter Card Upgrade · 2"" reaches Lv.5"
