id,name,水鏡深戀淨靈皮膚,type,pos,qlt,star,item_lv,price,base1,base2,base3,skill_id,ex_skill,group,job,act,form,suit_name,suit1,suit2,suit3,suit_skills,icon,formula,need_formula,treasure_upgrade,treasure_all_upgrade,treasure_refresh,treasure_lock_up,treasure_max,treasure_weight,artifact_exp,artifact_upg,artifact_next,artifact_pink,initial_artifact,power,partner_model,avatar,fx_index,get_ways
7204,-1,-1,12,7,6,6,1,0,atkP#0.02,hpP#0.04,decDmg#30,,,,,,,,,,,,partner_avatar_5201702,,,,,,,,,,,,,,,5201702,partner_avatar_5201702,1,
7205,-1,-1,12,7,6,6,1,0,hpP#0.03,miss#40,,,,,,,,,,,,,partner_avatar_5101304,,,,,,,,,,,,,,,5101304,partner_avatar_5101304,3,
7206,-1,-1,12,7,6,6,1,0,hpP#0.04,atkP#0.03,decDmg#40,,,,,,,,,,,,partner_avatar_5301504,,,,,,,,,,,,,,,5301504,partner_avatar_5301504,3,
7207,-1,-1,12,7,6,6,1,0,hpP#0.04,atkP#0.03,free#50,,,,,,,,,,,,partner_avatar_5501003,,,,,,,,,,,,,,,5501003,partner_avatar_5501003,2,
7208,-1,-1,12,7,6,6,1,0,hpP#0.04,decDmg#40,spd#4,,,,,,,,,,,,partner_avatar_5401404,,,,,,,,,,,,,,,5401404,partner_avatar_5401404,3,
7209,-1,-1,12,7,6,6,1,0,hpP#0.05,healB#0.05,spd#4,,,,,,,,,,,,partner_avatar_5600606,,,,,,,,,,,,,,,5600606,partner_avatar_5600606,5,
7210,-1,-1,12,7,6,6,1,0,hpP#0.03,atkP#0.03,free#50,,,,,,,,,,,,partner_avatar_5400302,,,,,,,,,,,,,,,5400302,partner_avatar_5400302,1,
7211,-1,-1,12,7,6,6,1,0,hpP#0.03,spd#4,decDmg#40,,,,,,,,,,,,partner_avatar_5301602,,,,,,,,,,,,,,,5301602,partner_avatar_5301602,1,
7212,-1,-1,12,7,6,6,1,0,hpP#0.03,atkP#0.03,critTime#100,,,,,,,,,,,,partner_avatar_5600803,,,,,,,,,,,,,,,5600803,partner_avatar_5600803,2,
7213,-1,-1,12,7,6,6,1,0,atkP#0.03,spd#4,healB#0.05,,,,,,,,,,,,partner_avatar_5401305,,,,,,,,,,,,,,,5401305,partner_avatar_5401305,3,
7214,-1,-1,12,7,6,6,1,0,hpP#0.03,crit#40,,,,,,,,,,,,,partner_avatar_5300706,,,,,,,,,,,,,,,5300706,partner_avatar_5300706,5,
7215,-1,-1,12,7,6,6,1,0,hpP#0.05,atkP#0.03,decDmg#40,,,,,,,,,,,,partner_avatar_5600704,,,,,,,,,,,,,,,5600704,partner_avatar_5600704,3,
7216,-1,-1,12,7,6,6,1,0,hpP#0.03,atkP#0.03,,,,,,,,,,,,,partner_avatar_5300802,,,,,,,,,,,,,,,5300802,partner_avatar_5300802,1,
7217,-1,-1,12,7,6,6,1,0,hpP#0.04,sklP#100,spd#4,,,,,,,,,,,,partner_avatar_5500905,,,,,,,,,,,,,,,5500905,partner_avatar_5500905,4,
7218,-1,-1,12,7,6,6,1,0,hpP#0.05,atkP#0.03,spd#4,,,,,,,,,,,,partner_avatar_5201703,,,,,,,,,,,,,,,5201703,partner_avatar_5201703,2,
7219,-1,-1,12,7,6,6,1,0,hpP#0.03,decDmg#30,,,,,,,,,,,,,partner_avatar_5600705,,,,,,,,,,,,,,,5600705,partner_avatar_5600705,4,
7220,-1,-1,12,7,6,6,1,0,hpP#0.04,atkP#0.03,spd#4,,,,,,,,,,,,partner_avatar_5501004,,,,,,,,,,,,,,,5501004,partner_avatar_5501004,3,
7221,-1,-1,12,7,6,6,1,0,hpP#0.03,atkP#0.03,decDmg#40,,,,,,,,,,,,partner_avatar_5301603,,,,,,,,,,,,,,,5301603,partner_avatar_5301603,2,
7222,-1,-1,12,7,6,6,1,0,hpP#0.03,atkP#0.03,crit#40,,,,,,,,,,,,partner_avatar_5401602,,,,,,,,,,,,,,,5401602,partner_avatar_5401602,1,
7223,-1,-1,12,7,6,6,1,0,hpP#0.03,atkP#0.02,,,,,,,,,,,,,partner_avatar_5400503,,,,,,,,,,,,,,,5400503,partner_avatar_5400503,2,
7224,-1,-1,12,7,6,6,1,0,hpP#0.04,atkP#0.04,spd#4,,,,,,,,,,,,partner_avatar_5600804,,,,,,,,,,,,,,,5600804,partner_avatar_5600804,3,
7225,-1,-1,12,7,6,6,1,0,hpP#0.03,decDmg#40,healB#0.02,,,,,,,,,,,,partner_avatar_5301702,,,,,,,,,,,,,,,5301702,partner_avatar_5301702,1,
7226,-1,-1,12,7,6,6,1,0,hpP#0.03,atkP#0.04,critTime#100,,,,,,,,,,,,partner_avatar_5101602,,,,,,,,,,,,,,,5101602,partner_avatar_5101602,1,
7227,-1,-1,12,7,6,6,1,0,hpP#0.04,decDmg#40,spd#4,,,,,,,,,,,,partner_avatar_5401304,,,,,,,,,,,,,,,5401306,partner_avatar_5401304,4,
7228,-1,-1,12,7,6,6,1,0,hpP#0.03,healB#0.02,,,,,,,,,,,,,partner_avatar_5201504,,,,,,,,,,,,,,,5201504,partner_avatar_5201504,3,
