id,cost6,cost5,cost4
1,2#600|1#8000,2#500|1#8000,2#400|1#8000
2,2#600|1#8001,2#500|1#8001,2#400|1#8001
3,2#600|1#8002,2#500|1#8002,2#400|1#8002
4,2#600|1#8003,2#500|1#8003,2#400|1#8003
5,2#600|1#8004,2#500|1#8004,2#400|1#8004
6,2#600|1#8005,2#500|1#8005,2#400|1#8005
7,2#600|1#8006,2#500|1#8006,2#400|1#8006
8,2#600|1#8007,2#500|1#8007,2#400|1#8007
9,2#600|1#8008,2#500|1#8008,2#400|1#8008
10,2#600|1#8009,2#500|1#8009,2#400|1#8009
11,2#600|1#8010,2#500|1#8010,2#400|1#8010
12,2#600|1#8011,2#500|1#8011,2#400|1#8011
13,2#600|1#8012,2#500|1#8012,2#400|1#8012
14,2#600|1#8013,2#500|1#8013,2#400|1#8013
15,2#600|1#8014,2#500|1#8014,2#400|1#8014
16,2#600|1#8015,2#500|1#8015,2#400|1#8015
17,2#600|1#8016,2#500|1#8016,2#400|1#8016
18,2#600|1#8017,2#500|1#8017,2#400|1#8017
19,2#600|1#8018,2#500|1#8018,2#400|1#8018
20,2#600|1#8019,2#500|1#8019,2#400|1#8019
21,2#600|1#8020,2#500|1#8020,2#400|1#8020
22,2#600|1#8021,2#500|1#8021,2#400|1#8021
23,2#600|1#8022,2#500|1#8022,2#400|1#8022
24,2#600|1#8023,2#500|1#8023,2#400|1#8023
25,2#600|1#8024,2#500|1#8024,2#400|1#8024
26,2#600|1#8025,2#500|1#8025,2#400|1#8025
27,2#600|1#8026,2#500|1#8026,2#400|1#8026
28,2#600|1#8027,2#500|1#8027,2#400|1#8027
29,2#600|1#8028,2#500|1#8028,2#400|1#8028
30,2#600|1#8029,2#500|1#8029,2#400|1#8029
31,2#600|1#8030,2#500|1#8030,2#400|1#8030
32,2#600|1#8031,2#500|1#8031,2#400|1#8031
33,2#600|1#8032,2#500|1#8032,2#400|1#8032
34,2#600|1#8033,2#500|1#8033,2#400|1#8033
35,2#600|1#8034,2#500|1#8034,2#400|1#8034
36,2#600|1#8035,2#500|1#8035,2#400|1#8035
37,2#600|1#8036,2#500|1#8036,2#400|1#8036
38,2#600|1#8037,2#500|1#8037,2#400|1#8037
39,2#600|1#8038,2#500|1#8038,2#400|1#8038
40,2#600|1#8039,2#500|1#8039,2#400|1#8039
41,2#600|1#8040,2#500|1#8040,2#400|1#8040
42,2#600|1#8041,2#500|1#8041,2#400|1#8041
43,2#600|1#8042,2#500|1#8042,2#400|1#8042
44,2#600|1#8043,2#500|1#8043,2#400|1#8043
45,2#600|1#8044,2#500|1#8044,2#400|1#8044
46,2#600|1#8045,2#500|1#8045,2#400|1#8045
47,2#600|1#8046,2#500|1#8046,2#400|1#8046
48,2#600|1#8047,2#500|1#8047,2#400|1#8047
49,2#600|1#8048,2#500|1#8048,2#400|1#8048
50,2#600|1#8049,2#500|1#8049,2#400|1#8049
51,2#600|1#8050,2#500|1#8050,2#400|1#8050
52,2#600|1#8051,2#500|1#8051,2#400|1#8051
53,2#600|1#8052,2#500|1#8052,2#400|1#8052
54,2#600|1#8053,2#500|1#8053,2#400|1#8053
55,2#600|1#8054,2#500|1#8054,2#400|1#8054
56,2#600|1#8055,2#500|1#8055,2#400|1#8055
57,2#600|1#8056,2#500|1#8056,2#400|1#8056
58,2#600|1#8057,2#500|1#8057,2#400|1#8057
59,2#600|1#8058,2#500|1#8058,2#400|1#8058
60,2#600|1#8059,2#500|1#8059,2#400|1#8059
61,2#600|1#8060,2#500|1#8060,2#400|1#8060
62,2#600|1#8061,2#500|1#8061,2#400|1#8061
63,2#600|1#8062,2#500|1#8062,2#400|1#8062
64,2#600|1#8063,2#500|1#8063,2#400|1#8063
65,2#600|1#8064,2#500|1#8064,2#400|1#8064
66,2#600|1#8065,2#500|1#8065,2#400|1#8065
67,2#600|1#8066,2#500|1#8066,2#400|1#8066
68,2#600|1#8067,2#500|1#8067,2#400|1#8067
69,2#600|1#8068,2#500|1#8068,2#400|1#8068
70,2#600|1#8069,2#500|1#8069,2#400|1#8069
71,2#600|1#8070,2#500|1#8070,2#400|1#8070
72,2#600|1#8071,2#500|1#8071,2#400|1#8071
73,2#600|1#8072,2#500|1#8072,2#400|1#8072
74,2#600|1#8073,2#500|1#8073,2#400|1#8073
75,2#600|1#8074,2#500|1#8074,2#400|1#8074
76,2#600|1#8075,2#500|1#8075,2#400|1#8075
77,2#600|1#8076,2#500|1#8076,2#400|1#8076
78,2#600|1#8077,2#500|1#8077,2#400|1#8077
79,2#600|1#8078,2#500|1#8078,2#400|1#8078
80,2#600|1#8079,2#500|1#8079,2#400|1#8079
81,2#600|1#8080,2#500|1#8080,2#400|1#8080
82,2#600|1#8081,2#500|1#8081,2#400|1#8081
83,2#600|1#8082,2#500|1#8082,2#400|1#8082
84,2#600|1#8083,2#500|1#8083,2#400|1#8083
85,2#600|1#8084,2#500|1#8084,2#400|1#8084
86,2#600|1#8085,2#500|1#8085,2#400|1#8085
87,2#600|1#8086,2#500|1#8086,2#400|1#8086
88,2#600|1#8087,2#500|1#8087,2#400|1#8087
