id,name,desc,lv,first_stage_id,fort_img_id,memory_fort_img_id,lock_type,is_last
1,-1,-1,1,1,fort_img_1,fort_img_1,,0
2,-1,-1,1,13,fort_img_2,fort_img_2,,0
3,-1,-1,1,23,fort_img_3,fort_img_3,,0
4,-1,-1,1,33,fort_img_4,fort_img_4,,0
5,-1,-1,1,43,fort_img_5,fort_img_5,,0
6,-1,-1,1,53,fort_img_6,fort_img_6,,0
7,-1,-1,1,63,fort_img_7,fort_img_7,,0
8,-1,-1,1,73,fort_img_8,fort_img_8,,0
9,-1,-1,1,83,fort_img_9,fort_img_9,,0
10,-1,-1,1,93,fort_img_10,fort_img_10,,1
11,-1,-1,2,103,fort_img_11,fort_img_11,1,0
12,-1,-1,2,113,fort_img_12,fort_img_12,1,0
13,-1,-1,2,123,fort_img_13,fort_img_13,1,0
14,-1,-1,2,133,fort_img_14,fort_img_14,1,0
15,-1,-1,2,143,fort_img_15,fort_img_15,1,0
16,-1,-1,2,153,fort_img_16,fort_img_16,1,0
17,-1,-1,2,163,fort_img_7,fort_img_7,,0
18,-1,-1,2,173,fort_img_8,fort_img_8,,0
19,-1,-1,2,183,fort_img_9,fort_img_9,,0
20,-1,-1,2,193,fort_img_10,fort_img_10,,1
21,-1,-1,3,203,fort_img_1,fort_img_1,,0
22,-1,-1,3,213,fort_img_2,fort_img_2,,0
23,-1,-1,3,223,fort_img_3,fort_img_3,,0
24,-1,-1,3,233,fort_img_4,fort_img_4,,0
25,-1,-1,3,243,fort_img_5,fort_img_5,,0
26,-1,-1,3,253,fort_img_6,fort_img_6,,0
27,-1,-1,3,263,fort_img_7,fort_img_7,,0
28,-1,-1,3,273,fort_img_8,fort_img_8,,0
29,-1,-1,3,283,fort_img_9,fort_img_9,,0
30,-1,-1,3,293,fort_img_10,fort_img_10,,1
31,-1,-1,4,303,fort_img_1,fort_img_1,,0
32,-1,-1,4,313,fort_img_2,fort_img_2,,0
33,-1,-1,4,323,fort_img_3,fort_img_3,,0
34,-1,-1,4,333,fort_img_4,fort_img_4,,0
35,-1,-1,4,343,fort_img_5,fort_img_5,,0
36,-1,-1,4,353,fort_img_6,fort_img_6,,0
37,-1,-1,4,363,fort_img_7,fort_img_7,,0
38,-1,-1,4,373,fort_img_8,fort_img_8,,0
39,-1,-1,4,383,fort_img_9,fort_img_9,,0
40,-1,-1,4,397,fort_img_10,fort_img_10,,1
41,-1,-1,5,411,fort_img_1,fort_img_1,,0
42,-1,-1,5,421,fort_img_2,fort_img_2,,0
43,-1,-1,5,431,fort_img_3,fort_img_3,,0
44,-1,-1,5,441,fort_img_4,fort_img_4,,0
45,-1,-1,5,451,fort_img_5,fort_img_5,,0
46,-1,-1,5,461,fort_img_6,fort_img_6,,0
47,-1,-1,5,471,fort_img_7,fort_img_7,,0
48,-1,-1,5,486,fort_img_8,fort_img_8,,0
49,-1,-1,5,501,fort_img_9,fort_img_9,,0
50,-1,-1,5,516,fort_img_10,fort_img_10,,1
