id,name,desc
10001,Bain de Soleil,Boutique de Skin
10002,Code Source,Boutique de Skin
10003,Reine des Mers,Boutique de Skin
10004,Ligne du Destin,Boutique de Skin
10005,Habit de Sorcière,Boutique de Skin
10006,Élite de Bataille,Boutique de Skin
10007,Maître du Karaté,Boutique de Skin
10008,Alice en rêve,Boutique de Skin
10009,Reine des neiges,Boutique de Skin
10010,Carnaval de Noël,Boutique de Skin
10011,Lutin de Nôel,Boutique de Skin
10012,Hiver au Pays Fantastique,Boutique de Skin
10013,Danse Givrée,Boutique de Skin
10014,Nouvel An,Exclusif
10015,Chérie,Boutique de Skin
10016,Rose Chérie,Boutique de Skin
10017,Pluie de Cerise,Boutique de Skin
10018,Rose de Nuit,Serment
10019,Équinoxe,Serment
10020,Baiser Écarlate,Serment
10021,Rose Sakura,Serment
10022,Rose Glacée,Serment
10023,Rose Blanche,Serment
10024,Floraison,Boutique de Skin
10025,Chasse de Pâques,Boutique de Skin
10026,Musique d'Amour,Serment
10027,Rose Rouge,Serment
10028,Miaou Tueur,Boutique de Skin
10029,Examen Ange,Boutique de Skin
10030,Examen Humain,Boutique de Skin
10031,Zongzi,Exclusif
10032,Examen Monstre,Boutique de Skin
10033,Fraîcheur de la Plage,Exclusif
10034,Mer d'Azur,Exclusif
10035,Examen Démon,Exclusif
10036,Ruineuse de Soirée,Boutique de Skin
10037,Gourmande,Boutique de Skin
10038,Surfeuse,Exclusif
10039,Mariée Divine,Serment
10040,Quartz Rose,Serment
10041,Brise de l'Océan,Exclusif
10042,Examen Fée,Exclusif
10043,Fantaisie d'Été,Exclusif
10044,Kimono Blanc,Serment
10045,Examen Fantôme,Exclusif
10046,Plume Légère,Serment
10047,Visage Séduisant,Défi Personnage·Hottie
10048,Flamme Éternelle,Serment
10049,Voile Gracieux,Serment
10050,Musique de l'Âme,Exclusif
10051,Concert de Rock,Évènements ou Boutique de Skin
10052,Roulement de Tambour,Évènements ou Boutique de Skin
10053,Rugissement,Exclusif
10054,Lapin de Maison,Exclusif
10055,Opération Secrète,Évènements ou Boutique de Skin
10056,Grimoire,Exclusif
10057,Plume Radieuse,Exclusif
10058,Nouveau Départ,"Quête ""Nouveau Départ"" d'Iron Fist"
10059,Automne,Boutique de Skin
10060,Yokai Rosé,Exclusif
10061,Halloween,Exclusif
10062,Charmante,Exclusif
10063,Comète,Exclusif
10064,Etoile Filante,Évènements ou Boutique de Skin
10065,Cyber Attaque,Exclusif
10066,Pétale Tombante,Exclusif
10067,Brise Légère,Exclusif
10068,Source Chaude,Évènements ou Boutique de Skin
10069,Chaleur Tentante,Exclusif
10070,Bain Chaud,Boutique de Skin
10071,Sylphe,Exclusif
10072,Atlante,Exclusif
10073,Cadeau des Mages,Exclusif
10074,Noël Enneigé,Exclusif
10075,Conte des Neiges,Exclusif
10076,Lame de Glace,Exclusif
10077,Pause Café,Exclusif
10078,Danse Féline,Exclusif
10079,Destinée,Exclusif
10080,Lanterne Volante,Exclusif
10081,Amoureuse,Exclusif
10082,Rose Piquante,Exclusif
10083,Sommelière,Exclusif
10084,Gouvernante,Exclusif
10085,Aristocrate,Exclusif
10086,Danseuse Sakura,Exclusif
10087,Kimono Neige Rosée,Exclusif
10088,Sacrement,Serment
10089,Arbitre,Exclusif
10090,Star de Baseball,Exclusif
10091,Sprinteuse,Exclusif
10092,Smasheuse,Exclusif
10093,Pistolero,Exclusif
10094,Bénédiction,Serment
10095,Violoniste,Exclusif
10096,Union Rosée,Serment
10097,Promesse Violette,Serment
21001,Essence,EXP pour améliroer l'Antiquité
21002,Craie,Butin
21003,Tabouret,Butin
21004,Machette Maléfique,Butin
21005,Lumière d'Alarme,Butin
21006,Livre de Magie pour Débutant,Butin
22001,Cube Doré,Butin
22002,Couronne Argentée,Butin
22003,Malédiction de Sorcière,Butin
22004,Sac Universel,Butin
22005,Guide de Magie Avancé,Butin
23001,Trèfle à 4 Feuilles,"Butin, Combiner les Fragments, Distributeur"
23002,Fronde,"Butin, Combiner les Fragments, Distributeur"
23003,Baiser de la Fée des Neiges,"Butin, Combiner les Fragments, Distributeur"
23004,Ceinture Noire,"Butin, Combiner les Fragments, Distributeur"
23005,Foulard de Judo,"Butin, Combiner les Fragments, Distributeur"
24001,Batte de Baseball,"Combiner les Fragments, Marché"
24002,Katana,"Combiner les Fragments, Marché"
24003,Livre Scellé,"Combiner les Fragments, Marché"
24004,Dent de Dragon,"Combiner les Fragments, Marché"
24005,Baril de Pétrole,"Combiner les Fragments, Marché"
24006,Chaussures en Cuir,"Combiner les Fragments, Marché"
24007,Gâteau de Fruit,"Combiner les Fragments, Marché"
25001,Bâton d'Ange,"Combiner les Fragments, Marché"
25002,Plume de Feu,"Combiner les Fragments, Marché"
25003,Lame Démoniaque,"Combiner les Fragments, Marché"
25004,Rune d'Éclair,"Combiner les Fragments, Marché"
25005,Cœur Brave,"Combiner les Fragments, Marché"
25006,Bas en Dentelle,"Combiner les Fragments, Marché"
25007,Branche de Cerisier,"Combiner les Fragments, Marché"
25008,Masque de Danse,"Combiner les Fragments, Marché"
25009,Reine du Poker,"Combiner les Fragments, Marché"
25010,Hâche de la Fée des Neiges,"Combiner les Fragments, Marché"
25011,Sapin de Nöel,"Combiner les Fragments, Marché"
25012,Cœur de Tonnerre,"Combiner les Fragments, Marché"
25013,Super Potion,"Combiner les Fragments, Marché"
25014,Pendentif d'Âme,"Combiner les Fragments, Marché"
