id,get_chapter,get_url,get_url_h5
1,Épisode 1,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_001_fr_fr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/妹萌1fr标.png?width=720&height=1753
2,Épisode 2,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_002_fr_fr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/妹萌2fr标.png?width=720&height=1753
3,Épisode 3,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_003_fr_fr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/妹萌3fr标.png?width=720&height=1753
4,Épisode 4,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_004_fr_fr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/妹萌4fr标.png?width=720&height=1753
5,Épisode 5,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_005_fr_fr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/妹萌5fr标.png?width=720&height=1753
6,Épisode 6,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_006_fr_fr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/妹萌6fr标.png?width=720&height=1753
7,Épisode 7,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_007_fr_fr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/妹萌7fr标.png?width=720&height=1753
8,Épisode 8,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_008_fr_fr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/妹萌8fr标.png?width=720&height=1753
9,Épisode 9,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_009_fr_fr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/妹萌9fr标.png?width=720&height=1753
10,Épisode 10,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_010_fr_fr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/妹萌10fr标.png?width=720&height=1753
11,Épisode 11,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_011_fr_fr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/妹萌11fr标.png?width=720&height=1753
12,Épisode 12,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_012_fr_fr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/妹萌12fr标.png?width=720&height=1753
