id,name,desc,skill_desc1,skill_desc2,skill_desc3,skill_desc4
851001,Sapphire,"1. Prêtresse de la Maison Fantôme infligeants des dégâts; \n2. Compétence Active : pétrifie les Filles de la ligne arrière, augmente également la Précision des alliées, en même temps, l'Attaque Basique réduit la Blocage des ennemis. \n3. Elle est plutôt lente, donc il est conseillé d'améliorer sa Vitesse pour causer plus des dégâts.","Compétence Active : Inflige des dégâts aux ennemis de la ligne arrière et a de la chance de les pétrifier.\nPlus sa Vitesse est rapide, plus elle peut déclencher cette Compétence rapidement.","Compétence de Renforcement : L'Attaque Basique cible les ennemis de la ligne avant, affaiblissant énormément les Filles ayant un taux de Blocage élevé (telles que Guan Yin, Javelin et Nobunaga).",Compétence de Renforcement : Augmente l'Attaque et la Précision.,"Compétence de Renforcement : Lorsqu'elle est blessée, augmente considérablement son Attaque pendant 3 tours."
851002,Gambler,"1. Assassin de la Maison Fantôme infligeant des dégâts corrects, elle récupére de la vie si elle tue sa cible, elle inflige des dégâts importants aux ennemis souffrant de Saignement. \n2. Elle inflige des dégâts acceptables en mode PVE. \n3. Elle n'a pas beaucoup de PV et ne survit pas longtemps face aux contrôles, donc il est conseillé d'augmenter son Immunité face aux Contrôles ainsi que d'augmenter ses PV.","Compétence Active : Inflige des dégâts à 2 ennemis aléatoirement et infligera des dégâts supplémentaires de Saignement, si la cible est un Éclaireur, les Dégâts sur la Durée seront augmentés.\nAprès avoir atteint 6 étoiles, la Compétence Active ciblera 3 ennemies.\nAprès avoir atteint 10 étoiles, elle récupérera des PV via cette Compétence Active.",Compétence de Renforcement : Toutes ses attaques augmentent la Pénétration d'Armure et font saigner la cible.,Compétence de Renforcement : Augmente l'Attaque et la Précision.,Compétence de Soin : Lorsqu'une Fille adverse meurt elle récupére des PV. La quantité de Soin est basée sur son Attaque.
851003,Succuba,"1. Guerrière de la Maison Fantôme, souvent placée sur la ligne avant.\n2. Ses attributs sont plus faibles que les autres Filles au début, mais après avoir atteint 10 étoiles, elle sera incroyablement plus puissante et obtiendra des Compétences de contrôle.","Compétence Active : Inflige des dégâts aux Filles de la ligne arrière et se soigne.\nAprès avoir atteint 10 étoiles, cette compétence gèlera également les cibles.\nLa quantité de PV régénérée est basée sur les dégâts infligés par Succuba, avant d'avoir atteint 10 étoiles cette compétence n'est pas à son maximum.",Compétence de Renforcement : Augmente sa Précision et son Attaque.,Compétence de Soin : Récupére des PV après qu'une ennemie bloque une attaque.,"Compétence de Soin : Lorsqu'elle attaque, elle récupére des PV, cette compétence sera améliorée quand Succuba atteint 10 étoiles."
851004,Dracula,"
1. Assassin de la Maison Fantôme. 
2. Compétence Active : Attaque tous les Mages. Elle peut être utilisée en Test pour combattre les équipes composées principalement de Mages. 
3. Elle attaquera en priorité la Fille ayant le moins de PV, ce qui permet d\'avoir l\'avantage numérique très rapidement. 
4. Compétence Passive: lui permet de se soigner. Après avois atteint 6 ou 10 Étoiles, elle peut être mise sur la ligne avant.","Compétence Active : Attaque aléatoirement 3 ennemis, étourdit les mages et leur inflige des dégâts supplémentaires, cette compétence est puissante contre les mages.\nAprès avoir atteint 6 étoiles, elle attaque 4 cibles.",Compétence de Renforcement : Augmente les dégâts et la survie.,Compétence de Renforcement : Augmente l'Attaque Basique de Dracula et attaque la cible ayant le moins de PV.,"Compétence de Renforcement : Lorsque ses PV sont inférieurs à 80%, obtient un boost de dégâts et récupère des PV sur la durée."
851005,Wu Kong,"1. Éclaireuse de la Maison Fantôme. \n2. Tueuse d'assassins, elle est très utile en Test afin de combattre les équipes d'assassins. Elle peut étourdir les assassins et elle inflige plus de dégâts aux assassins. \n3. Elle est plutôt lente, donc augmenter sa Vitesse serait une très bonne idée.","
Compétence Active : Attaque 3 cibles aléatoirement, étourdit et inflige des dégâts élevés aux assassins.
Après avoir atteint 6 étoiles, sa compétence attaquer 4 cibles.
Après avoir atteint 10 étoiles, elle empoisonne également les assassins.
Les dégâts de cette compétence sont élevés contre les assassins ce qui fait d\'elle un contre très puissant contre ces derniers.",Compétence de Contrôle : A de grandes chances d'étourdir la cible.,"Compétence de Renforcement : Inflige des dégâts supplémentaires aux assassins, vous pouvez la combiner avec la première Compétence Passive ainsi qu'avec d'autres Filles de contrôle.","Compétence de Renforcement : Réduit l'Armure de la cible, et augmente les dégâts."
851006,Fencer,"
1. Guerrière de la Maison Fantôme ayant une compétence de contrôle de geler. 
2. Compétence Active : Attaque les Filles de la ligne avant et a des chances de les geler. 
3. Lorsqu\'elle subit des dégâts elle a des chances de geler l\'attaquante, soigner ses PV et augmenter son Armure. 
4. Peu importe son niveau d\'étoiles, elle est une Fille qui vaut le coup d\'être évoluée.","Compétence Active : Attaque les Filles de la ligne avant et peut également les geler, en même temps, récupére des PV augmentant ses chances de survie.","Compétence de Contrôle : Lorsqu'elle subit des dégâts, elle a des chances de geler l'attaquante, si l'attaquante est une Guerrière, la probabilité de geler la cible augmente.",Compétence de Renforcement : Augmente l'Attaque et la survie et est immunisée contre l'effet geler.,"Compétence de Renforcement : Lorsqu'elle est blessée, elle peut se soigner à partir d'un certain montant de PV."
851007,Wildtress,"1. Guerrière de la Maison Fantôme. \n2. Les dégâts de ses compétences ne sont pas mauvais, après avoir atteint 10 étoiles, sa Compétence Active a une grande probabilité de réduire de 30% l'Attaque des ennemis et permettre ainsi à son équipe de survivre plus longtemps.","Compétence Active : Attaque la Fille ayant le moins de PV, et réduit l'Attaque de celle-ci.\nAprès avoir atteint 10 étoiles, inflige également des dégâts supplémentaires.",Compétence de Renforcement : Augmente les dégâts et la survie.,"Compétence de Renforcement : Chaque fois qu'elle attaque, ses dégâts augmentent.","Compétence de Renforcement : Lorsqu'elle est blessée, ses dégâts augmentent considérablement."
851008,Sakura,"
1. Éclaireuse de la Maison Fantôme, elle peut pétrifier l\'ennemi et lui causer ensuite plus de dégâts. 
2. Elle a une bonne compétence de contrôle : pétrifier les Filles de la ligne arrière et réduire également l\'Armure de la cible. 
3. Elle a de la Résistance aux Dégâts élevée et est immunisée contre les pétrifications. 
4. Il est recommandé de la faire évoluer si vous n\'avez pas d\'autre Fille de Contrôle.","Compétence Active : Attaque les Filles de la ligne arrière et a une certaine probabilité de les pétrifier, réduit également l'Armure de la cible.",Compétence de Renforcement : Augmente l'Attaque et la survie et est immunisée contre la pétrification.,"Compétence de Renforcement : L'Attaque Basique cible les ennemis de la ligne arrière et a une certaine probabilité de les pétrifier , elle inflige plus des dégâts aux cibles déjà pétrifiées.","Compétence de Renforcement : Lorsqu'elle est blessée, elle augmente sa Résistance aux Dégâts, augmentant ses chances de survie."
851009,Giana,"1. Mage de la Maison Fantôme. \n2. Quand elle meurt, elle inflige des dégâts incroyables. \n3. Elle peut être d'une grande aide pour les Filles qui peuvent bénéficier de sa mort (comme Saint, Ésaü et Jacob).","Compétence Active : Attaque toutes les ennemies, elle peut également rendre les guerrières au silence.\nAprès avoir atteint 10 étoiles, augmente également l'attaque de manière continu, augmentant ses dégâts.","Compétence de Renforcement : Lorsqu'une alliée meurt, augmente les Critiques et l'Attaque, augmente incroyablement les dégâts.",Compétence de Renforcement : Augmente la survie et les dégâts.,Compétence Principale : Inflige des dégâts à tous les ennemis lorsqu'elle meurt.
851010,Ennmaya,"
1. Assassin de la Maison Fantôme.
2.L\'Attaque Basique cilbe 1 ennemi de la ligne arrière.
3. Elle possède une attaque de base élevée, elle est rapide, elle empoisonne et étourdit la cible, elle est donc très utile comme combattante.
4. Après avoir monté Entrave Niv.3 chaque attaque a la probabilité d\'étourdir la cible. Sa Compétence Active vient combler sa faiblesse de PV.","
Compétence Active : Attaque une Fille aléatoire de la ligne arrière, empoisonne la cible, a également une probabilité d\'étourdir la cible.
Après avoir atteint 6 étoiles, elle peut cibler 2 Filles.
Après avoir atteint 10 étoiles, cette compétence devient plus forte, augmentant sa Résistance aux Dégâts, augmentant ainsi sa capacité de survie.
Grâce à sa capacité d\'Empoisonnement Ennmaya peut faire équipe avec des Filles infligeant des dégâts d\'Empoisonnement afin d\'infliger encore plus de dégâts.","Compétence de Renforcement : Augmente les dégâts et la survie, augmente les dégâts infligés aux cibles empoisonnées.",Compétence de Renforcement : L'attaque a la probabilité d'étourdir la cible.,"Compétence de Renforcement : Lorsqu'elle est blessée, inflige des dégâts supplémentaires d'Empoisonnement à deux Filles de la ligne arrière.\nAprès avoir atteint 10 étoiles, cette compétence empoisonne toutes les Filles de la ligne arrière."
