id,title,name,dialog,select_text
1,Nouvelles Elèves,Etudiantes,J'ai entendu dire qu'il y aura bientôt des nouvelles élèves !,
2,,Etudiantes,Je me demande bien quel genre de personne va rejoindre l'académie~,
3,,Hottie,Garde le futur au futur~ Maintenant on est dans le présent~,
4,,Hottie,Alors retourne en classe ! Vous... Vous n'oseriez tout de même pas manquer à mon cours !,
5,,Etudiantes,Heureusement que ce n'est pas moi...,
6,,,Le couloir est de nouveau retourné au calme.,
7,,Hottie,Attends un instant.,
8,,*,Ah ? C'est à moi que tu parles ?,
9,,Hottie,"Fais pas l'imbécile, à part toi il n'y a personne d'autre dans le couloir !",
10,,*,"Euh... Hottie, as-tu besoin d'aide ?",
11,,Hottie,Tu as si peur que ça ? Tu as peur que je te... Mange ?,
12,,*,Ah ?!,
13,,Hottie,"Tu as sûrement dû en entendre parler, il y aura bientôt des nouvelles élèves sur le campus, mais je suis un peu trop occupé...",
14,,Hottie,Je n'ai pas eu le temps d'acheter leurs matériels scolaires...,
15,,Hottie,C'est vraiment embêtant... Est-ce que tu pourrais m'aider~ ?,
16,,*,Tu n'as que besoin de ça... ?,
17,,Hottie,Ah ? Alors tu voulais que je te mange c'est ça ?,
18,,Hottie,Alors j'arrive !~,
19,,*,!! J'y vais sur le champ !,
20,,Hottie,J'ai même pas eu le temps de finir... ~,
21,,,"Sur ma route pour aller à la rue des boutiques, j'ai entendu un bruit fort.",
22,,,"J'ai regardé au loin, il y avait une petite silhouette noire au centre de la foule.",
23,,Patron,"Hé petite, tu ne vas quand même pas partir comme ça, si ? Les choses se paient tu sais~ ?",
24,,Jacob,"Désolée, je... Je ne savais pas...",
25,,Patron,Si tu n'as pas les moyens pour payer... Tu n'as qu'à venir faire le ménage dans ma boutique~,
26,,Patron,Regarde moi ces ailes et ces cornes de démon... Et tu n'as même pas de quoi payer~,
27,,Patron,"C'est dommage que tu n'as qu'une demie-aile, je dois te dédommager de la moitié.",
28,,*,Cornes de démon ? Une demi-aile... ? C'est Jacob ?!,
29,,*,"Pardonnez-moi ! Pardon, laissez-moi passer.",
30,,*,"Bonjour, excusez-moi, je vais payer pour elle, combien ça coûte ?",
31,,Patron,Hé ! Tu sors d'où toi... ?,
32,,*,"Ah ! C'est à moi de te poser la question, c'est pas moi l'inconnu !",
33,,Patron,Sur cette route on ne m'a jamais traîté d'inconnu.,
34,,Patron,A l'attaque ! Faisons-lui goûter une bonne défaite ! Il n'a pas ses filles pour se protéger~,
35,,Jacob,"Moi je suis là ! Senpai, je viens t'aider !",
36,,Patron,Mince ! Elle est vraiment puissante ! Si... Si seulement elle pouvait me servir de femme de mènage...,
37,,*,Tu peux toujours rêver ! Espèce de vieux pervers !,
38,,*,Encore un véritable méchant qui nous sort des phrases à la noix——,
39,,Patron,La ferme ! Je vais te faire ravaler tes paroles !,
40,,*,Désolé ! Je vais refaire... La fille en noire—— Jacob~,
41,,Jacob,Ah ?! Tu connais mon prénom ??,
42,,Jacob,Je pensais que tu ne savais pas qu'y j'étais... Je pensais que tu étais juste un idiot...,
43,,*,Mais non ! Nous nous sommes déjà rencontrés !,
44,,Jacob,Ah bon ? Je... Je ne m'en souviens pas.,
45,,*,Au Comité de Discipline ! Tu étais avec Kratos et tout ça... Ainsi que la Pierre Philosophale...,
46,,Jacob,Kratos ? Je ne sais pas de qui tu parles... Mais la pierre...,
47,,Jacob,Ah ! C'est ma soeur !,
48,,,Une fille s'approchait de la direction en question.,
49,,,Elle avait des habits blancs ainsi que des ailes et... Elle avait le même visage que Jacob...,
50,,*,Elle était vraiment ici ! La fille en blanc——Ésaü~,
51,Grande soeur ?,Ésaü,"Jacob, je suis de retour !",
52,,,"Je n'ai même pas eu le temps de m'en rendre compte, mais la fille en blanc s'était envolé au côté de sa soeur Jacob.",
53,,Jacob,"Ésaü... Ne me fais pas un calin ici, il y a du monde c'est embarrassant !",
54,,*,Pff...,
55,,Ésaü,"Je suis désolée, je n'avais pas vu qu'il y avait un... Inconnu ?",
56,,*,Même toi tu as oublié qui je suis ?,
57,,Ésaü,"Ah ! Mais c'est pas toi... ""Senpai""~",
58,,*,(Se tient la poitrine avec les deux mains) Qu'est-ce que... Vous voulez faire ??,
59,,Ésaü,N'aie pas si peur~,
60,,Ésaü,Qu'est-ce que tu crois qu'on vient faire dans une rue pietonne ? Du shopping bien sûr~,
61,,*,Tiens vous voulez encore tabasser qui maintenant ? Voler quoi d'autre ?,
62,,Ésaü,"Ne te fais pas de soucis, après s'être battue autant de fois, le démon à l'intérieur de Jacob est déjà mort.",
63,,Ésaü,Maintenant elle n'est plus qu'une fille très mignonne~,
64,,Jacob,(Se force à hocher de la tête) Oui !,
65,,*,Mais... Jacob ne semble plus se rappeler de ce qu'il s'est passé...,
66,,Ésaü,L'amnésie n'est-elle pas une chose courante sur le campus ?,
67,,Jacob,"Oui, ne te préoccupe pas des détails.",
68,,Ésaü,Nous sommes toutes deux en train de préparer notre rentrée scolaire~,
69,,*,Ah ?! Alors vous êtes les futurs nouvelles du campus ?,
70,,*,"Mais Jacob... Tu ne sais même pas quoi acheter, je suis un peu inquiet pour toi...",
71,,Ésaü,"Ne t'inquiète pas, faire du shopping, le ménage... Je suis très bonne à tout faire !",
72,,Ésaü,"Oui, c'est vrai il me faut encore des cahiers et un sac...",
73,,Ésaü,"Jacob, j'ai tout préparé pour toi~",
74,,,"Tout d'un coup, les deux jumelles furent engloutis par les objets achetés",
75,,*,C'est trop ! Jacob ne peut même pas en utiliser un dixième...,
76,,Ésaü,Ma soeur~ Elle mérite d'avoir ce qu'il y a de mieux~,
77,,Jacob,"Ésaü, j'ai aussi quelque chose pour toi...",
