id,title,text
1,Description des Fonctions,"Bataille|Envoyez votre équipe se battre dans le mode Campagne et dans l'Auto-Bataille. Dans la Campagne vous obtiendrez de l'EXP de joueur, des Pièces, du Jus d'EXP, des Équipements et autres récompenses.||Test|Progressez à travers chaque Étage pour combattre des ennemis de plus en plus difficiles. Chaque victoire est récompensée par des Plateaux Repas, des Pièces, des Équipements ou des Fragments de Filles.||Arène|Défiez d'autres joueurs dans l'Arène pour gagner des récompenses. Des récompenses spéciales sont également attribuées en fonction du rang à la fin de chaque saison.||Capsule|Ouvrir des Capsules est le moyen le plus rapide d'acquérir de nouvelles Filles. L'ouverture des Capsules Avancées accumule de l'énergie pour l'Œuf d'Or qui vous permet d'obtenir une Fille 5 étoiles.||Graduer|La Graduation est le seul moyen d'obtenir des Filles 6 étoiles. La Fille ""primaire"" conservera son expérience et son équipement. Vous recevrez le Jus d'EXP, des Plateaux Repas, et vous récupererez les équipements des Filles Matérielles. Plus vous avez de Filles plus vous aurez de chance de pouvoir Graduer une Fille.||Transférer|Lorsque vous avez trop de Filles dont vous n'avez pas besoin, vous pouvez les transférer. Transférer une Fille vous récompensera avec du Jus d'EXP; des Plateaux Repas, des Ciseaux de Cristal, des Listes de la Classe. Les équipements portés par les Filles transférées vous seront retournés. Les Listes de la Classe peuvent être utilisées dans le Magasin de Transfert pour acheter des Filles. Les Listes de la Classe peuvent également être obtenues lors d'événement spéciaux.||Synthétiser l'Équipement|Combinez des équipements de bas niveau dans Synthétiser l'Équipement pour obtenir des équipements de niveau supérieur. Combinez des Équipements du même ensemble et du même niveau de qualité pour débloquer des propriétés spéciales ! Remarque : le matériel équipé n'est pas disponible dans la Synthétisation.||Distributeur|Utilisez les Tickets pour gagner des prix comme des éclats de Fille, des Pièces, des Équipements, des Antiquités, des Ciseaux de Cristal, du Jus d'EXP, et bien plus ! Bonne Chance !||Marché|Dans le marché vous pourrez acheter des Jus d'EXP, des Plateaux Repas, des Fragments de Filles, des Équipements, des Pièces de Capsule, des Tickets de l'Arène, et d'autres produits. La liste des objets en vente change régulièrement.||Recruter|Dans Recruter, utilisez les Sceaux pour obtenir des Filles 4 et 5 étoiles et des Fragments de Filles 4 et 5 étoiles de la Maison de votre choix. Vous recevrez également des Dossiers que vous pourrez utiliser pour échanger des Filles 4 et 5 étoiles au sein de la même Maison.||Jobs|Des nouveaux Jobs seront disponible toutes les 24 heures. Chaque quête se voit attribuer un classement par étoiles et aura des exigences du type et du rang des Filles nécessaires pour terminer la quête. Complétez chaque quête vous rapportera des récompenses. Vous pouvez utiliser des Gemmes pour actualiser des tâches qui n'ont pas encore été verrouillées ou commencées. Vous pouvez également utiliser des Gemmes pour accélerer les tâches que vous avez déjà commencées. Vous pouvez utiliser des Parchemins de Jobs pour ajouter des quêtes supplémentaires à la liste. Ces parchemins sont obtenus dans le butin de l'Auto-Bataille et sont également disponibles à la vente sur le marché.||Serviteur|Les Serviteurs sont les meilleurs partenaires que vous puissiez imaginer dans une bataille. Si vous ajoutez un Serviteur à votre équipe, les Serviteurs augmente les attributs des Filles et possèdent également des compétences actives uniques pendant la bataille. Vous pouvez collecter des Biscuits de Serviteur et des Biscuits Spiritueux pour former et faire évoluer vos Serviteurs."
2,Description de l'Étape,"Vue d’Ensemble|La carte de la Campagne est divisée en quatre niveaux de difficulté : Normal, Difficile, Extrême et Fantaisie. Chaque niveau de difficulté a plusieurs étages, et chaque étape doivent être déverrouillée dans l’ordre.||Déverouiller des Etapes|Lorsque vous atteignez un nouvel étage, votre équipe de Auto-Bataille exploreront tout d’abord le niveau. Puis vous serez capable d’envoyer vos Filles se battre.||Déverouiller une Zone & Carte|Finissez tous les étages d’une zone pour déverouiller la zone suivante. Finissez toutes les zones pour débloquer la difficulté suivante.||Récompense de Bataille|Vous recevrez des récompenses spéciales après avoir gagné chaque bataille.||Auto-Bataille|Vous recevrez du butin pendant maximum 10 heures. Après cela vous ne pourrez plus accumuler des récompenses, et vous devrez retourner sur l’interface de l'Auto-Bataille pour récupérer vos récompenses.||Récompense de l'Auto-Bataille|Les récompenses obtenus dans l'Auto-Bataille sont déterminés par le Niveau du joueur. Votre Niveau VIP augmente vos gains de Jus d’EXP, d’EXP du joueur et de Pièces.||Butin|Vous pouvez voir le butin obtenable en cliquant sur un étage spécifique et voir les informations de butin."
3,Bataille,"Formation de l’Équipe|Les Filles en première ligne recevront plus de dégâts que celles se situant en dernière ligne. Ajustez la position des Filles en fonction de leur classe afin que toute l’équipe puisse survivre plus longtemps.||Rivalité de Maison|La Rivalité de Maison donne un bonus aux Filles lorsqu’elles se battent contre la Maison rivale. Choisissez les Filles que vous déployez en fonction des améliorations qu’elle gagneront en luttant contre la Maison de votre adversaire.||Aura de Maison|Certaines combinaisons de Filles de différentes Maisons donneront un bonus appelé Aura à toutes vos Filles durant la bataille.||Victoire ou Défaite|Vainquez les Filles de votre adversaire dans un délai de 15 tours pour être victorieux. Si vous ne terminez pas dans les 15 tours, vous perdrez.||Attaque|Plus l’Attaque d’une Fille est élevée, plus les dégâts infligés seront importants.||PV|Plus les PV sont élevés plus la Fille survivra longtemps dans la bataille.||Armure|L’Armure réduit les dégâts que les Filles subissent par les adversaires.||Vitesse|La Vitesse détermine l’ordre d’attaque des Filles dans la Bataille. La Vitesse plus élevée permet aux Filles d’attaquer en premier à chaque tour. Si la Vitesse de deux Filles de la même équipe est identique, celle étant positionnée à un emplacement avancé sera celle qui frappera en premier.||Dégâts des Compétences|Les Dégâts des Compétences sont les dégâts supplémentaires. Ce sont des dégâts qui s’ajoutent aux Dégâts des Compétences. Plus les dégâts supplémentaires sont importants, plus vous infligerez de dégâts. Les dégâts supplémentaires sont calculés selon la valeur d’Attaque de l’attaquant.||Blocage|Le Blocage détermine la probabilité de bloquer une Attaque. Bloquer une Attaque réduira les dégâts subis de 30%. Lors d'une Attaque Critique, le Blocage réduira 50% des dégâts reçus. Seuls les dégâts basés sur la valeur d’Attaque de l’attaquant seront réduits.||Précision|La Précision diminue les chances de Blocage de la cible, de plus pour chaque 1% de Précision obtenu, vous obtenez également 0.3% de dégâts (le maximum étant 45%). Ce bonus n’influence que la valeur d’Attaque de l’attaquant.||Critique|Les Critiques déterminent la probabilité de faire une Attaque Critique contre un ennemi, infligeant des dégâts plus importants à la cible (150% de dégâts supplémentaires). Les Compétences Passives ne peuvent pas faire de Critiques.||Résistance aux Critiques|Plus la Résistance aux Critiques d'une Fille est élevée, plus le risque qu'elle soit la cible d'un Critique est faible.||Dégâts Critiques|Les Dégâts Critiques déterminent combien de dégâts supplémentaires seront ajoutés lorsque la Fille fait un Critique. Le maximum cumulable est de 150%.||Pénétration d'Armure|La Pénétration d’Armure vous permet de diminuer les effets de l’Armure de l’adversaire, vous permettant d’infliger des dégâts plus importants à la cible. La limite est de 100%.||Immunité|L'Immunité vous permet de résister à des capacités qui restreignent vos Filles tel que Pétrifier, Geler, Étourdir.||Chance de Contrôle|La Chance de Contrôle vous permet d'augmenter la chance de réussir à contrôler des ennemis, ainsi que compenser l'Immunité de l’ennemi.||Résistance aux Dégâts|La Résistance aux Dégâts diminue les dégâts que vous recevrez de l’adversaire, ce qui vous permet de survivre plus longtemps(limite de 70%).||Dégâts Divins|Les Dégâts Divins ne sont pas affectés par l’Armure de la cible, mais seront affectés par la Résistance aux Dégâts.||Résistance Totale|Réduit tous les types de dégâts reçus. Il est calculé indépendamment du taux de Résistance aux Dégâts et la limite max est de 70%.||Esquive|Possibilité d'éviter l'effet et les dégâts d'une Compétence Active et d'une Attaque Basique. (N'inclut pas l'effet et les dégâts infligés par Serviteur)||Énergie|Chaque Fille commence la bataille avec 50 d’Énergie. Lorsqu’elles attaquent un ennemi, elles obtiennent 50 d’Énergie, et obtiennent 10 d’Énergie quand elles sont attaquées. Si elles reçoivent un coup Critique, elles obtiennent 20 d’Énergie. Lorsqu’une Fille atteint 100 d’Énergie, elle peut utiliser sa Compétence Active. Si elle a plus de 100 d’Énergie en lançant sa Compétence Active, chaque point supplémentaire d’Énergie sera converti en 1% de dégâts de compétences.||Couleur des chiffres dans l'attaque|Chiffre Blanc - Dégâts sans Critiques ni la Rivalité de Maison. Chiffre Jaune - Dégâts avec Rivalité de Maison mais sans Critiques. Chiffre Rouge - Dégâts avec Critiques. Chiffre Vert - Récupération.||Effet de Compétence|L'Effet de Compétence ne peut pas être effacé par les Potentiels ou par les Compétences qui peuvent enlever le Malus ou enlever le Bonus."
4,Comment obtenir des Filles,"Butin|Vous pouvez obtenir des Fragments de Filles dans l'Auto-Bataille, les Étapes de la Campagne, les Evénements, le Quiz de Filles et les récompenses de Tests||Achat dans la Boutique|Vous pouvez acheter des Fragments de Filles dans le Marché, dans la Boutique du Distributeur et dans la Boutique de Transférer ||Capsule|Vous pouvez facilement recruter les Filles avec des Cœurs, avec des Pièces de Capsule et avec des Gemmes dans la Capsule. ||Recruter|Vous pouvez utiliser des Sceaux dans le Recruter pour obtenir des Filles et des Fragments de Filles. ||Distributeur|Vous pouvez utiliser des Tickets dans le Distributeur pour obtenir des Fragments de Filles. ||Jobs|Vous pouvez obtenir des Fragments de Filles dans certains Jobs. |Ami Boss|Vous pouvez obtenir des Fragments de Filles après avoir vaincu l'Ami Boss."
5,Comment améliorer les Filles,"Augmenter le Niveau des Filles|Utilisez du Jus d’ EXP pour monter le niveau de vos Filles.||Améliorer une Fille|Quand une Fille a atteint le niveau max pour son niveau d’étoile actuel, vous pouvez utiliser des Plateaux Repas pour augmenter son rang d’étoile. ||Graduer|Quand une Fille est au niveau maximum et que son rang d’étoile est également au maximum, vous pouvez la faire graduer pour améliorer son rang maximum d’étoile. Après la graduation, elle aura des meilleures statistiques, son niveau et ses équipements etc. resteront les-mêmes. ||Réveiller|Utilisez des autres Filles pour réveiller une Fille 6 étoiles et plus pour augmenter son rang d’étoiles maximum. Les Filles utilisées pour Réveiller la Fille principale disparaîtront et vous obtiendrez du Jus d’EXP. ||Équipement et Antiquités|Equipez vos Filles avec des Équipements et des Antiquités pour améliorer les stats de vos Filles. Les équipements et et les antiquités peuvent être améliorer en objet de meilleur qualité. ||Monter les Cristaux|Améliorer les stats de vos Filles en améliorant ou en échangeant les cristaux qu’elles ont. Cette opération nécessitera des Pièces et des Ciseaux de Cristal.||Compétence d'Élite|Vous pouvez améliorer les Compétences d'Élite des Filles plus de 10 étoiles en utilisant les Documents Préparatoires et les Documents Préparatoires Avancés."
6,Catégorie des Filles,"Spécialité|Les Filles peuvent être divisées en fonction de leur spécialité : Guerrier, Mage, Éclaireur, Assassin et Prêtre. Les Guerriers ont des PV et une Armure plus élevés, mais leur Attaque à tendance à être plus bas, ils sont donc généralement mis en ligne avant pour protéger le reste de l’équipe. Les Mages et les Éclaireurs ont tendance à avoir moins de PV et une Armure plus faible, mais leur Attaque est généralement élevé et ils infligent souvent des dégâts de zone, c’est donc pour cela qu’ils sont mieux en ligne arrière afin d’infliger plus de dégâts. Les statistiques des Assassins sont similaires à ceux des Mages et des Éclaireurs, mais leurs attaques ne frappent souvent qu’une seule cible, les Assassins ont donc tendance à être mise en ligne arrière. Les Prêtres ont tendance à avoir des statistiques moins élevées que les autres spécialités, mais ils ont souvent des compétences de Contrôle, et des compétences de Soin, ce qui fait d’eux des supports très puissant en ligne arrière.||Rang d’Etoile|Les Filles ont leur rang d’étoiles initial. 5 étoiles étant le plus haut rang obtenable avant amélioration. Plus une Fille a un rang élevé, plus ses statistiques et ses compétences seront élevées. Graduer ou Réveiller une Fille augmente le rang d’étoile de celle-ci.||Maison|Chaque Fille fait part d’une Maison étant soit Démon, Ange, Fée, Fantôme, Humain ou Monstre. Il y a une Rivalité de Maison dans le jeu : les Fées contre les Fantômes, les Fantômes contre les Humains, les Humains contre les Monstres, les Monstres contre les Fées, et les Anges et Démon se contre mutuellement. Les Filles qui contre grâce à la rivalité de faction infligeront 30% de dégâts supplémentaires et obtiendront 15% de Précision."
7,Équipement et Antiquités,"Qualité des Équipements et des Antiquités|Il y a 6 sortes de qualités différentes. Du plus petit au plus grand : bleu, doré, violet, vert, rouge et orange.||Étoiles des Équipements et des Antiquités|Les Équipements bleus et dorés peuvent être améliorés jusqu’à 2 étoiles, violet jusqu’à 3 étoiles, verts jusqu’à 4 étoiles, rouges et oranges jusqu’à 6 étoiles. Les Antiquités bleues et dorées peuvent être améliorées jusqu’à 4 étoiles, violettes et vertes jusqu’à 5 étoiles.||Synthétiser|Des Équipementss de basse qualité peuvent être assemblés pour créer un équipement de meilleure qualité. Les Fragments d’Antiquités peuvent être assemblés pour produire une Antiquité de la même qualité.||Obtenir des Équipements|Vous pouvez acheter ou obtenir des équipements dans l'Auto-Bataille, les Tests, le Butin de la Campagne, le Marché, la Boutique du Sanctuaire, la Boutique de la Guilde, la Boutique de Souvenir et le Distributeur.||Améliorer les Antiquités|Touchez l’Antiquité dans l’interface d’équipement d’une Fille, touchez ensuite sur la flêche. Vous pourrez utiliser des antiquités de votre sac afin d’améliorer votre Antiquité.||Obtenir des Antiquités|Vous pourrez obtenir des Antiquités dans l'Auto-Bataille à partir d’un certain étage. Vous pouvez aussi en acheter dans la Boutique de la Guilde, et vous pouvez aussi en obtenir dans le Distributeur."
8,Ami,"Liste d'Amis|Vous pouvez chercher un ami avec son ID dans l'interface Amis; choisissez parmis les amis recommandés dans l'onglet Chercher puis cliquez sur le bouton pour ajouter l'ami; cliquez sur l'avatar d'un joueur dans le chat; cliquez sur l'avatar d'un membre de la Guilde dans l'Office de la Guilde.||Demande d'Amitié|Vous pouvez voir les demandes d'amitiés en attente dans l'onglet Demande dans l'interface Amis, cliquez sur le bouton pour accepter.||Cœur|Les amis peuvent s'envoyer des cœurs. Collectez 10 cœurs pour obtenir une Capsule d'Amitié.||Supprimer un Ami|Cliquez sur l'avatar d'un ami dans l'interface Ami puis touchez le bouton ressemblant à une poubelle en haut à droite pour supprimer l'ami.||Combat de Boss Ami| Chaque jour, vous avez la possibilité de défier un Ami Boss. Lors du combat, vous pouvez utiliser l'aide de vos amis. Si vous réussissez le défi, vous obtiendrez des récompenses telles que des Diamants, des Pièces d'Or et des Fragments de Filles. Chaque semaine, selon le nombre de fois que vos amis ont utilisé votre Fille en Service pour les aider à vaincre leur Ami Boss, une récompense vous sera envoyée."
9,Guilde,"Rejoindre une Guilde|Ecrivez le nom ou l’ID de la Guilde pour chercher une guilde, puis touchez Postuler pour envoyer une demande à la guilde. Vous pourrez rejoindre si votre demande est acceptée. ||Créer une guilde|Vous pouvez créer une guilde dans l’interface de la guilde. Afin de créer une guilde il faut tout d’abord avoir atteint les conditions requises et la création coûtera un certain prix en Gemmes. Après avoir créé votre guilde, vous pouvez inviter des autres joueurs dans votre guilde et accepter les demandes des joueurs désirant rejoindre votre Guilde. ||Chef de la Guilde|Le Chef de la Guilde a accès à toutes les fonctionnalités dans l’office de la guilde. Le Chef peut également transmettre sa position de Chef à un autre membre. ||Dissoudre la Guilde|Le Chef peut également dissoudre la guilde en cliquant sur le bouton Dissoudre dans l’Office. Après que le Chef ait confirmé, la guilde sera dissoute après 2 heures. ||Niveau de la Guilde|N’oubliez pas de demander aux membres de venir se présenter à l’office chaque jour pour augmenter le niveau de la Guilde. ||Boutique de la Guilde|Utilisez des Pièces de la Guilde afin d’acheter des Fragments de Filles, des équipements et des Fragments d’Antiquités. ||Laboratoire|Utilisez des Pièces de Guilde dans le laboratoire pour augmenter les capacités de vos Filles. En augmentant les capacités de vos Filles dans le Laboratoire, vos Filles seront plus puissantes dans les Combats de la Guilde. Les capacités apprisent dans la guilde seront préservées si vous changez de guilde. ||Fonctionnalité de la Guilde|Tous les membres peuvent venir chaque jour s’inscrire à l’Office afin d’augmenter le niveau de la guilde. Les membres peuvent participer aux Batailles du Gymnase, à la Cafétéria, au Terrain de sport afin d’obtenir des Pièces de Guilde et d’autres récompenses."
10,Questions Fréquentes,"1. Q : Comment me connecter sur mon compte sur un autre appareil sans perdre ma progression ?|R : Téléchargez le jeu sur votre nouvel appareil et démarrez le jeu. Ensuite, allez dans les paramètres dans le coin supérieur droit de la page d’accueil et touchez « Changer » pour utilliser la même méthode de connexion que sur votre ancien appareil.|2. Q : Que dois-je faire si mon compte est volé ou si j’oublie mon mot de passe ?|R : Contactez notre service client si vous ne parvenez pas à vous connecter.|3. Q : Que dois-je faire si je ne parviens pas à me connecter en raison d’un délai d’attente du réseau ?|R : Si vous avez des problèmes de délai d’attente, continuez d’essayer de vous connecter, vous pouvez également essayer de fermer le jeu et de le rouvrir.|4. Q : Que dois-je faire si je ne parviens pas à me connecter de raison de l’erreur « Vérifier les mises à jour » ?|Si vous n’arrêtez pas de recevoir cette erreur, essayez de fermer le jeu et de le rouvrir, changez de connexion internet, si aucune de ces deux solutions ne fonctionne, contactez le support s’il vous plaît.|5. Q : Que dois-je faire si mes données ou mon compte sont manquants ?|R : Tout d’abord, veuillez vérifier dans les paramètres sur la page d’accueil pour vérifier que vous êtes bien sur le serveur auquel vous vous connectez habituellement. Si vous êtes sûr que le serveur est bien le même mais vous ne pouvez tout de même et que vous encontrez le même problème, contactez-nous le plus vite possible. Envoyez-nous l’ID de votre de compte (Cliquez sur l’avatar pour voir l’ID), l’adresse e-mail de votre compte, et toutes autres informations utiles. Nous ferons de notre mieux pour vous aider.|6. Q : Que dois-je faire si je suis régulièrement déconnecté du jeu ?|R : Veuillez vérifier votre connexion réseau ou connectez-vous à un autre réseau. Si vous rencontrez toujours des problèmes, contactez le support.|7. Q : Que dois-je faire si le jeu se ferme subitement en jouant ?|R : Fermez toutes les applications et rouvrez le jeu. Si cela ne marche pas, redémarrez votre appareil. Si aucune solution ne fonctionne, contactez le support avec votre numéro de modèle et une description de votre problème.|8. Q : Que dois-je faire si je pense qu’un joueur triche ?|R : Nous nous efforçons à faire de ce jeu un jeu équitable pour tous nos joueurs, utilisez des bugs dans le jeu afin d’obtenir des avantages contre les autres joueurs n’est pas autorisé. Si vous trouvez un joueur trichant, prévenez nous immédiatement afin que nous puissions rectifier le problème."
