id,power,battle_id,dropbox_ids,avatar_id
1,0,510001,610001|620001|630001|640001|660001,34004
2,20000,510002,610002|620002|630002|640002|660002,31003
3,40000,510003,610003|620003|630003|640003|660003,34001
4,80000,510004,610004|620004|630004|640004|660004,41005
5,160000,510005,610005|620005|630005|640005|650001|660005,42001
6,220000,510006,610006|620006|630006|640006|650002|660006,44001
7,280000,510007,610007|620007|630007|640007|650003|660007,41005
8,340000,510008,610008|620008|630008|640008|650004|660008,652001
9,400000,510009,610009|620009|630009|640009|650005|660009,754005
10,450000,510010,610010|620010|630010|640010|650006|660010,756002
11,520000,510011,610011|620011|630011|640011|650007|660011,755001
12,600000,510012,610012|620012|630012|640012|650008|660012,751011
