id,name,awards
1,-1,2#1500|8#750
2,-1,2#500|8#250
4,-1,2#500|8#250
5,-1,2#1000|2#100|8#500
6,-1,2#2000|2#400|8#1000
7,-1,2#5000|2#1500|8#2500
8,-1,2#10000|2#4000|8#5000
9,-1,940002#100|9#1000000|8#100
10,-1,35#32|2#2500|8#250
11,-1,36#20|9#10000000|8#500
12,-1,20#10|1#60000000|8#1500
13,-1,20#20|2#10000|8#2500
14,-1,9#6000000|2#1000|8#250
15,-1,9#20000000|2#2000|8#500
16,-1,2#400|36#6|8#250
17,-1,2#800|36#10|1#2000000|8#500
18,-1,2#2000|36#16|1#3000000|9#1000000|8#1500
19,-1,2#3000|36#20|1#5000000|9#3000000|8#2500
20,-1,2#4000|36#24|1#6000000|9#4000000|8#3500
21,-1,2#6000|36#28|1#8000000|9#6000000|8#5000
22,-1,1#4000000|35#40|8#500
23,-1,9#4000000|36#32|8#1000
24,-1,940002#100|2#4000|8#2500
25,-1,940002#100|20#20|8#3500
26,-1,2#10000|36#150|8#5000
27,-1,2#7000|20#10|36#50|8#3500
28,-1,2#3000|20#4|36#30|8#1500
29,-1,2#1000|20#2|36#10|8#500
30,-1,2#500|20#2|36#2|8#250
31,-1,2#10000|940002#100|20#40|8#5000
32,-1,2#7000|940002#50|20#32|8#3500
33,-1,2#5000|940002#50|20#24|8#2500
34,-1,2#3000|20#16|8#1500
