id,name,desc_1,desc_2,desc_4,desc_5,desc_6,desc_11,activity_id,rank,charge,currency,diamond,first_extra_diamond,extra_diamond,token_amount,vip_exp,gift_id,giftbag_type,gift_type_desc,daily_diamond,days,ios_product_id,price,icon,output_percent,parameter,parameter_vip,previlege,last_time,limit_times,cd,sale_on_web,need_review,price_change,dynamic_limit
1,-1,Monthly Card,Carte Mensuelle,-1,-1,월간 패스,Monatskarte,6,1,14.99,NT$,900,,,,750,10001,1,-1,2#370,30,com.carolgames.moemoegirls.30day,14.99,vip_icon07_png,,,,,,,,1,0,0,
2,-1,Mini Monthly Card,Petite Carte Mensuelle,-1,-1,미니 월간 패스,Mini Monatskarte,7,2,4.99,NT$,350,,,,250,10002,1,-1,2#85,30,com.carolgames.moemoegirls.30daymini,4.99,vip_icon08_png,,,,,,,,1,0,0,
3,-1,Weekly Card,Carte Hebdomadaire,-1,-1,주간 패스,Wochenkarte,38,3,0.99,NT$,0,,,,50,10003,13,-1,,7,com.carolgames.moemoegirls.week,0.99,vip_icon10_png,,,,,,,,0,0,0,
4,-1,250 Gems Package,Pack de 250 Gemmes,-1,250ダイヤパック,250 다이아 팩,250 Dias Paket,5,4,4.99,NT$,250,2#250,,250,250,10004,2,-1,,,com.carolgames.moemoegirls.250d,4.99,vip_icon01_png,,,,,,,,1,0,0,
5,-1,500 Gems Package,Pack de 500 Gemmes,-1,500ダイヤパック,500 다이아 팩,500 Dias Paket,5,5,9.99,NT$,500,2#500,50,500,500,10005,2,-1,,,com.carolgames.moemoegirls.500d,9.99,vip_icon02_png,,,,,,,,1,0,0,
6,-1,1000 Gems Package,Pack de 1000 Gemmes,-1,1000ダイヤパック,1000 다이아 팩,1000 Dias Paket,5,6,19.99,NT$,1000,2#1000,200,1000,1000,10006,2,-1,,,com.carolgames.moemoegirls.1000d,19.99,vip_icon03_png,,,,,,,,1,0,0,
7,-1,2500 Gems Package,Pack de 2500 Gemmes,-1,2500ダイヤパック,2500 다이아 팩,2500 Dias Paket,5,7,49.99,NT$,2500,2#2500,750,2500,2500,10007,2,-1,,,com.carolgames.moemoegirls.2500d,49.99,vip_icon04_png,,,,,,,,1,0,0,
8,-1,5000 Gems Package,Pack de 5000 Gemmes,-1,5000ダイヤパック,5000 다이아 팩,5000 Dias Paket,5,9,99.99,NT$,5000,2#5000,2000,5000,5000,10008,2,-1,,,com.carolgames.moemoegirls.5000d,99.99,vip_icon06_png,,,,,,,,1,0,0,
9,-1,LV 24 Package,Pack de Niv.24,-1,レベル24パック,레벨 24 팩,Lv.24 Paket,8,0,1.99,,0,,,100,100,10009,3,-1,,,com.carolgames.moemoegirls.24level,1.99,,,24|31,,,7200,1,,1,0,0,
10,-1,LV 32 Package,Pack de Niv.32,-1,レベル32パック,레벨 32 팩,Lv.32 Paket,8,0,4.99,,0,,,250,250,10010,3,-1,,,com.carolgames.moemoegirls.32level,4.99,,,32|47,,,7200,2,,1,0,0,
11,-1,LV 48 Package,Pack de Niv.48,-1,レベル48パック,레벨 48 팩,Lv.48 Paket,8,0,9.99,,0,,,500,500,10011,3,-1,,,com.carolgames.moemoegirls.48level,9.99,,,48|57,,,14400,2,,1,0,0,
12,-1,LV 58 Package,Pack de Niv.58,-1,レベル58パック,레벨 58 팩,Lv.58 Paket,8,0,29.99,,0,,,1500,1500,10012,3,-1,,,com.carolgames.moemoegirls.58level,29.99,,,58|77,,,72000,1,,1,0,0,
13,-1,LV 78 Package,Pack de Niv.78,-1,レベル78パック,레벨 78 팩,Lv.78 Paket,8,0,49.99,,0,,,2500,2500,10013,3,-1,,,com.carolgames.moemoegirls.78level,49.99,,,78|100,,,72000,1,,1,0,0,
14,-1,4-star Girl Training Package,Pack d'Entraînement de Filles,-1,-1,4성 소녀 소환 팩,4-Sterne-Mädchen-Trainingspaket,9,0,4.99,,0,,,250,250,10014,6,-1,,,com.carolgames.moemoegirls.4starpartner,4.99,,,,,,7200,2,345600,1,0,0,
15,-1,5-star Girl Training Package,Pack d'Entraînement de Filles,-1,-1,5성 소녀 소환 팩,5-Sterne-Mädchen-Trainingspaket,10,0,9.99,,0,,,500,500,10015,7,-1,,,com.carolgames.moemoegirls.5starpartner,9.99,,,,,,14400,2,172800,1,0,0,
16,-1,Monthly Package 1,Pack Mensuel 1,-1,-1,월간 팩 1,Monatspaket 1,2,0,4.99,,0,,,250,250,10016,4,-1,,,com.carolgames.moemoegirls.monthgift1,4.99,,,,,,2592000,1,,1,0,0,
17,-1,Monthly Package 2,Pack Mensuel 2,-1,-1,월간 팩 2,Monatspaket 2,2,0,9.99,,0,,,500,500,10017,4,-1,,,com.carolgames.moemoegirls.monthgift2,9.99,,,,,,2592000,1,,1,0,0,
18,-1,Monthly Package 3,Pack Mensuel 3,-1,-1,월간 팩 3,Monatspaket 3,2,0,29.99,,0,,,1500,1500,10018,4,-1,,,com.carolgames.moemoegirls.monthgift3,29.99,,,,,,2592000,1,,1,0,0,
19,-1,Monthly Package 4,Pack Mensuel 4,-1,-1,월간 팩 4,Monatspaket 4,2,0,49.99,,0,,,2500,2500,10019,4,-1,,,com.carolgames.moemoegirls.monthgift4,49.99,,,,,,2592000,1,,1,0,0,
20,-1,Monthly Package 5,Pack Mensuel 5,-1,-1,월간 팩 5,Monatspaket 5,2,0,69.99,,0,,,3500,3500,10020,4,-1,,,com.carolgames.moemoegirls.monthgift5,69.99,,,,,,2592000,1,,1,0,0,
89,-1,Monthly Package 7,Pack Mensuel 7,-1,-1,월간 팩 7,Monatspaket 7,2,0,99.99,,0,,,5000,5000,10021,4,-1,,,com.carolgames.moemoegirls.monthgift7,99.99,,,,,,2592000,1,,1,0,0,
22,-1,Weekly Package 1,Pack Hebdomadaire 1,-1,-1,주간 팩,Wochenpaket 1,3,0,9.99,,0,,,500,500,10022,5,-1,,,com.carolgames.moemoegirls.weekgift1,9.99,,,,,,604800,3,,1,0,0,
23,-1,Weekly Package 2,Pack Hebdomadaire 2,-1,-1,주간 팩 2,Wochenpaket 2,3,0,19.99,,0,,,1000,1000,10023,5,-1,,,com.carolgames.moemoegirls.weekgift2,19.99,,,,,,604800,3,,1,0,0,
24,-1,Weekly Package 3,Pack Hebdomadaire 3,-1,-1,주간 팩 3,Wochenpaket 3,3,0,49.99,,0,,,2500,2500,10024,5,-1,,,com.carolgames.moemoegirls.weekgift3,49.99,,,,,,604800,2,,1,0,0,
25,-1,Weekly Package 4,Pack Hebdomadaire 4,-1,-1,주간 팩 4,Wochenpaket 4,3,0,69.99,,0,,,3500,3500,10025,5,-1,,,com.carolgames.moemoegirls.weekgift4,69.99,,,,,,604800,1,,1,0,0,
200,-1,Weekly Package 5,Pack Hebdomadaire 5,-1,-1,주간 팩 5,Wochenpaket 5,3,0,79.99,,0,,,4000,4000,10200,5,-1,,,com.carolgames.moemoegirls.weekgift5,79.99,,,,,,604800,1,,1,0,0,
