id,name,stars,item
125,-1,,930186#50|930185#50|930184#50|930183#50|930182#50|930181#50|930180#50|930179#50
133,-1,,930187#50|930188#50
207,-1,,930195#50|930194#50
4101001,-1,5,930078#50|930080#50|930081#50|930082#50|930084#50|930086#50|930087#50|930079#50|930083#50|930085#50|930178#50|930185#50|930089#50|930090#50|930092#50|930093#50|930095#50|930096#50|930097#50|930088#50|930091#50|930094#50|930177#50|930183#50|930186#50|930099#50|930100#50|930102#50|930103#50|930105#50|930106#50|930107#50|930101#50|930098#50|930175#50|930179#50|930184#50|930108#50|930109#50|930110#50|930111#50|930112#50|930113#50|930116#50|930114#50|930115#50|930117#50|930182#50
4101002,-1,6,940031#50|940032#50|940033#50|940034#50
4101003,-1,5,930078#50|930080#50|930081#50|930082#50|930084#50|930086#50|930087#50|930079#50|930083#50|930085#50|930178#50|930185#50|930089#50|930090#50|930092#50|930093#50|930095#50|930096#50|930097#50|930088#50|930091#50|930094#50|930177#50|930183#50|930186#50|930099#50|930100#50|930102#50|930103#50|930105#50|930106#50|930107#50|930101#50|930098#50|930175#50|930179#50|930184#50|930108#50|930109#50|930110#50|930111#50|930112#50|930113#50|930116#50|930114#50|930115#50|930117#50|930182#50
4101004,-1,5,930078#50|930080#50|930081#50|930082#50|930084#50|930086#50|930087#50|930079#50|930083#50|930085#50|930178#50|930185#50|930089#50|930090#50|930092#50|930093#50|930095#50|930096#50|930097#50|930088#50|930091#50|930094#50|930177#50|930183#50|930186#50|930099#50|930100#50|930102#50|930103#50|930105#50|930106#50|930107#50|930101#50|930098#50|930175#50|930179#50|930184#50|930190#50|930108#50|930109#50|930110#50|930111#50|930112#50|930113#50|930116#50|930114#50|930115#50|930117#50|930182#50|930189#50
4101005,-1,,930081#50|930087#50|940002#50
4101006,-1,5,930083#50|930085#50|930086#50|930087#50|930178#50|930079#50|930185#50|930089#50|930091#50|930092#50|930094#50|930177#50|930088#50|930183#50|930186#50|930100#50|930101#50|930102#50|930107#50|930175#50|930098#50|930179#50|930184#50|930108#50|930111#50|930113#50|930115#50|930117#50|930182#50
4101007,-1,5,930083#50|930085#50|930086#50|930087#50|930178#50|930079#50|930185#50|930089#50|930091#50|930092#50|930094#50|930177#50|930088#50|930183#50|930186#50|930100#50|930101#50|930102#50|930107#50|930175#50|930098#50|930179#50|930184#50|930190#50|930108#50|930111#50|930113#50|930115#50|930117#50|930182#50|930189#50
4101008,-1,9,940041#50|940042#50|940043#50|940044#50
4101009,-1,5,930083#50|930085#50|930086#50|930087#50|930178#50|930079#50|930185#50|930089#50|930091#50|930092#50|930094#50|930177#50|930088#50|930183#50|930186#50|930100#50|930101#50|930102#50|930107#50|930175#50|930098#50|930179#50|930184#50|930190#50|930108#50|930111#50|930113#50|930115#50|930117#50|930182#50|930189#50
4101010,-1,10,940047#50|940048#50|940049#50|940050#50
4101011,-1,5,930083#50|930085#50|930086#50|930087#50|930178#50|930079#50|930185#50|930089#50|930091#50|930092#50|930094#50|930177#50|930088#50|930183#50|930186#50|930191#50|930100#50|930101#50|930102#50|930107#50|930175#50|930098#50|930179#50|930184#50|930190#50|930108#50|930111#50|930113#50|930115#50|930117#50|930182#50|930189#50
4101012,-1,5,930083#50|930085#50|930086#50|930087#50|930178#50|930079#50|930185#50|930089#50|930091#50|930092#50|930094#50|930177#50|930088#50|930183#50|930186#50|930191#50|930100#50|930101#50|930102#50|930107#50|930175#50|930098#50|930179#50|930184#50|930190#50|930108#50|930111#50|930113#50|930115#50|930117#50|930182#50|930189#50
4101013,-1,5,930083#50|930085#50|930086#50|930087#50|930178#50|930079#50|930185#50|930192#50|930089#50|930091#50|930092#50|930094#50|930177#50|930088#50|930183#50|930186#50|930191#50|930100#50|930101#50|930102#50|930107#50|930175#50|930098#50|930179#50|930184#50|930190#50|930108#50|930111#50|930113#50|930115#50|930117#50|930182#50|930189#50|930196#50
4101014,-1,5,930083#50|930085#50|930086#50|930087#50|930178#50|930079#50|930185#50|930192#50|930089#50|930091#50|930092#50|930094#50|930177#50|930088#50|930183#50|930186#50|930191#50|930100#50|930101#50|930102#50|930107#50|930175#50|930098#50|930179#50|930184#50|930190#50|930108#50|930111#50|930113#50|930115#50|930117#50|930182#50|930189#50
4101015,-1,5,930083#50|930085#50|930086#50|930087#50|930178#50|930079#50|930185#50|930192#50|930089#50|930091#50|930092#50|930094#50|930177#50|930088#50|930183#50|930186#50|930191#50|930100#50|930101#50|930102#50|930107#50|930175#50|930098#50|930179#50|930184#50|930190#50|930108#50|930111#50|930113#50|930115#50|930117#50|930182#50|930189#50
4101016,-1,5,930083#50|930085#50|930086#50|930087#50|930178#50|930079#50|930185#50|930192#50|930089#50|930091#50|930092#50|930094#50|930177#50|930088#50|930183#50|930186#50|930191#50|930100#50|930101#50|930102#50|930107#50|930175#50|930098#50|930179#50|930184#50|930190#50|930108#50|930111#50|930113#50|930115#50|930117#50|930182#50|930189#50
4101017,-1,5,930083#50|930085#50|930086#50|930087#50|930178#50|930079#50|930185#50|930192#50|930089#50|930091#50|930092#50|930094#50|930177#50|930088#50|930183#50|930186#50|930191#50|930100#50|930101#50|930102#50|930107#50|930175#50|930098#50|930179#50|930184#50|930190#50|930108#50|930111#50|930113#50|930115#50|930117#50|930182#50|930189#50|930196#50
4101018,-1,5,930083#50|930085#50|930086#50|930087#50|930178#50|930079#50|930185#50|930192#50|930089#50|930091#50|930092#50|930094#50|930177#50|930088#50|930183#50|930186#50|930191#50|930100#50|930101#50|930102#50|930107#50|930175#50|930098#50|930179#50|930184#50|930190#50|930108#50|930111#50|930113#50|930115#50|930117#50|930182#50|930189#50|930196#50
4101019,-1,5,930083#50|930085#50|930086#50|930087#50|930178#50|930079#50|930185#50|930192#50|930089#50|930091#50|930092#50|930094#50|930177#50|930088#50|930183#50|930186#50|930191#50|930100#50|930101#50|930102#50|930107#50|930175#50|930098#50|930179#50|930184#50|930190#50|930108#50|930111#50|930113#50|930115#50|930117#50|930182#50|930189#50|930196#50
4101020,-1,5,930083#50|930085#50|930086#50|930087#50|930178#50|930079#50|930185#50|930192#50|930089#50|930091#50|930092#50|930094#50|930177#50|930088#50|930183#50|930186#50|930191#50|930199#50|930100#50|930101#50|930102#50|930107#50|930175#50|930098#50|930179#50|930184#50|930190#50|930108#50|930111#50|930113#50|930115#50|930117#50|930182#50|930189#50|930196#50
4101021,-1,5,930083#50|930085#50|930086#50|930087#50|930178#50|930079#50|930185#50|930192#50|930089#50|930091#50|930092#50|930094#50|930177#50|930088#50|930183#50|930186#50|930191#50|930199#50|930100#50|930101#50|930102#50|930107#50|930175#50|930098#50|930179#50|930184#50|930190#50|930108#50|930111#50|930113#50|930115#50|930117#50|930182#50|930189#50|930196#50
