id,downgrade_award,relegation_award,upgrade_award
1,,1#1000000|2#88|14#450,1#1050000|2#92|14#475
2,1#1050000|2#92|14#475,1#1100000|2#96|14#500,1#1150000|2#100|14#525
3,1#1150000|2#100|14#525,1#1200000|2#104|14#550,1#1250000|2#108|14#575
4,1#1250000|2#108|14#575,1#1300000|2#112|14#600,1#1350000|2#116|14#625
5,1#1350000|2#116|14#625,1#1400000|2#120|14#650,1#1450000|2#124|14#675
6,1#1450000|2#124|14#675,1#1500000|2#128|14#700,1#1550000|2#132|14#725
7,1#1550000|2#132|14#725,1#1600000|2#136|14#750,1#1650000|2#140|14#775
8,1#1650000|2#140|14#775,1#1700000|2#144|14#800,1#1750000|2#148|14#825
9,1#1750000|2#148|14#825,1#1800000|2#152|14#850,1#1850000|2#156|14#875
10,1#1850000|2#156|14#875,1#1900000|2#160|14#900,1#1950000|2#164|14#925
11,1#1950000|2#164|14#925,1#2000000|2#168|14#950,1#2050000|2#172|14#975
12,1#2050000|2#172|14#975,1#2100000|2#176|14#1000,1#2150000|2#180|14#1025
13,1#2150000|2#180|14#1025,1#2200000|2#184|14#1050,1#2250000|2#188|14#1075
14,1#2250000|2#188|14#1075,1#2300000|2#192|14#1100,1#2350000|2#196|14#1125
15,1#2350000|2#196|14#1125,1#2400000|2#200|14#1150,1#2450000|2#204|14#1175
16,1#2450000|2#204|14#1175,1#2500000|2#208|14#1200,1#2550000|2#212|14#1225
17,1#2550000|2#212|14#1225,1#2600000|2#216|14#1250,1#2650000|2#220|14#1275
18,1#2650000|2#220|14#1275,1#2700000|2#224|14#1300,1#2750000|2#228|14#1325
19,1#2750000|2#228|14#1325,1#2800000|2#232|14#1350,1#2850000|2#236|14#1375
20,1#2850000|2#236|14#1375,1#2900000|2#240|14#1400,1#2950000|2#244|14#1425
21,1#2950000|2#244|14#1425,1#3000000|2#248|14#1450,1#3050000|2#252|14#1475
22,1#3050000|2#252|14#1475,1#3100000|2#256|14#1500,1#3150000|2#260|14#1525
23,1#3150000|2#260|14#1525,1#3200000|2#264|14#1550,1#3250000|2#268|14#1575
24,1#3250000|2#268|14#1575,1#3300000|2#272|14#1600,1#3350000|2#276|14#1625
25,1#3350000|2#276|14#1625,1#3400000|2#280|14#1650,1#3450000|2#284|14#1675
26,1#3450000|2#284|14#1675,1#3500000|2#288|14#1700,1#3550000|2#292|14#1725
27,1#3550000|2#292|14#1725,1#3600000|2#296|14#1750,1#3650000|2#300|14#1775
28,1#3650000|2#300|14#1775,1#3700000|2#304|14#1800,1#3750000|2#308|14#1825
29,1#3750000|2#308|14#1825,1#3800000|2#312|14#1850,1#3850000|2#316|14#1875
30,1#3850000|2#316|14#1875,1#3900000|2#320|14#1900,1#3950000|2#324|14#1925
31,1#3950000|2#324|14#1925,1#4000000|2#328|14#1950,1#4050000|2#332|14#1975
32,1#4050000|2#332|14#1975,1#4100000|2#336|14#2000,1#4150000|2#340|14#2025
33,1#4150000|2#340|14#2025,1#4200000|2#344|14#2050,1#4250000|2#348|14#2075
34,1#4250000|2#348|14#2075,1#4300000|2#352|14#2100,1#4350000|2#356|14#2125
35,1#4350000|2#356|14#2125,1#4400000|2#360|14#2150,1#4450000|2#364|14#2175
36,1#4450000|2#364|14#2175,1#4500000|2#368|14#2200,1#4550000|2#372|14#2225
37,1#4550000|2#372|14#2225,1#4600000|2#376|14#2250,1#4650000|2#380|14#2275
38,1#4650000|2#380|14#2275,1#4700000|2#384|14#2300,1#4750000|2#388|14#2325
39,1#4750000|2#388|14#2325,1#4800000|2#392|14#2350,1#4850000|2#396|14#2375
40,1#4850000|2#396|14#2375,1#4900000|2#400|14#2400,
