id,name,desc,type,group_config,effect_show,effect,effect_stands,fx
1,-1,-1,1,1#6,hpP#0.2|brk#350,1029005|1010036,1|2|3|4|5|6#1|2|3|4|5|6,yaojing
2,-1,-1,1,2#6,hpP#0.2|miss#600,1029005|1007030,1|2|3|4|5|6#1|2|3|4|5|6,renlei
3,-1,-1,1,3#6,hpP#0.2|atkP#0.15,1029005|1028080,1|2|3|4|5|6#1|2|3|4|5|6,yizu
4,-1,-1,1,4#6,hpP#0.2|hit#360,1029005|1006015,1|2|3|4|5|6#1|2|3|4|5|6,huanling
5,-1,-1,1,5#6,hpP#0.2|decDmg#250,1029005|1014030,1|2|3|4|5|6#1|2|3|4|5|6,anying
6,-1,-1,1,6#6,hpP#0.2|decDmg#250,1029005|1014030,1|2|3|4|5|6#1|2|3|4|5|6,guangming
7,-1,-1,1,1#1|2#1|3#1|4#1|5#1|6#1,hpP#0.1|atkP#0.1,1029002|1028076,1|2|3|4|5|6#1|2|3|4|5|6,hunse
8,-1,-1,1,5#3|6#3,hpP#0.16|atkP#0.135,1029017|1028079,1|2|3|4|5|6#1|2|3|4|5|6,zhengxie
9,-1,-1,1,1#2|3#2|5#2,hpP#0.11|atkP#0.13,1029015|1028078,1|2|3|4|5|6#1|2|3|4|5|6,huimie
10,-1,-1,1,2#2|4#2|6#2,hpP#0.13|atkP#0.11,1029016|1028077,1|2|3|4|5|6#1|2|3|4|5|6,jiushu
11,-1,-1,1,2#3|4#3,hpP#0.1|atkP#0.08,1029002|1028074,1|2|3|4|5|6#1|2|3|4|5|6,pingheng
12,-1,-1,1,1#3|3#3,hpP#0.08|atkP#0.1,1029001|1028076,1|2|3|4|5|6#1|2|3|4|5|6,xiee
13,-1,-1,1,3#3|4#3,hpP#0.09|atkP#0.09,1029014|1028075,1|2|3|4|5|6#1|2|3|4|5|6,wuran
14,-1,-1,1,2#3|3#3,hpP#0.09|atkP#0.09,1029014|1028075,1|2|3|4|5|6#1|2|3|4|5|6,shufu
15,-1,-1,1,1#3|4#3,hpP#0.09|atkP#0.09,1029014|1028075,1|2|3|4|5|6#1|2|3|4|5|6,weixie
16,-1,-1,1,1#3|2#3,hpP#0.09|atkP#0.09,1029014|1028075,1|2|3|4|5|6#1|2|3|4|5|6,sudi
17,1,-1,2,,hpP#0.09|decDmg#120,1029042|1014031,1|2|3|4|5|6#1|2|3|4|5|6,new_group_buff06
18,2,-1,1,1#3|4#2|3#1,free#200|hpP#0.1,1011016|1029045,1|2#1|2|3|4|5|6,new_group_buff09
19,3,-1,1,2#3|3#2|4#1,miss#400|hpP#0.1,1007029|1029045,1|2#1|2|3|4|5|6,new_group_buff07
20,4,-1,1,3#3|1#2|2#1,spd#25|hpP#0.1,1004033|1029045,1|2#1|2|3|4|5|6,new_group_buff05
21,5,-1,1,4#3|2#2|1#1,hpP#0.15|hpP#0.1,1029043|1029045,1|2#1|2|3|4|5|6,new_group_buff08
22,6,-1,1,4#2|1#2|2#2,critTime#400|hpP#0.09,1009172|1029042,1|2|3|4|5|6#1|2|3|4|5|6,new_group_buff04
23,7,-1,1,1#2|2#2|3#2,hit#240|hpP#0.09,1006014|1029042,3|4|5|6#1|2|3|4|5|6,new_group_buff02
24,8,-1,1,2#2|3#2|4#2,hpP#0.14|hpP#0.09,1029044|1029042,3|4|5|6#1|2|3|4|5|6,new_group_buff03
25,9,-1,1,3#2|4#2|1#2,atkP#0.1|hpP#0.09,1028185|1029042,3|4|5|6#1|2|3|4|5|6,new_group_buff01
