id,name,step,mark,condition,forced,window_name,obj_type,obj_id,no_click,special_func,special_area,record,func_id,mask_type,mask_icon,icon_offset,obj_scale,hand_type,is_transition,is_black,dialog_type,desc,position,flip_x,finger_flip,duration,delay,pause,sound,load_group,load_effect,soft
1,rename,1,1,,1,main_window,,-1,,showEditName,,1,,,,,,,,,2,-1,-318|431,,,,,,,,,
2,summon,1,2,,1,main_window,,-1,,,,,,,,,,,1,0,2,-1,-326|415,,,,,,,,,
3,summon,1,2,1,1,main_window,,MainwinBottomBtn_4,,,,,,0,buttoncrop_1,0|0,1|1.5,,1,,1,-1,-350|-60,,,,,,,,,
4,summon,1,2,,1,summon_window,,-1,,,0:groupNormal:objcrop_1:0|0,,,,,,,,,1,2,-1,-298|-20,,,,,,,,fx_ui_niudanshengji|huakuang,
5,summon,1,2,,1,summon_window,,base_summon_one,,,,1,,2,buttoncrop_4,0|0,,,1,,1,-1,-365|20,0,,,,,,,shengji,
6,summon,1,2,,1,summon_result_window,,btnOk,,,,,,,,,,,,1,1,,,,,,1,,,,,
7,summon,2,3,,1,summon_window,,-1,,,0:groupSenior:objcrop_2:0|0,,,,,,,,,1,2,-1,-310|505,,,,,,,,,
8,summon,2,3,,1,summon_window,,senior_summon_one,,,,1,,2,buttoncrop_6,0|0,,,1,,1,-1,-370|0,,,,,,,,,
9,summon,2,3,,1,summon_result_window,,btnOk,,,,,,,,,,,,1,1,,,,,,1,,,,,
10,summon,2,3,,1,main_window,,MainwinBottomBtn_1,,,,,,0,buttoncrop_1,0|0,1|1.5,,1,,1,,513|-107,1,,,,,,,,
11,first_battle,1,5,,1,main_window,,-1,,,,,,,,,,,,0,2,-1,-300|418,,,,0.3,,,,,
12,first_battle,1,5,,1,main_window,,btnStory,,,,,,2,buttoncrop_2,0|0,,,1,,2,-1,-385|-70,,,,,,,,,
13,first_battle,1,5,,1,campaign_window,,fightBtn,,,,,,2,buttoncrop_17,0|0,1.1|1.3,,,,1,-1,-408|-48,,,,0.8,,,,,
14,first_battle,1,5,,1,battle_formation_window,1,partnerListWarpContent_|1/hero_icon,,,,,,2,buttoncrop_3,0|0,,,1,,1,-1,458|30,1,,,0.1,,,,,
15,first_battle,1,5,,1,battle_formation_window,1,partnerListWarpContent_|2/hero_icon,,,,,,2,buttoncrop_3,0|0,,,1,,1,,252|-47,,,,,,,,,
