id,next_id,lv,battle_id,guild_exp,battle_awards,final_1,final_2,final_3,final_10,final_15,final_20,final_30,kill_awards,show,show_word,power,hp
1,2,1,600001,30,1#5000|4#10,1#75000|4#300,1#70000|4#280,1#65000|4#260,1#50000|4#200,1#40000|4#160,1#30000|4#120,1#25000|4#100,1#10000|4#30,partner_card_31005,-1,320000,1199301
2,3,3,600002,35,1#6000|4#12,1#90000|4#450,1#84000|4#420,1#78000|4#390,1#60000|4#300,1#48000|4#240,1#36000|4#180,1#30000|4#150,1#15000|4#50,partner_card_46002,-1,1000000,3884836
3,4,5,600003,40,1#7000|4#14,1#105000|4#900,1#98000|4#840,1#91000|4#780,1#70000|4#600,1#56000|4#480,1#42000|4#360,1#35000|4#300,1#20000|4#80,partner_card_41006,-1,3000000,10426359
4,5,7,600004,45,1#8000|4#16,1#120000|4#1500,1#112000|4#1400,1#104000|4#1300,1#80000|4#1000,1#64000|4#800,1#48000|4#600,1#40000|4#500,1#25000|4#100,partner_card_41005,-1,10000000,19402507
5,6,10,600005,50,1#9000|4#18,1#135000|4#2100,1#126000|4#1960,1#117000|4#1820,1#90000|4#1400,1#72000|4#1120,1#54000|4#840,1#45000|4#700,1#30000|4#120,partner_card_53009,-1,20000000,50985929
6,7,13,600006,55,1#10000|4#20,1#150000|4#3000,1#140000|4#2800,1#130000|4#2600,1#100000|4#2000,1#80000|4#1600,1#60000|4#1200,1#50000|4#1000,1#35000|4#150,partner_card_52003,-1,40000000,86360516
7,8,16,600007,60,1#11000|4#22,1#165000|4#3750,1#154000|4#3500,1#143000|4#3250,1#110000|4#2500,1#88000|4#2000,1#66000|4#1500,1#55000|4#1250,1#40000|4#200,partner_card_51004,-1,50000000,139623668
8,9,19,600008,65,1#12000|4#24,1#180000|4#4500,1#168000|4#4200,1#156000|4#3900,1#120000|4#3000,1#96000|4#2400,1#72000|4#1800,1#60000|4#1500,1#45000|4#250,partner_card_52010,-1,70000000,221552910
9,10,22,600009,70,1#13000|4#26,1#195000|4#5250,1#182000|4#4900,1#169000|4#4550,1#130000|4#3500,1#104000|4#2800,1#78000|4#2100,1#65000|4#1750,1#50000|4#300,partner_card_43005,-1,90000000,237870621
10,11,25,600010,75,1#14000|4#28,1#210000|4#6000,1#196000|4#5600,1#182000|4#5200,1#140000|4#4000,1#112000|4#3200,1#84000|4#2400,1#70000|4#2000,1#55000|4#350,partner_card_52009,-1,100000000,318522861
11,12,28,600011,80,1#15000|4#30,1#225000|4#6750,1#210000|4#6300,1#195000|4#5850,1#150000|4#4500,1#120000|4#3600,1#90000|4#2700,1#75000|4#2250,1#60000|4#400,partner_card_53005,-1,130000000,458704566
12,13,30,600012,85,1#16000|4#32,1#240000|4#7500,1#224000|4#7000,1#208000|4#6500,1#160000|4#5000,1#128000|4#4000,1#96000|4#3000,1#80000|4#2500,1#70000|4#450,partner_card_55002,-1,160000000,479152642
13,14,30,600013,90,1#34000|4#34,1#255000|4#8250,1#238000|4#7700,1#221000|4#7150,1#170000|4#5500,1#136000|4#4400,1#102000|4#3300,1#85000|4#2750,1#80000|4#500,partner_card_54009,-1,190000000,402775934
14,15,30,600014,90,1#34000|4#34,1#255000|4#8250,1#238000|4#7700,1#221000|4#7150,1#170000|4#5500,1#136000|4#4400,1#102000|4#3300,1#85000|4#2750,1#80000|4#500,partner_card_54002,-1,220000000,464460563
15,16,30,600015,90,1#34000|4#34,1#255000|4#8250,1#238000|4#7700,1#221000|4#7150,1#170000|4#5500,1#136000|4#4400,1#102000|4#3300,1#85000|4#2750,1#80000|4#500,partner_card_53003,-1,250000000,382330986
16,17,30,600016,90,1#34000|4#34,1#255000|4#8250,1#238000|4#7700,1#221000|4#7150,1#170000|4#5500,1#136000|4#4400,1#102000|4#3300,1#85000|4#2750,1#80000|4#500,partner_card_51005,-1,280000000,441595138
17,18,30,600017,90,1#34000|4#34,1#255000|4#8250,1#238000|4#7700,1#221000|4#7150,1#170000|4#5500,1#136000|4#4400,1#102000|4#3300,1#85000|4#2750,1#80000|4#500,partner_card_51001,-1,310000000,427399095
18,19,30,600018,90,1#34000|4#34,1#255000|4#8250,1#238000|4#7700,1#221000|4#7150,1#170000|4#5500,1#136000|4#4400,1#102000|4#3300,1#85000|4#2750,1#80000|4#500,partner_card_54001,-1,340000000,432788856
19,20,30,600019,90,1#34000|4#34,1#255000|4#8250,1#238000|4#7700,1#221000|4#7150,1#170000|4#5500,1#136000|4#4400,1#102000|4#3300,1#85000|4#2750,1#80000|4#500,partner_card_54003,-1,370000000,435216102
20,21,30,600020,90,1#34000|4#34,1#255000|4#8250,1#238000|4#7700,1#221000|4#7150,1#170000|4#5500,1#136000|4#4400,1#102000|4#3300,1#85000|4#2750,1#80000|4#500,partner_card_52003,-1,400000000,456485860
21,22,30,600021,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_656011,-1,430000000,493443416
22,23,30,600022,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_651011,-1,460000000,541844159
23,24,30,600023,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_651008,-1,490000000,554463212
24,25,30,600024,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_652006,-1,520000000,546866468
25,26,30,600025,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_652002,-1,550000000,657832183
26,27,30,600026,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_652001,-1,580000000,656600641
27,28,30,600027,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_651005,-1,610000000,633287112
28,29,30,600028,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_653001,-1,640000000,588862047
29,30,30,600029,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_653005,-1,670000000,738092725
30,31,30,600030,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_656011,-1,700000000,684373649
31,32,30,600031,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_656011,-1,710000000,542943400
32,33,30,600032,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_651011,-1,720000000,865692446
33,34,30,600033,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_651008,-1,730000000,1108999946
34,35,30,600034,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_652006,-1,740000000,891369946
35,36,30,600035,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_652002,-1,750000000,1210963767
36,37,30,600036,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_652003,-1,760000000,1204590732
37,38,30,600037,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_652004,-1,770000000,1489807845
38,39,30,600038,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_651008,-1,780000000,1523476149
39,40,30,600039,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_656011,-1,790000000,1830406767
40,41,30,600040,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_652007,-1,800000000,1238599668
41,42,30,600041,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_652003,-1,810000000,1532868118
42,43,30,600042,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_651011,-1,820000000,1810066095
43,44,30,600043,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_652001,-1,830000000,1954283145
44,45,30,600044,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_653001,-1,840000000,1902654414
45,46,30,600045,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_652006,-1,850000000,2239043373.0
46,47,30,600046,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_754006,-1,860000000,1949123379
47,48,30,600047,90,1#34000|4#34,1#255000|4#9750,1#238000|4#9100,1#221000|4#8450,1#170000|4#6500,1#136000|4#5200,1#102000|4#3900,1#85000|4#3250,1#100000|4#600,partner_card_751003,-1,870000000,2845324860.0
