id,name,dialog,length
1,-1,-1,3
2,-1,-1,3
3,-1,-1,4
4,-1,-1,5
5,-1,-1,4
6,-1,-1,5
7,-1,-1,5
8,-1,-1,5
9,-1,-1,5
10,-1,-1,3
11,-1,-1,3
12,-1,-1,6
13,-1,-1,3
14,-1,-1,5
15,-1,-1,5
16,-1,-1,5
17,-1,-1,4
18,-1,-1,4
19,-1,-1,4
20,-1,-1,5
21,-1,-1,3
22,-1,-1,5
23,-1,-1,4
24,-1,-1,3
25,-1,-1,3
26,-1,-1,4
27,-1,-1,3
28,-1,-1,4
29,-1,-1,5
30,-1,-1,4
31,-1,-1,4
32,-1,-1,5
33,-1,-1,5
34,-1,-1,4
35,-1,-1,7
36,-1,-1,4
37,-1,-1,5
38,-1,-1,5
39,-1,-1,5
40,-1,-1,4
41,-1,-1,5
42,-1,-1,5
43,-1,-1,6
44,-1,-1,6
45,-1,-1,6
46,-1,-1,4
47,-1,-1,6
