id,group,dialog,type,value,is_move,move_end_action,flip
1,43007|54008,1#1*2#2,1|4|7|13,||#1|#1,1,,2
2,51004,1#3,2,,0,,
3,52004|55005,1#4*2#5*2#17,1|3|4|7|13,|56003||#1|#1,1,,2
4,51011|56004,1#6*2#7,7|13,1#1|1#1,0,,
5,51002|52004,2#8*1#9*2#10|1#11,1|4|7|13,||#1|#1,1,,2
6,52010,1#12,8,1010012#1020009,0,,
7,43007|43007,1#13*2#14,1|4|7|10|13,||#1|7001#|#1,1,,2
8,43007,1#15,15,-1#15,0,,
9,43007|1040016,1#16,1|7,|sit#,0,,
10,54008|56005,1#18*2#19*2#20*1#21,1|3|4|7|13,|43007||#1|#1,1,,2
11,54002,1#22,8,1010008#1020013#1040013,0,,
12,52007|1040010,1#23,1|7,|sit#,0,,
13,54011,1#24*1#25,10,7078,0,,
14,56003|1010016,1#26,1|7,|sit#,0,,
15,55005|1010016,1#27,1|7,|sit#,0,,
16,51011|1010012,1#28*1#29,1|7|14,|sit#|0#2,1,,2
17,43007|1010012,1#30,1|7|14,|sit#|0#2,1,,2
18,52012|1010011,1#31*1#32,1|7|14,|sit#|0#2,1,,2
19,52011,1#33,10,7097,0,,
20,54008,1#34*1#35*1#46,10,7026,0,,
21,43007,1#36,10,7021,0,,
22,51008,1#37,10,7096,0,,
23,53010,1#38,10,7040,0,,
24,52004,1#39,10,7020,0,,
25,52001,1#40,10,7094,0,,
26,51006,1#41,10,7022,0,,
27,56003,1#42,10,7023,0,,
28,55005,1#43,10,7027,0,,
29,51010,1#44,10,7019,0,,
30,51004,1#45,10,7018,0,,
31,55005,1#47,2,,0,,
32,54011|1050011,,1|10|14,|7078#|0#4,1,play#1,1
33,51011|56004,1#48*2#49,1|4|7|13,||1#1|1#1,1,,2
34,56003|55005,1#50*2#51,1|4|6|7|13,||#lie|1#1|1#,0,,
35,56009|55006,1#52*2#53,1|4|7|13,||1#1|1#1,1,,2
36,53011|53016,1#54*2#55,1|4|7|13,||1#1|1#1,1,,2
37,36001|56008,1#56*2#57,1|4|6|7|13,||lie#|1#1|#1,0,,
38,51015|43007,1#58*2#59,1|4|7|13,||1#1|1#1,0,,
39,56007|52016,1#60*2#61,1|4|7|13,||1#1|1#1,1,,2
40,51002|52014,1#62*2#63,1|4|7|13,||1#1|1#1,1,,2
41,51014|51004,1#64*2#65,1|4|7|13,||1#1|1#1,1,,2
42,51014|51017,1#66*2#67,1|4|7|13,||1#1|1#1,1,,2
43,54013|52009|52007,1#68*2#69*3#70,1|4|7|13,||1#1#1|1#1#1,0,,
44,51017|55009,1#71*2#72,1|4|7|13,||1#1|1#1,1,,2
45,54007|53012,1#73*2#74,1|4|7|13,||1#1|1#1,1,,2
46,53015|51013,1#75*2#76,1|4|7|13,||1#1|1#1,1,,2
47,53011|54011,1#77*2#78,1|4|7|13,||1#1|1#1,1,,2
48,52011|52017,1#79*2#80,1|4|7|13,||1#1|1#1,1,,2
49,56002|54008,1#81*2#82,1|4|7|13,||1#1|1#1,1,,2
50,51005|54015,1#83*2#84,1|4|7|13,||1#1|1#1,1,,2
51,54002|54015,1#85*2#86,1|4|7|13,||1#1|1#1,1,,2
52,54014|52012,1#87*2#88,1|4|7|13,||1#1|1#1,1,,2
53,51013|55002,1*89*2#90,1|4|7|13,||1#1|1#1,1,,2
54,53017|53007,1#91*2#92*1#93,1|4|7|13,||1#1|1#1,1,,2
55,55010|56005,1#94*2#95,1|4|7|13,||1#1|1#1,1,,2
56,54016|54011,1#96*2#97,1|4|7|13,||1#1|1#1,1,,2
57,52018|54012,1#98*2#99,1|4|7|13,||1#1|1#1,1,,2
58,54009|53017,1#100*2#101,1|4|7|13,||1#1|1#1,1,,2
59,51015|54015,1#102*2#103,1|4|7|13,||1#1|1#1,1,,2
60,52015|53004,1#104*2#105,1|4|7|13,||1#1|1#1,1,,2
61,52001|56007,1#106*2#107,1|4|7|10|13,||1#1|#7164|1#1,1,,2
62,53013|53016,1#108*2#109,1|4|6|7|13,||lie#|1#1|#1,0,,
63,52007|54014,1#110*2#111,1|4|7|13,||1#1|1#1,1,,2
64,51011|52010,1#112*2#113,1|4|7|13,||1#1|1#1,1,,2
65,51016|56008,1#114*2#115,1|4|7|13,||1#1|1#1,1,,2
66,55009|55005,1#116*2#117,1|4|7|13,||1#1|1#1,1,,2
67,54016|51015,1#118*2#119,1|4|7|13,||1#1|1#1,1,,2
68,52016|52014,1#120*2#121,1|4|7|13,||1#1|1#1,1,,2
69,52015|56007,1#122*2#123,1|4|7|13,||1#1|1#1,1,,2
70,53007|52008,1#124*2#125,1|4|7|13,||1#1|1#1,1,,2
71,53011|54003,1#126*2#127,1|4|7|13,||1#1|1#1,1,,2
72,54017|54012,1#128*2#129,1|4|7|13,||1#1|1#1,1,,2
73,55008|55011,1#130*2#131,1|4|7|13,||1#1|1#1,1,,2
74,54017|52010,1#132*2#133,1|4|7|13,||1#1|1#1,1,,2
75,51003|53004,1#134*2#135,1|4|7|13,||1#1|1#1,1,,2
76,53005|53015,1#136*2#137,1|4|7|13,||1#1|1#1,1,,2
77,51017|51004,1#138*2#139,1|4|7|13,||1#1|1#1,1,,2
78,56005|52018,1#140*2#141,1|4|7|13,||1#1|1#1,1,,2
79,55004|55003,1#142*2#143,1|4|7|13,||1#1|1#1,1,,2
80,55010|56009,1#144*2#145,1|4|7|13,||1#1|1#1,1,,2
81,55008|51016,1#146*2#147,1|4|7|13,||1#1|1#1,1,,2
82,53011|53016,1#148*2#149,1|4|7|13,||1#1|1#1,1,,2
83,51017|53015|51017,1#150*2#151*1#152,1|4|7|13,||1#1|1#1,1,,2
84,51013|54007,1#153*2#154,1|4|7|13,||1#1|1#1,1,,2
85,51016|51013,1#155*2#156,1|4|7|13,||1#1|1#1,1,,2
86,52018|52016|52018,1#157*2#158*1#159,1|4|7|13,||1#1|1#1,1,,2
87,51015|51002,1#160*2#161,1|4|7|13,||1#1|1#1,1,,2
88,54017|54002,1#162*2#163,1|4|7|13,||1#1|1#1,1,,2
89,54007|52017,1#164*2#165,1|4|7|13,||1#1|1#1,1,,2
90,52001|56005,1#166*2#167,1|4|7|13,||1#1|1#1,1,,2
91,52018|54016,1#168*2#169,1|4|7|13,||1#1|1#1,1,,2
92,44003|54003,1#170*2#171,1|4|7|13,||1#1|1#1,1,,2
93,54011|54016|54011,1#172*2#173*1#174,1|4|7|13,||1#1|1#1,1,,2
94,44008|51012,1#175*2#176,1|4|7|13,||1#1|1#1,1,,2
95,51015|55010|51015,1#177*2#178*1#179,1|4|7|13,||1#1|1#1,1,,2
