id,name,is_ride,sit_pos_offset,lie_pos_offset,house_idle_num
1100201,-1,0,0|0,40|0,
3100401,-1,0,0|0,20|0,
4200301,-1,0,0|0,20|0,
4300701,-1,0,0|0,20|-20,
5100101,-1,0,0|0,0|-20,
5100201,-1,0,0|0,10|0,
5100301,-1,0,0|0,20|-30,
5100401,-1,0,0|0,10|-30,
5100501,-1,0,0|0,40|20,
5100601,-1,0,-15|10,0|-10,
5100701,-1,1,0|0,0|0,
5100801,-1,0,0|0,10|-30,
5100901,-1,0,0|0,0|-10,
5101001,-1,0,0|0,50|0,
5101101,-1,0,0|0,40|-30,
5200101,-1,0,0|0,10|-10,
5200201,-1,0,0|0,0|-30,
5200301,-1,1,0|0,0|0,
5200401,-1,0,0|0,0|-20,
5200501,-1,0,0|0,0|-35,
5200601,-1,0,0|0,0|-30,
5200701,-1,0,0|0,0|-30,
5200801,-1,0,0|0,0|-25,
5200901,-1,0,0|0,0|-25,
5201001,-1,0,0|0,0|-30,
5201101,-1,0,0|0,0|-20,
5300101,-1,0,0|0,0|-40,
5300201,-1,0,-8|0,20|-20,
5300301,-1,0,0|0,20|-30,
5300401,-1,0,0|0,30|-60,
5300501,-1,0,0|0,30|-40,
5300601,-1,0,-10|0,25|-10,
5300701,-1,0,0|0,0|-30,
5300801,-1,0,0|0,30|-40,
5300901,-1,0,0|0,0|-10,
5301001,-1,0,0|0,20|-50,
5301101,-1,0,0|0,0|-40,
5400101,-1,0,0|0,10|-30,
5400201,-1,0,0|0,0|-25,
5400301,-1,0,0|0,20|-30,
5400401,-1,0,0|0,10|-20,
5400501,-1,0,0|0,10|-30,
5400601,-1,0,0|0,0|-20,
5400701,-1,0,0|0,10|-30,
5400801,-1,0,0|0,0|-10,
5400901,-1,1,0|0,0|0,
5401001,-1,0,0|0,10|-30,
5500201,-1,0,0|0,0|-20,
5500301,-1,0,0|0,10|-20,
5500401,-1,0,0|0,10|-20,
5500501,-1,0,0|0,0|-10,
5600101,-1,0,0|0,0|-20,
5600201,-1,0,0|0,0|-30,
5600301,-1,0,0|0,0|0,
5600401,-1,0,0|0,0|-10,
65100101,-1,0,0|0,0|-25,
65100201,-1,0,0|0,-20|-20,
65100301,-1,0,0|0,10|-10,
65100401,-1,0,0|0,0|-20,
65100501,-1,1,0|0,0|0,
65100601,-1,0,0|0,30|20,
65100701,-1,1,0|0,0|0,
65100801,-1,0,0|0,20|-40,
65100901,-1,0,0|0,0|-35,
65101001,-1,0,0|0,0|-30,
65101101,-1,0,0|0,10|-20,
65101501,-1,0,0|0,10|-30,
65101601,-1,0,-15|5,-10|-20,
65101701,-1,0,0|0,0|-20,
65101801,-1,0,0|0,20|-10,
65200101,-1,0,0|0,0|-30,
65200201,-1,0,0|0,0|-20,
65200301,-1,0,0|0,30|-40,
65200401,-1,0,0|0,30|-50,
65200501,-1,0,0|0,40|-30,
65200601,-1,0,0|0,30|-50,
65200701,-1,0,0|0,0|-20,
65200801,-1,0,0|0,40|-60,
65200901,-1,0,0|0,10|-30,
65201001,-1,0,0|0,0|-30,
65201101,-1,0,0|0,0|-20,
65201301,-1,0,0|0,0|-10,
65201401,-1,0,0|0,0|-20,
65201501,-1,0,0|0,30|0,
65201701,-1,0,0|0,0|-20,
65201801,-1,0,0|0,0|-20,
65300101,-1,0,0|0,10|-30,
65300201,-1,0,0|0,0|-30,
65300301,-1,0,0|0,0|-20,
65300401,-1,1,0|0,0|0,
65300501,-1,0,0|0,0|-20,
65300601,-1,0,0|0,20|-20,
65301101,-1,0,0|0,50|-30,
65301401,-1,0,0|0,10|-20,
65301501,-1,0,0|0,30|-40,
65301601,-1,0,0|0,-10|-15,
65301701,-1,0,0|0,0|-40,
65301801,-1,0,0|0,20|-30,
65401101,-1,0,0|0,10|-20,
65401301,-1,0,0|0,10|-20,
65401601,-1,0,0|0,10|-30,
65401701,-1,0,0|0,20|-10,
65501101,-1,0,0|0,10|-20,
65501301,-1,0,0|0,0|0,
65501401,-1,0,0|0,0|-30,
65601101,-1,0,0|0,0|-20,
65601301,-1,0,0|0,-10|-10,
65601401,-1,0,0|0,0|-20,
75100101,-1,0,0|0,30|0,
75100201,-1,0,0|0,20|-10,
75100301,-1,1,0|0,0|0,
75100401,-1,0,0|0,20|0,
75100501,-1,0,0|0,30|0,
75100601,-1,0,0|0,40|-30,
75100701,-1,0,0|0,20|0,
75100801,-1,0,0|0,10|-10,
75100901,-1,0,-15|5,0|-10,
75101001,-1,0,0|0,0|-20,
75101101,-1,0,0|0,40|-30,
75200101,-1,1,0|0,0|0,
75200201,-1,0,0|0,-10|-30,
75200301,-1,0,0|0,0|-40,
75200401,-1,0,0|0,0|-30,
75200501,-1,0,0|0,30|-40,
75200601,-1,0,0|0,0|-30,
75200701,-1,0,0|0,5|-20,
75200801,-1,0,0|0,-20|-30,
75200901,-1,0,0|0,0|-15,
75201001,-1,0,0|0,30|-50,
75201101,-1,0,0|0,30|-40,
75300101,-1,0,0|0,40|-30,
75300201,-1,0,0|0,0|-10,
75300301,-1,0,0|0,30|-40,
75300401,-1,0,0|0,30|-40,
75300501,-1,0,0|0,0|-10,
75300601,-1,0,0|0,40|-50,
75300701,-1,0,0|0,40|-30,
75300801,-1,0,0|0,10|-10,
75300901,-1,0,0|0,0|-10,
75301001,-1,0,0|0,0|-30,
75301101,-1,0,0|0,0|-20,
75400101,-1,0,0|0,10|-20,
75400201,-1,0,0|0,0|-40,
75400301,-1,0,0|0,0|-10,
75400401,-1,0,0|0,0|-20,
75400501,-1,0,0|0,20|-10,
75400601,-1,1,0|0,0|0,
75400701,-1,0,0|0,20|-10,
75400801,-1,0,0|0,10|-20,
75400901,-1,0,0|0,20|-20,
75401001,-1,0,0|0,20|-10,
75500101,-1,0,-10|0,20|0,
75500201,-1,0,0|0,10|-10,
75500301,-1,0,-15|0,-5|-20,
75500401,-1,0,0|0,30|0,
75600101,-1,0,0|0,5|-15,
75600201,-1,0,0|0,10|-30,
75600301,-1,0,0|-5,-10|-30,
75600401,-1,0,0|0,5|-10,
4200302,-1,0,0|0,0|0,
4300702,-1,0,-12|5,0|-20,
4300703,-1,0,0|0,0|0,
5100102,-1,0,0|0,0|0,
5100202,-1,0,0|0,0|0,
5100203,-1,0,0|0,0|0,
5100402,-1,0,0|0,0|0,
5100403,-1,0,0|0,0|0,
5100404,-1,0,0|0,0|0,
5100602,-1,0,0|0,0|0,
5100603,-1,0,0|0,0|0,
5100702,-1,1,0|0,0|0,
5101002,-1,0,0|0,0|0,
5101003,-1,0,0|0,0|0,
5101102,-1,0,0|0,0|0,
5200102,-1,0,0|0,0|0,
5200103,-1,0,0|0,0|0,
5200202,-1,0,0|0,0|0,
5200402,-1,0,0|0,0|0,
5200403,-1,0,0|0,0|0,
5200404,-1,0,0|0,0|0,
5200502,-1,0,0|0,0|0,
5200503,-1,0,0|0,0|0,
5200702,-1,0,0|0,0|0,
5200703,-1,0,0|0,0|0,
5200802,-1,0,0|0,0|0,
5201002,-1,0,0|0,0|0,
5300102,-1,0,0|0,0|0,
5300103,-1,0,0|0,0|0,
5300402,-1,0,0|0,0|0,
5300502,-1,0,0|0,0|-20,
5300503,-1,0,0|0,0|0,
5301002,-1,0,0|0,0|0,
5301004,-1,0,0|0,0|0,
5301102,-1,0,0|0,0|0,
5400102,-1,0,0|0,0|0,
5400103,-1,0,0|0,0|0,
5400104,-1,0,0|0,0|0,
5400202,-1,0,0|0,0|0,
5400402,-1,0,0|0,0|0,
5400502,-1,0,0|0,0|0,
5400702,-1,0,0|0,0|0,
5400802,-1,0,0|0,0|0,
5400803,-1,0,0|0,0|0,
5400804,-1,0,0|0,30|0,
5400902,-1,1,0|0,0|0,
5401002,-1,0,0|0,0|0,
5500202,-1,0,0|0,0|0,
5500302,-1,0,0|0,0|0,
5500303,-1,0,0|0,0|0,
5500502,-1,0,0|0,0|0,
5500503,-1,0,0|0,0|0,
5500504,-1,0,0|0,0|0,
5500505,-1,0,0|0,0|0,
5600102,-1,0,0|0,0|0,
5600103,-1,0,0|0,0|0,
5600202,-1,0,0|0,0|0,
5600302,-1,0,0|0,0|0,
5600303,-1,0,0|0,0|0,
5600304,-1,0,0|0,0|0,
5600402,-1,0,0|0,0|0,
5600403,-1,0,0|0,40|-30,
5301003,-1,0,0|0,0|0,
5100802,-1,0,0|0,0|0,
5300702,-1,0,0|0,0|0,
5400203,-1,0,0|0,0|0,
5301103,-1,0,0|0,0|0,
4300704,-1,0,0|0,0|0,
5500402,-1,0,0|0,0|0,
4100101,-1,0,0|0,0|-50,
4100201,-1,0,0|0,0|-30,
4100301,-1,0,0|0,10|-40,
4100401,-1,0,0|0,0|-30,
4100501,-1,0,0|0,0|-30,
4100601,-1,0,-10|-10,0|-30,
4100701,-1,0,0|-10,0|-30,
4100801,-1,0,0|0,0|-40,
4200101,-1,0,0|0,30|-20,
4200201,-1,0,-15|-5,30|0,
4200401,-1,0,0|0,10|-10,
4200501,-1,0,-10|-5,30|-20,
4200601,-1,0,-10|-5,30|-20,
4200701,-1,0,0|0,40|-20,
4200801,-1,0,0|-15,0|0,
4300101,-1,0,0|0,0|0,
4300201,-1,0,0|0,20|-30,
4300301,-1,0,0|0,0|0,
4300401,-1,0,0|0,0|0,
4300501,-1,0,0|0,0|0,
4300601,-1,0,-10|10,0|0,
4300801,-1,0,0|0,0|0,
4400101,-1,0,-10|0,20|-30,
4400201,-1,1,0|0,0|0,
4400301,-1,0,0|0,0|-20,
4400401,-1,0,-10|0,20|-20,
4400501,-1,0,0|0,0|0,
4400601,-1,0,0|0,15|-20,
4400701,-1,0,0|0,0|0,
4400801,-1,0,-10|0,0|0,
4500101,-1,0,0|0,0|-40,
4500201,-1,0,0|0,0|-30,
4500301,-1,0,0|0,0|-30,
4600101,-1,0,0|0,0|0,
4600201,-1,0,0|0,0|0,
4600301,-1,0,0|0,0|0,
65101201,-1,0,0|0,0|-40,
65101301,-1,0,-10|-10,0|-30,
65101401,-1,0,-10|-10,0|-30,
65201201,-1,0,0|0,0|20,
65201601,-1,0,0|-10,0|0,
65301201,-1,0,0|0,0|0,
65301301,-1,0,0|0,20|-30,
65401201,-1,0,0|0,0|-30,
65401401,-1,0,-15|0,0|0,
65401501,-1,0,0|0,0|0,
65601201,-1,0,0|0,0|0,
65501201,-1,0,0|0,0|-30,
5400703,-1,0,0|0,0|0,
5100302,-1,0,0|0,0|0,
5300104,-1,0,0|0,10|-25,
5600501,-1,0,0|0,10|-10,
65601501,-1,0,-5|0,10|-10,
75600501,-1,0,-5|0,10|-10,
5500601,-1,0,0|0,10|-15,
65501501,-1,0,0|0,5|-10,
75500501,-1,0,0|0,10|-10,
5500602,-1,0,0|0,-5|-25,
5200203,-1,0,-5|0,10|-10,
55006011,-1,0,-5|0,0|-15,
655015011,-1,0,-5|0,0|-10,
755005011,-1,0,0|0,0|-15,
55006021,-1,0,0|0,0|-15,
4500302,-1,0,0|0,0|-35,
1100101,-1,0,0|-10,10|-40,
1100301,-1,0,0|0,0|-40,
1200101,-1,0,-10|-10,20|-20,
1200201,-1,0,0|0,10|-15,
1200301,-1,0,0|0,10|-10,
1300101,-1,0,-10|0,0|-20,
1300201,-1,0,-10|-10,20|-30,
1300301,-1,0,-10|-10,0|-30,
1400101,-1,0,0|-10,0|-40,
1400201,-1,0,5|-15,10|-20,
1400301,-1,0,5|-10,10|-40,
2100101,-1,0,0|0,0|-30,
2100201,-1,0,10|-10,20|-40,
2100301,-1,0,0|0,10|-40,
2100401,-1,0,0|0,0|-30,
2200101,-1,0,0|0,20|-15,
2200201,-1,0,0|0,20|-20,
2200301,-1,0,-10|5,0|0,
2200401,-1,0,-10|0,10|-20,
2300101,-1,0,-10|0,20|0,
2300201,-1,0,-10|0,20|-20,
2300301,-1,0,0|0,0|-35,
2300401,-1,0,0|0,0|-25,
2400101,-1,0,0|-10,10|-30,
2400201,-1,0,0|0,0|-40,
2400301,-1,0,0|0,10|-30,
2400401,-1,0,5|-15,0|-30,
3100101,-1,0,0|0,10|-40,
3100201,-1,0,0|0,0|-40,
3100301,-1,0,0|0,10|-30,
3100501,-1,0,0|0,0|-30,
3200101,-1,0,-10|-5,0|0,
3200201,-1,0,0|0,10|-20,
3200301,-1,0,0|0,0|-20,
3200401,-1,0,-10|0,10|0,
3200501,-1,0,-10|0,10|-20,
3300101,-1,0,0|0,10|-30,
3300201,-1,0,0|0,30|-10,
3300301,-1,0,0|0,30|-20,
3300401,-1,0,0|-10,20|0,
3300501,-1,0,-10|-10,20|0,
3400101,-1,0,-5|-5,0|-40,
3400201,-1,0,0|0,0|-30,
3400301,-1,0,0|-10,0|-30,
3400401,-1,0,0|-10,0|-30,
3400501,-1,0,0|0,0|-30,
3500101,-1,0,-5|10,0|-30,
3600101,-1,0,0|0,10|-40,
5100604,-1,0,0|0,30|-5,
5600502,-1,0,0|0,0|-35,
5401101,-1,0,0|0,0|-35,
65401801,-1,0,0|0,0|-35,
75401101,-1,0,0|0,-5|-45,
5401102,-1,0,0|0,0|-35,
5500603,-1,0,0|0,0|-35,
55006031,-1,0,0|0,0|-35,
5300403,-1,0,0|0,10|-25,
5201201,-1,0,0|0,10|-25,
65201901,-1,0,0|0,10|-25,
75201201,-1,0,0|0,10|-25,
5200405,-1,0,0|0,10|-25,
5201202,-1,0,0|0,10|-25,
5600503,-1,0,0|0,10|-25,
5401003,-1,0,0|0,10|-25,
5100204,-1,0,0|0,10|-25,
5301201,-1,0,0|0,10|-25,
65301901,-1,0,0|0,10|-25,
75301201,-1,0,0|0,10|-25,
5301104,-1,0,0|0,10|-25,
5300703,-1,0,0|0,10|-25,
53007031,-1,0,-5|-50,70|-60,
5101103,-1,0,0|0,10|-25,
5200902,-1,0,0|0,10|-25,
5500604,-1,0,0|0,10|-25,
55006041,-1,0,0|0,10|-25,
5101201,-1,0,0|0,10|-25,
5100103,-1,0,0|0,10|-25,
5201203,-1,0,0|0,10|-25,
5401103,-1,0,0|0,0|0,
65101901,-1,0,0|0,10|-35,
75101201,-1,0,0|0,10|-35,
5301202,-1,0,0|0,10|-25,
5200104,-1,0,0|0,10|-25,
5100803,-1,0,0|0,10|-25,
5201102,-1,0,0|0,10|-25,
5201301,-1,0,0|0,10|-25,
65202001,-1,0,0|0,10|-25,
75201301,-1,0,0|0,10|-25,
5201302,-1,0,0|0,10|-25,
5600404,-1,0,0|0,10|-25,
5500701,-1,0,0|0,10|-25,
65501601,-1,0,0|0,10|-25,
75500601,-1,0,0|0,10|-25,
5600601,-1,0,0|0,10|-25,2
65601601,-1,0,0|0,10|-25,2
75600601,-1,0,0|0,10|-25,3
5400805,-1,0,0|0,10|-25,
5100902,-1,0,0|0,10|-25,
5100605,-1,0,0|0,10|-25,
5600405,-1,0,0|0,10|-25,
5101202,-1,0,0|0,10|-25,
5100405,-1,0,0|0,10|-25,
5200204,-1,0,0|0,10|-25,
5500702,-1,0,0|0,10|-25,
5200302,-1,0,0|0,10|-25,
5401201,-1,0,0|0,10|-25,
65401901,-1,0,0|0,10|-25,
75401201,-1,0,0|0,10|-25,
5101104,-1,0,0|0,10|-25,
