id,title,name,dialog,select_text
1,夏の間違った始め方,,暑い初夏の日差しーー,
2,,,そのせいなのでしょうか……,
3,,,なんだか頭がクラクラするのですわ……,
4,,,私はビビアン。,
5,,,学園で有名な占星術師ですわ。,
6,,,なのに、一体どうしてこんなことに……,
7,,,このクラクラはきっと、\n日差しのせいだけじゃないですわ……,
8,,ビビアン,えっと、落とし物センター、ですか？,
9,,諸葛亮,あぁ。,
10,,ビビアン,えっと、その……占いで皆さんの探し物をするのですか？,
11,,諸葛亮,その通りだ。,
12,,諸葛亮,貴殿も占いを有効に活用して\n皆に幸せを与えるのが最初の志であろう？,
13,,ビビアン,いえ、そんな高尚な目的なんてありませんわ。\nお星さまからの言葉を伝えることが私の役目で、\nただの伝言役、とでも言いますか……,
14,,諸葛亮,そろそろ夏本番、暑さで皆がイライラする時期だ。\nそんな時に失くし物をしたら、より一層困ったり、\nイライラする者が増えるだろう？,
15,,諸葛亮,そういう訳で、大いにその力を振るってくれ。\nでは私はこれで……,
16,,ビビアン,いえいえ、だから私は……その、えっと……\nえっ！？ちょっと、会長さん！行かないで……！,
17,,,……,
18,,,しかし冷静に考ると……,
19,,,落とし物センターって昼間にやるのでは……？,
20,,ビビアン,昼間ではお星さまが見えませんわ……！,
21,,ビビアン,困りましたわ……どうやって探し物を……,
22,,司馬昭,あらぁ、困っているようね？\n私が助けてあげようかしら？,
23,,ビビアン,な、なんか明らかに怪しい笑顔なのですが……,
24,,司馬昭,"
やだ、酷い言いがかりだわ。あなたのために
こうしてわざわざ来てあげたって言うのに……
まぁいいわ。ねぇ、星が見えないのなら、
別の方法にすればいいんじゃない？",
25,,ビビアン,べ、別の方法、ですか？,
26,,司馬昭,えぇ。この伝説の古書には、水晶玉占いの全てが\n書かれているの。「水晶玉の使用法」とか\n「他の占いから水晶玉に切り替えるコツ」とか……,
27,,ビビアン,えっと、伝説の古書って、\nいつの時代のものですか？,
28,,司馬昭,まぁまぁ、そんな細かいことは気にしないの。,
29,,司馬昭,それより、どうかしら？この本、買わない？\nあなたはかわいい後輩の一人だし、\n今なら私とっておきの水晶玉もつけるわよ？,
30,,,そう言って司馬昭はとびっきりの笑顔を見せた。,
31,,,それはもう、文字通りキラキラ輝くような……,
32,,,ビビアンはその笑顔に圧倒され、\nしばらく沈黙した後……,
33,,,その古書を買った……\nいや、買ってしまったのであった。,
34,,ビビアン,（読書中）\nそういえば、伝説の時代に\n印刷物ってありましたっけ？,
35,,ビビアン,……やっぱりあやしいですわ。,
36,,後輩A,ビビアン先輩、会長からの贈り物です！,
37,,,……,
38,,,彼女はそう言うと、テントの前に諸葛亮直筆の\n「落とし物センター」の看板を置いた。,
39,,ビビアン,会長さん、かなり強引な時があるのですわ……,
40,,ビビアン,まぁ、そんなに訪れる人もいないでしょう……,
41,,シルバー,ビビアン、いるか？,
42,,ビビアン,って、あれ？,
43,,,さっそく来たのですわ！？,
44,,ビビアン,これはこれは、シルバー先輩！,
45,,シルバー,諸葛亮から話を聞いてな、\n何やら探し物をしてくれるそうだな？,
46,,ビビアン,えっと、その、成り行きと言いますか……\nでも、せっかく来ていただきましたし、\nお力になりますわ。何を探しているのですか？,
47,,シルバー,実は手袋を失くしてな。頼めるか？,
48,,ビビアン,手袋、ですか？,
49,,シルバー,ああ、特別なものなんだ……,
50,,呂蒙,び、ビビアンさーーーん！,
51,,,シルバーの話を遮るように,
52,,,呂蒙が勢いよくテントに飛び込んできた。,
53,,呂蒙,ビビアンさん！助けて！！！,
54,,ビビアン,その、順番を……,
