id,title,name,dialog,select_text
101101,写真館-1,*,おっ、写真館だ！\nせっかくだし、一緒に撮らない？,
101102,,甘夫人,撮影って……プロのカメラマンを雇って、\n色々な場所で撮るものではなくて？,
101103,,*,アハハ……まぁ、甘夫人にとっては\nそっちがメジャーだろうけど、\n普通はこういう場所で撮るものさ。,
101104,,甘夫人,あらまぁ、そうでしたか……\n私ったら世間知らずで……,
101105,,甘夫人,ですがその……ご主人様？\n先ほどからずっと私を見て、\n何かついているのでしょうか？,
101106,,甘夫人,あらあら、\nまさか本当に私のことを見ていたなんて……,
101107,,甘夫人,うふふ、ご主人様ったら……お可愛いこと……,
101108,,甘夫人,あらやだ、そんなストレートに言われたら……\n照れてしまいますわ……,
101201,写真館-2,甘夫人,あら、前回もこの写真館の前を通りましたね。,
101202,,*,前回は臨時休館で撮れなかったことだし、\nどうかな？もう一回入ってみない？,
101203,,甘夫人,うーん……別に構いませんが、\n私のこと、ジロジロ見ないでくださいね、\nご・主・人・様？,
101204,,*,えっ、い、いや、そんなことしないよ。,
101205,,店長,いらっしゃいませ。\n本館は様々な撮影衣装を取り揃えております。\nぜひ、お好きな物をお選びください。,
101206,,店長,やはり、カップルで揃えると映えますね。,
101207,,甘夫人,シャキッとして素敵ですわ、ご主人様。\nあら、ここ……私が整えて差し上げますね。,
101208,,甘夫人,あら……\n私の為に着替えてくださらないのですか……？,
101301,写真館-3,*,やっと写真の受取日だね。\n受け取るのが楽しみだよ！,
101302,,甘夫人,写真はその場ですぐに\n受け取れると思っていました……\nお恥ずかしい……,
101303,,*,まぁまぁ、\n甘夫人はこういう庶民の生活に疎いから\nしょうがないよ。,
101304,,*,一枚多めに現像して貰ったから、\n一人一枚ずつ貰えるよ。,
101305,,店長,申し訳ございません……機械のトラブルで……\n一枚はお渡しできますが、もう一枚の方は\n少々お時間いただいてしまいます……,
101306,,甘夫人,あらっ、私にくださるのですか？\n嬉しい、大事にしますわ……,
101307,,店長,申し訳ございません……\n機械の修理に手間取っていまして……,
101308,,甘夫人,あら残念……\nでもご主人様と一緒に待つこの時間、\n結構嫌いではないですよ。,
101309,,*,フィルムがあれば、いつ欲しくなっても、\n現像して貰うことができるね。,
101310,,甘夫人,うふふ、それよりも、\n今目の前にいる私の姿を、\n目に焼きつけませんか？,
102101,高級レストラン-1,*,うわぁ、こんな高級レストラン初めてだな……\n一年分の生活費がかかりそう……（小声）,
102102,,甘夫人,どうしましたの、ご主人様？,
102103,,*,あっ、いやっ、\nどの料理を甘夫人にお勧めしようか、\n迷っているだけさ、あはは……,
102104,,甘夫人,あらそう、良かったですわ。お値段が高めだから、\n少し心配していましたけれど……,
102105,,甘夫人,お勧めできる程の常連であれば、\n心配いりませんわね。,
102106,,*,やばい……\nこれは自分で墓穴を掘ってしまった……,
102107,,甘夫人,モンブランの名前は、\nどこかの有名な雪山が由来らしいです。,
102108,,甘夫人,今年の冬は、私と雪山に\n美しい景色を見に行きませんか……？,
102109,,甘夫人,あらまぁ、予想外でしたわ……,
102110,,*,えっ、ど、どうしたの？,
102111,,甘夫人,いえいえ……アンコウはその見た目から、\nあまり人気がないと聞きますが、さすがご主人様、\nアンコウの魅力を知っているなんて！,
102112,,甘夫人,これは、私の大好物ですわ。\n私の好みを把握しているなんて、さすがご主人様！,
102201,高級レストラン-2,*,まぁ、もう注文してしまったことだし、\nせっかくのデートだ……,
