id,desc,answer_desc,result_desc
1,ボーっと歩いていたら、許褚の花園に足を踏み入れてしまった。許褚に説教された後、植物の種を少し貰った。,,
2,今回のテストで誰も赤点にならなかった。喜んでいる貂蝉先生からプレゼントを貰った。,,
3,張郃と曹操がガチャで運試し勝負をしていたが、どっちも運が悪くて、虚しい結果になった。,,
4,イサウからプレゼントを貰ったと思いきや、ヤコブに渡して欲しいと言われた……,,
5,図書館の机の上に、本が開いたまま置かれていた。誰かが忘れていったのだろう。,曹植に渡す|バニラに渡す,曹植が忘れた物ではないようだ。それでも曹植は嬉しそうに感謝の意を述べた。|バニラは嬉しそうに本を受け取った。どこに置いたか忘れていたようだ。
6,空地で青色の骨ビスケットが落ちていたのを発見した。辺りに人はいないようだ。,拾って食べる|無視する,突如しっぽにゃんに襲われた。ビスケットはそのしっぽにゃんの物だったのだろう。|少し前に進んだ後、気になって振り向いてみると、ビスケットは既に消えていた……
7,風呂から上がってから、大浴場のドライヤーが壊れていたことに気付いた。,濡れた髪のまま宿舎に戻る|大浴場の前で座って、自然に乾くのを待つ,宿舎に戻る途中、荀彧に会ってドライヤーを借りた。|そのまま寝てしまい、夜風に当たって風邪になってしまった。
8,学園の桜が咲いた。多くの花弁が宙を舞っている。,花びらを掃除する|静かに美景を眺める,頑張って掃除をしたが、急に強風が吹いて、また散らかってしまった。|桜の木の下でボーっとしていたら、重要なバイトに遅刻してしまった。
9,商店街で買い物していると、ふと白い翼が目に入った。,思わず羽に触れる|避ける,驚いた龐統は火を出してしまい、手をやけどしてしまった。|迷子になっていた龐統だった。彼女の目的の店まで送ると、お礼として羽を1本貰った。
10,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
11,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
12,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
13,張飛食堂の新作を食べてみたが、辛すぎて気を失ってしまった。,,
14,探し物をしていたら、諸葛亮が偶然横を通った。彼女は助言をした後、急いでどこかに行った。,,
15,新しいガチャを回す為、精一杯バイトに励んだ。,,
16,氷と雪の違いを知るため、鄧艾に質問してみたが、手を滑らせた彼女に氷漬けにされてしまった。,,
17,パーティの途中、部屋を暗くして、椅子取りゲームをすることになった。,シルバーのチームに参加|魏延のチームに参加,シルバーは、自身の能力がこの手のゲームでは不公平になると辞退した。残りのメンバーで頑張ったが、参加賞しかもらえなかった。|暗闇の中、魏延が腕を振ると椅子の多くを破壊してしまった。最終的に優勝したが、優勝賞金の大半は椅子の弁償に当てた。
18,学園内の事を知ろうとして、新聞を買うことにした。,「幽夢新聞」を買う|「極秘100％」を買う,堅めの内容で少しつまらなかった。一番好きなのはおまけコーナーの「笑える話3選」だった。|内容を見てみると、皆が知っているような古い学園伝説だった。読むのを止めて、図書館で曹植とお話をして、楽しい一日を過ごした。
19,幽夢騎馬大会が開かれた。一部の道で近距離観戦できるようだ。,レースの最終地点に向かう|事故が多発する道で観戦する,道に迷ってしまい、辺鄙な場所まで歩いた。不思議な印がある石を見つけた。|夏侯惇が乗っている馬が近くを通った際、道に落ちていた石を弾いた。その石が自分の頬を掠めて、冷や汗をかいた。
20,茶道部の誘いを受け、お茶をごちそうして貰うことになった。,紅茶を飲む|緑茶を飲む,一気に飲んだ後、頭がクラクラして気を失った。目が覚めると宿舎のベッドの上にいて、机の上には「治験のお礼」と書かれた紙と、お菓子の箱が置いてあった。|飲もうとした瞬間、魏延が現れて、カップを粉砕した。代わりのお茶を淹れてくれたが、一体どういうことだ？
21,アンケート調査を受けた。好きなトランプの柄を聞かれた。,ハートのA|スペードのK,翌日、王冠を被った熊のぬいぐるみが届いた。|翌日、黒い羽根が刺さった赤いリンゴが届いた。
22,探索チームが敵に遭遇しました。応戦しますか？（戦闘に敗北すると、探索時間が増加。応戦しないと、ボーナスを獲得しない）,,探索チームが敵に勝ちました！|敵に勝てなかったが、探索チームは無事に撤退しました。
