id,name,react_right,react_wrong
1,陸遜,頑張って！ご主人様ならできるよ！,うんうん、正解に近づいていると思うよ、ご主人様！
2,坂本龍馬,ちっ、ワシはお主が間違える方に賭けたんに、どうして当てるぜよ！ワシの食費がぁ……,なんや、ハズレか？ハッハッハッ、まあ、次頑張ればいいぜよ！ん？なぜワシが笑っちゅうかって？気にせんでええぜよ～。
3,曹植,ご主人様は博識ですね。私なんか、すぐ超えられちゃいそうです。,うん？この問題、学園のどこかにヒントがあるはずです。
4,貂蝉,あらあら、頑張ってるわね～。お姉さんのプレゼント、そんなに欲しいのかしら？,残念だわ～、まだあれを手に入れてないなんて……あっ、あれのことはまだ内緒だったわ～。
5,曹操,この世の全ては勝者が決めるものよ。何かを決めたいのなら、勝利をもぎ取りなさい！,ほらほら、ここで終わりじゃないでしょ？実力を出しなさい！
6,シルバー,おめでとうございます！後輩たちからのプレゼントを受け取ってください！,落ち込んでいる暇があれば、次に備えて頑張るんだな。
7,アパテー,ふん、まぐれね！あたちを超えられるわけないわ！,正解が知りたい？そうね、正解は～……教えな～い。キャハハ！
8,イサウ&ヤコブ,[c][125db3]イサウ：[-][/c]わわっ！先輩に負けちゃうよ！何とかしないと……\n[c][800d0d]ヤコブ：[-][/c]姉さん、頑張って！,[c][125db3]イサウ：[-][/c]まぁ～、分からなかったら、私が教えてあげてもいいよ～？\n[c][800d0d]ヤコブ：[-][/c]姉さん、本当に答え分かってるの？
9,イザナミ,何でも知っているのね……あの人の行方、知らない……？,あてにならないようね……
10,ルシファー,ほぅ、正解したのか？私が褒めてやろう！,ミス？言い訳はカッコ悪いぞ？
11,郭嘉,先輩が……輝いて見える……眩しいわ……,今の先輩の顔、幽霊みたいだわ……
12,呂布,お前なら、真理にたどり着くかもしれんな。,一度の失敗で諦めてくれるなよ？次の為に準備をしよう。
13,ぺペロン,早く答えて、ぺぺを遊びに連れて行ってよ！,もう、また間違えたの？仕方ないなぁ……この問題は無かったことにしちゃおうか！
14,魏延,難しい問題ですね……よかったら、私の答えを参考にしてください。,あら……先輩でも分からないんですか？
15,アウラ,先輩なら正解して当たり前だよな！,そんな目で見つめても、答えは教えてやらないぞ。
16,織田信長,高みを目指して進み続けろ！いつの日か、我を追い抜くまで！,落ち込んでいる暇は無い。全てはこの一戦にかかっている！
17,黄月英,見て、バル！先輩がまた正解したよ！,この問題……バルに聞いてみようか？
18,チューリング,答えを検索中……3秒経過、検索完了なのだ！あれ、もう答えてしまったのだ？,答えを検索してほしい？このシステムの設計者はチューリングなのだ！
