id,desc,title
1,サインイン,サインイン
2,月間パック,月間パック
3,週間パック,週間パック
4,新サーバーボーナス,新サーバー\nボーナス
5,購入,購入
6,月間パス,月間パス
7,ミニ月間パス,ミニ月間パス
8,レベルパック,レベル\nパック
9,星4パック,星4育成\nパック
10,星5パック,星5育成\nパック
11,初購入パック,初購入\nパック
12,お得ビッグパック,お得パック
13,ガチャpt達成,ガチャpt達成
14,戦姫ガチャ,戦姫ガチャ
15,お得ビッグパック,お得パック
16,募集審査,募集審査
17,戦姫集結,戦姫集結
18,「いいね」ボーナス,SNS\nボーナス
19,無料購入,無料\n購入
20,販売機ptゲット,販売機pt\nゲット
21,バイト目標達成,バイト\n目標達成
22,決戦競技場,決戦\n競技場
23,戦姫専用ミッション,戦姫専用\nミッション
24,週間パス,週間パス
25,進学＆覚醒,進学＆覚醒
26,戦姫交換,戦姫交換
27,探検家ギフト,探検家ギフト
28,スイートハウス,スイート\nハウス
29,無主活動登陸,無主活動登陸
30,新声の儀,新声の儀
31,期間限定星5セール,期間限定\n星5セール
32,課外活動,課外活動
33,バニラのアトリエ,バニラの\nアトリエ
34,使い魔捕獲,使い魔\n捕獲
35,ゴールド定期購入,ゴールド\n定期購入
36,ブラックフライデーパス,ブラックフライデー\nパス
37,パズル集,パズル集
38,定期購入,定期購入
39,月間パック,月間パック
40,週間パック,週間パック
41,限界突破祭,限界突破祭
42,入学ボーナス,サマー劇場
43,アイス祭り,アイス\n祭り
44,超お得衣装パック,超お得\n衣装パック
45,超お得衣装パック,超お得\n衣装パック
46,初めてのときめき,初めての\nときめき
47,お月見ログイン,お月見\nログイン
48,星10交換生,星10\n交換生
49,ステージパック,ステージ\nパック
50,桜の木の下の約束,桜の木の下の\n約束
51,誓約の指輪,誓約の指輪
52,愛と誓いの総選挙,愛と誓いの\n総選挙
53,テストプレイ,テスト\nプレイ
54,テストフィードバック,テストフィード\nバック
55,寮のお手伝い,寮のお手伝い
56,感謝祭ボーナス,感謝祭ボーナス
57,育成パック,育成パック
58,サーバー記念ガチャ,サーバー\n記念ガチャ
59,幽夢学園,幽夢学園
60,装備補給,装備補給
61,砂浜乱闘,砂浜乱闘
62,ボーナスアップ,ボーナス\nアップ
63,幽夢喫茶店,幽夢喫茶店
64,スロットマシン,スロット\nマシン
65,スロットpt達成,スロット\npt達成
66,クリスマス限定パック,クリスマス\n限定パック
67,生演奏,生演奏
68,音楽フェス,音楽フェス
69,勉強プラン,勉強プラン
70,図書館の観測者,図書館の\n観測者
71,典籍研究,典籍研究
72,誓約パック,誓約パック
73,キャンディ集め,ライトアップ
74,紫雨に轟く機械の咆哮,紫雨に轟く\n機械の咆哮
75,毎月の課題,毎月の課題
76,ドリンクパック,ドリンクパック
77,ゴールドパック,ゴールドパック
78,ステージパック,ステージパック
79,最上階特別パック,最上階特別パック
80,レベルパック,レベル\nパック
81,星4パック,星4育成\nパック
82,星5パック,星5育成\nパック
84,愛と誓いの総選挙,愛と誓いの\n総選挙
85,年越しボックス,年越しボックス
86,ショッピングタイム,ショッピング\nタイム
87,ボーナスセール,ボーナス\nセール
88,戦姫スクラッチ,戦姫スクラッチ
89,バリューパック,お得パック
90,超お得パック,超お得パック
91,無料購入,無料\n購入
92,ガチャボーナスパック,ガチャ\nボーナスパック
93,コーヒー制作,コーヒー制作
95,祝福の池,祝福の池
999,予習目標,予習目標
97,レア戦姫大集合,レア戦姫\n大集合
98,カオス討伐戦,カオス討伐戦
99,戦姫ガチャ,戦姫ガチャ
100,スイーツファクトリー,スイーツ\nファクトリー
101,カラフルバルーン,カラフル\nバルーン
103,入学セット,入学セット
104,デイリーお得パック,デイリー\nお得パック
105,デイリーお得パック,デイリー\nお得パック
106,,
107,星7パック,星7育成\nパック
108,紫雨に轟く機械の咆哮,紫雨に轟く\n機械の咆哮
102,幽夢体育祭,幽夢体育祭
109,精霊幻境探索,精霊幻境探索
110,星9パック2,星9育成\nパック2
111,星9パック1,星9育成\nパック1
112,連携で星5魏延をGET！,アカウント連携
113,オンラインボーナス,オンラインボーナス
114,入学案内,入学案内
115,技術部の狂宴,技術部の狂宴
116,7日ボーナス,7日ボーナス
117,放課後のんびりタイム,放課後\nのんびりタイム
118,オートドロップが2倍,オートドロップが2倍
119,日常テスト2倍,日常テスト2倍
120,入学テスト,入学テスト
121,胸キュン大作戦,胸キュン大作戦
122,伯爵の秘密の贈り物,伯爵の秘密の\n贈り物
123,エナジー限定召喚,エナジー限定召喚
125,ラッキーカード,ラッキーカード
128,先輩へ♡,先輩へ♡
129,初回3倍,初回3倍
130,超お得パック,超お得パック
131,周年ケーキ,周年ケーキ
126,学園探索,学園探索
127,カーニバルパズル,カーニバルパズル
132,お得特権パス,お得特権パス
133,クールサマー,クールサマー
134,マジックカード,マジック\nカード
135,マジックパック,マジックパック
136,ステージ準備,ステージ準備
