id,title,name,dialog,select_text
1,エンドレスバレンタイン,,天の川輝く夜,
2,,戦姫A,ねえねえ聞いた？\n今晩は100年に1度の七重連星だって！\n一緒に見に行こうよ！,
3,,戦姫B,ええー、夜は眠いからいいよ。,
4,,戦姫A,そんな！のってくれると思ってたのに！,
5,,戦姫B,そんな事より、\n明日のチョココンテストの方が楽しみだもん～。,
6,,戦姫A,えっ、なに？出場するの？,
7,,戦姫B,もちろん！しかも今年はレベルが高いって話よ！\n負けられないわ！,
8,,戦姫A,応援しに行くね！,
9,,,幽夢学園2月13日 PM11:59,
10,,謎の人物A,ハァ、ハァ……あのアウラっていうヤツ速いな……\nふっ、やはりこの学園は面白いわ。,
11,,謎の人物B,図書館を半壊させていたし、\nかなりの実力者だろうね。,
12,,謎の人物A,そんなことより、さっさとしてくれない？\nていうか、あんたがアウラって人と戦いたいって\n言いださなきゃ、とっくに終わってたわよ！,
13,,謎の人物B,はいはい……,
14,,大きな鐘,ゴーン,
15,,,時計の針が12時を指し、\n鐘の音がバレンタインの始まりを世に告げた。,
16,,謎の人物A,ヤバい！さっさと行くよ！,
17,,謎の人物B,えっ、ちょっと、ここで瞬間移動はヤメっ……！,
18,,謎の人物A,ふぅ……危うく何か変な力で\n学園に閉じ込められるところだったわ……,
19,,謎の人物B,それな。\nまぁ、大事なチョコが無事でよかったわ、カー……,
20,,謎の人物A,シッ！\n行動中は本名で呼ぶなって何度も言ったでしょう！,
21,,謎の人物A,ふん、まぁいいわ。\n幽夢学園ね……面白い場所だわ。\n機会があったら、また来たいわね。,
22,,謎の人物B,Kがそこまで興味を持つなんて、\n恐ろしい場所だわ。,
23,,謎の人物A,それはさておき、\n犯行予告状はちゃんと出したんでしょうね？,
24,,謎の人物B,あっ……,
25,,謎の人物A,はぁ……まったくもう、\nこの仕事、私自身でやるべきだったわ。,
26,,謎の人物B,ごめんちゃい♡,
27,,謎の人物A,可愛く言ってもごまかされないわよ！,
28,,謎の人物B,もう、そんなに怒んないでよ！,
29,,謎の人物A,まぁいいわ。アウラって子に追われていた時、\nカード投げつけておいたし、\n怪盗としての美学はちゃんと貫いてるわよね。,
