name,desc,desc1
atk,攻撃,攻撃
hp,HP,生命上限百分比燃烧伤害
arm,防御力,防御力
spd,速度,速度
sklP,スキダメ,スキダメ
hit,ブレイク,ブレイク
miss,ブロック,回避
crit,会心率,会心率
critTime,会心ダメージ,暴击伤害值
brk,突破力,突破力
free,拘束耐性,拘束耐性
trueAtk,防御貫通,防御貫通
energy,エネルギー,エネルギー
decDmg,ダメージ軽減,ダメージ軽減
stun,気絶,気絶（攻撃スキップ）
ice,凍結,凍結（攻撃スキップ）
stone,石化,石化（攻撃スキップ）
forbid,沈黙,沈黙（スキル使用不能）
hurt,直接ダメージ,直接ダメージ
dot,持続ダメージ,持続ダメージ（ターンごとにHP減少）
heal,直接回復,直接回復
hot,持続回復,持続回復（ターンごとにHP回復）
healP,恢復%生命,恢复%生命
trueHurt,防御貫通,防御貫通
dotPoison,毒,毒
dotBlood,流血,流血
dotFire,燃焼,燃焼
atkP,攻撃,攻撃（割合に応じて攻撃アップ）
hpP,HP,生命（按%加生命）
armP,防御力,防御力（割合に応じて防御アップ）
addhurt,追撃,追撃
revive,復活,復活
siphonAtk,割合で攻撃吸収 ,割合で攻撃吸収 
siphonHp,割合でHP吸収,割合でHP吸収
siphonArm,割合で防御力吸収,割合で防御力吸収
shield,抵挡护盾,抵挡护盾
brier,x%カウンターダメージ,x%カウンターダメージ
rImpress,ターンの印,ターンの印
cImpress,会心の印,会心の印
rImpressB,ターンの印爆発,ターンの印爆発
cImpressB,会心の印爆発,会心の印爆発
fImpress,サンダーの印,サンダーの印
oImpress,観心者の印,観心者の印
weak,衰弱,衰弱
atkPos,位置による攻撃UP,位置による攻撃UP
hpPos,位置增加生命率,位置增加生命率
armPos,位置による防御力UP,位置による防御力UP
spdPos,位置による速度UP,位置による速度UP
hitPos,位置增加精準,位置增加精準
missPos,位置による回避UP,位置による回避UP
critPos,位置による会心率UP,位置による会心率UP
critTimePos,位置による会心ダメージの倍率UP,位置による会心ダメージの倍率UP
stunB,気絶ダメージUP,気絶ダメージUP
iceB,凍結ダメージUP,凍結ダメージUP
stoneB,石化ダメージUP,石化ダメージUP
dotFireB,燃焼ダメージUP,燃焼ダメージUP
dotPoisonB,毒ダメージUP,毒ダメージUP
dotBloodB,流血ダメージUP,流血ダメージUP
zs,対ウォーリアダメージUP,対ウォーリアダメージUP
fs,対ソーサラーダメージUP,対ソーサラーダメージUP
ms,対プリーストダメージUP,対プリーストダメージUP
ck,対アサシンダメージUP,対アサシンダメージUP
yx,対レンジャーダメージUP,対レンジャーダメージUP
changeCombat,通常攻撃変更,通常攻撃変更
fsStun,対ソーサラー気絶,対ソーサラー気絶
fsDotBlood,対ソーサラー流血ダメージ,対ソーサラー流血ダメージ
zsIce,対ウォーリア凍結,対ウォーリア凍結
zsStun,対ウォーリア気絶,対ウォーリア気絶
zsForbid,対ウォーリア沈黙,対ウォーリア沈黙
zsHurt,対ウォーリア追撃,対ウォーリア追撃
zsArmP,対ウォーリア防御力減少,対ウォーリア防御力減少
ckStone,対アサシン石化,対アサシン石化
ckForbid,対アサシン沈黙,対アサシン沈黙
ckHurt,対アサシン追撃,対アサシン追撃
msForbid,対プリースト沈黙,対プリースト沈黙
yxHurt,対レンジャー追撃,対レンジャー追撃
yxAtkP,対レンジャー攻撃減少,対レンジャー攻撃減少
zsHpPO,HPUP,HPUP
zsAtkPO,攻撃UP,攻撃UP
zsCritO,会心率UP,会心率UP
zsMissO,ブロックUP,回避UP
zsSklPO,スキルダメージUP,スキルダメージUP
fsHpPO,HPUP,HPUP
fsAtkPO,攻撃UP,攻撃UP
fsCritO,会心率UP,会心率UP
fsHitO,ブレイク強化,ブレイク強化
fsSklPO,スキルダメージUP,スキルダメージUP
ckHpPO,HPUP,HPUP
ckCritTimeO,会心ダメージUP,会心ダメージUP
ckCritO,会心率UP,会心率UP
ckBrkO,突破力UP,突破力UP
ckSklPO,スキルダメージUP,スキルダメージUP
yxHpPO,HPUP,HPUP
yxAtkPO,攻撃UP,攻撃UP
yxMissO,ブロックUP,回避UP
yxHitO,ブレイク強化,ブレイク強化
yxSklPO,スキルダメージUP,スキルダメージUP
msHpPO,HPUP,HPUP
msMissO,ブロックUP,回避UP
msCritO,会心率UP,会心率UP
msSpdO,速度UP,速度UP
msSklPO,スキルダメージUP,スキルダメージUP
ckStun,対アサシン気絶,対アサシン気絶
mhurt,直接与えるダメージ（具体値）　ビーストのアクティブスキル設定,直接与えるダメージ（具体値）　ビーストのアクティブスキル設定
mdotFire,持続的に与えるダメージ（火具体値）　ビーストのアクティブスキル設定,持続的に与えるダメージ（火具体値）　ビーストのアクティブスキル設定
mdotPoison,持続的に与えるダメージ（毒具体値）　ビーストのアクティブスキル設定,持続的に与えるダメージ（毒具体値）　ビーストのアクティブスキル設定
mdotBlood,持続的に与えるダメージ（流血具体値）　ビーストのアクティブスキル設定,持続的に与えるダメージ（流血具体値）　ビーストのアクティブスキル設定
yxDotBlood,対レンジャー流血ダメージ,対レンジャー流血ダメージ
phurt,自分のHPを超えない範囲で、直接HPの一定割合（%）のダメージを与える　アクティブスキル設定,自分のHPを超えない範囲で、直接HPの一定割合（%）のダメージを与える　アクティブスキル設定
addHurtd,自分より防御力が低い敵に追加攻撃,自分より防御力が低い敵に追加攻撃
zsDotFire,対ウォーリア燃焼ダメージ,対ウォーリア燃焼ダメージ
yxStun,対レンジャー気絶,対レンジャー気絶
fsForbid,対ソーサラー沈黙,対ソーサラー沈黙
ckDotPoison,対アサシン毒ダメージ,対アサシン毒ダメージ
msStun,対プリースト気絶,対プリースト気絶
msDotFire,対プリースト燃焼ダメージ,対プリースト燃焼ダメージ
zsSpdO,速度UP,速度UP
fsSpdO,速度UP,速度UP
ckSpdO,速度UP,速度UP
ckAtkPO,攻撃UP,攻撃UP
yxSpdO,速度UP,速度UP
msAtkPO,攻撃UP,攻撃UP
iceless,凍結無効,凍結無効
stoneless,石化無効,石化無効
stunless,気絶無効,気絶無効
forbidless,沈黙無効,沈黙無効
stunH,生命不低于自己的目标眩晕,生命不低于自己的目标眩晕
hurtH,生命低于自己的目标额外伤害,生命低于自己的目标额外伤害
msHurt,対プリースト追加攻撃,対プリースト追加攻撃
