id,get_chapter,get_url,get_url_h5
1,第1話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_001_jp_jp_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_001f_jp_jp.png?width=720&height=1728
2,第2話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_002_jp_jp_unity.png?width=720&height=1728,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_002f_jp_jp.png?width=720&height=1728
3,第3話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_003_jp_jp_unity.png?width=720&height=1728,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_003f_jp_jp.png?width=720&height=1728
4,第4話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_004_jp_jp_unity.png?width=720&height=1728,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_004f_jp_jp.png?width=720&height=1728
5,第5話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_005_jp_jp_unity.png?width=720&height=1728,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_005f_jp_jp.png?width=720&height=1728
6,第6話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_006_jp_jp_unity.png?width=720&height=1728,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_006f_jp_jp.png?width=720&height=1728
7,第7話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_007_jp_jp_unity.png?width=720&height=1728,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_007f_jp_jp.png?width=720&height=1728
8,第8話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_008_jp_jp_unity.png?width=720&height=1728,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_008f_jp_jp.png?width=720&height=1728
9,第9話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_009_jp_jp_unity.png?width=720&height=1728,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_009f_jp_jp.png?width=720&height=1728
10,第10話,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_010_jp_jp_unity.png?width=720&height=1728,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_010f_jp_jp.png?width=720&height=1728
