id,artifact_name,artifact_desc
6206,天使のワンド,ウォーリアの敵に対して、ダメージをアップできる魂器。ウォーリアの敵と戦闘するときに装備することで、火力を上げることができる。
6207,火羽,アサシンの敵に対して、ダメージをアップできる魂器。アサシンの敵と戦闘するときに装備することで、火力を上げることができる。
6208,妖刀赤染桜,レンジャーの敵に対して、ダメージアップできる魂器。レンジャーの敵と戦闘するときに装備することで、火力を上げることができる。
6209,落雷の札,ソーサラーの敵に対して、ダメージアップできる魂器。ソーサラーの敵と戦闘するときに装備することで、火力を上げることができる。
6210,呂布の豪勇,プリーストの敵に対して、ダメージをアップできる魂器。プリーストの敵と戦闘するときに装備することで、火力を上げることができる。
6211,レースの靴下,速度を増やすことで、自身に有利な攻撃順位を取ることができる。\nHPを増やすことで、生存力を強化する。
6212,桜の枝,攻撃力とブレイクを増やして、火力を強化できる。
6213,舞踏会の仮面,ダメージ軽減率とHPを増やして、生存力を強化できる。
6214,ポーカーのクイーントランプのクイーン,攻撃力を上げる他、ウォーリアの敵に対してダメージアップできる魂器。\n隠匿学部の戦姫が装備した時、突破力も増えるため、火力を更に強化できる。
6215,雪精霊の斧,攻撃力を上げる他、アサシンの敵に対してダメージアップする魂器。\n隠匿学部の戦姫が装備した時、HPも増えるため、生存力も強化できる。
6216,クリスマスツリー,攻撃力を上げる他、レンジャーの敵に対してダメージアップする魂器。\n隠匿学部の戦姫が装備した時、攻撃力が更に増加するため、火力をより一層強化できる。
6217,雷神の心,攻撃力を上げる他、ソーサラーの敵に対してダメージアップする魂器。\n神威学部の戦姫が装備した時、HPも増えるため、生存力も強化できる。
6218,スーパー薬剤,攻撃力を上げる他、プリーストの敵に対してダメージアップする魂器。\n神威学部の戦姫が装備した時、攻撃力が更に増加するため、火力をより一層強化できる。
6219,魂石ペンダント,攻撃力を上げる他、プリーストの敵に対してダメージアップする魂器。\n神威学部の戦姫が装備した時、スキルダメージも増加するため、火力をより一層強化できる。
6220,ガブリエルの歌,攻撃力を上げる他、ウォーリアの敵に対してダメージアップする魂器。\n風見学部の戦姫が装備した時、HPも増えるため、生存力も強化できる。
6221,悪魔の書,攻撃力を上げる他、アサシンの敵に対してダメージアップする魂器。\n風見学部の戦姫が装備した時、攻撃力が更に増加するため、火力をより一層強化できる。
6222,命運の十字,攻撃力を上げる他、レンジャーの敵に対してダメージアップする魂器。\n風見学部の戦姫が装備した時、会心率も増加するため、火力をより一層強化できる。
6223,精霊の祝福の冠,攻撃力を上げる他、ソーサラーの敵に対しダメージアップする魂器。\n雲華学部の戦姫が装備した時、会心ダメージも増加するため、火力をより一層強化できる。
6224,猫耳フード,ダメージ軽減率とHPを増やして、生存力を強化できる。\n雲華学部の戦姫が装備した時、HPが更に増加するため、生存力も更に強化される。
6225,ガーターベルト,速度とHPを増やすことで、攻撃順番を早める他に、生存力も強化できる。\n雲華学部の戦姫が装備した時、会心率も増加するため、火力もより一層強化できる。
6226,ビーチバレーボール,攻撃とブレイクを増やして、火力を強化できる。\n修羅学部の戦姫が装備すると、スキルダメージが更に増加するため、火力も大幅強化できる。
6227,ハートのピアス,ダメージ軽減率とHPを増加して、生存力を強化できる。\n辰星学部の戦姫が装備すると、防御貫通も増加するため、火力も強化できる。
6343,大喬の祝福,ウォーリアの敵に対しダメージを大幅アップできる魂器。ウォーリアの敵と戦闘するときに装備することで、ダメージを大幅に増加できる。
6344,迷魂の香炉,アサシンの敵に対しダメージを大幅アップできる魂器。アサシンの敵と戦闘するときに装備することで、ダメージを大幅に増加できる。
6345,妖刀村正,レンジャーの敵に対しダメージを大幅アップできる魂器。レンジャーの敵と戦闘するときに装備することで、ダメージを大幅に増加できる。
6346,火精霊の怒り,ソーサラーの敵に対しダメージを大幅アップできる魂器。ソーサラーの敵と戦闘するときに装備することで、ダメージを大幅に増加できる。
6347,万物復帰,プリーストの敵に対しダメージを大幅アップできる魂器。プリーストの敵と戦闘するときに装備することで、ダメージを大幅に増加できる。
6348,風の力,速度を加速して、自身に有利な順番になれる。\nHPを増やすことで、生存力を高める。
6349,雪玉,攻撃とブレイクを大幅に増加して、火力を強化できる。
6350,ウィザードハット,ダメージ軽減率とHPを大幅に増加して、生存力を高められる。
6351,運命の指南,エネルギーを増やして、アクティブスキルの使用を加速できる。\nスキルダメージを増やすことで、火力も強化できる。
