id,name,charge_ios,charge,currency,show_name
1,月間パス,1840,1840,￥,月間パス
2,ミニ月間パス,610,610,￥,ミニ月間パス
3,週間パス,120,120,￥,週間パス
4,250ダイヤパック,610,610,￥,ダイヤパック
5,500ダイヤパック,1220,1220,￥,ダイヤパック
6,1000ダイヤパック,2440,2440,￥,ダイヤパック
7,2500ダイヤパック,6100,6100,￥,ダイヤパック
8,5000ダイヤパック,12000,12000,￥,ダイヤパック
9,レベル24パック,250,250,￥,レベル24パック
10,レベル32パック,610,610,￥,レベル32パック
11,レベル48パック,1220,1220,￥,レベル48パック
12,レベル58パック,3680,3680,￥,レベル58パック
13,レベル78パック,6100,6100,￥,レベル78パック
14,星4戦姫召喚パック,610,610,￥,星4戦姫召喚パック
15,星5戦姫召喚パック,1220,1220,￥,星5戦姫召喚パック
16,月間パック1,610,610,￥,月間パック
17,月間パック2,1220,1220,￥,月間パック
18,月間パック3,3680,3680,￥,月間パック
19,月間パック4,6100,6100,￥,月間パック
20,月間パック5,8500,8500,￥,月間パック
89,月間パック7,12000,12000,￥,月間パック
22,週間パック1,1220,1220,￥,週間パック
23,週間パック2,2440,2440,￥,週間パック
24,週間パック3,6100,6100,￥,週間パック
25,週間パック4,8500,8500,￥,週間パック
26,お得パック1,12000,12000,￥,お得パック
27,お得パック2,8500,8500,￥,お得パック
28,お得パック3,3680,3680,￥,お得パック
29,お得パック4,1220,1220,￥,お得パック
30,お得パック5,610,610,￥,お得パック
31,お得パック1,12000,12000,￥,お得パック
32,お得パック2,8500,8500,￥,お得パック
33,お得パック3,3680,3680,￥,お得パック
34,お得パック4,2440,2440,￥,お得パック
36,お得パック5,610,610,￥,お得パック
69,お得パック6,610,610,￥,お得パック
35,無料購入カスタムパック,250,250,￥,無料購入カスタムパック
37,期間限定星5超お得パック,120,120,￥,期間限定星5超お得パック
38,定期購入,120,120,￥,定期購入
39,お月見パス,1220,1220,￥,お月見パス
40,週間定期購入,120,120,￥,週間定期購入
41,月間定期購入,450,450,￥,月間定期購入
42,3ヶ月間定期購入,1150,1150,￥,3ヶ月間定期購入
43,月間パック1,610,610,￥,月間パック
44,月間パック2,1220,1220,￥,月間パック
45,月間パック3,3680,3680,￥,月間パック
46,月間パック4,6100,6100,￥,月間パック
47,月間パック5,8500,8500,￥,月間パック
48,月間パック6,10000,10000,￥,月間パック
49,週間パック1,1220,1220,￥,週間パック
50,週間パック2,2440,2440,￥,週間パック
51,週間パック3,6100,6100,￥,週間パック
52,週間パック4,8500,8500,￥,週間パック
53,週間定期購入,120,120,￥,週間定期購入
54,月間定期購入,450,450,￥,月間定期購入
55,3ヶ月間定期購入,1080,1080,￥,3ヶ月間定期購入
56,超お得パック1,610,610,￥,超お得パック
57,超お得パック1,610,610,￥,超お得パック
65,超お得パック2,6100,6100,￥,超お得パック
58,7日間無料,0,0,￥,7日間無料定期購入
59,7日間無料,0,0,￥,7日間無料定期購入
60,7日間無料,0,0,￥,7日間無料定期購入
61,7日間無料,0,0,￥,7日間無料定期購入
62,7日間無料,0,0,￥,7日間無料定期購入
63,7日間無料,0,0,￥,7日間無料定期購入
64,ステージパック,1220,1220,￥,ステージパック
66,誓約の指輪,2440,2440,￥,誓約の指輪
67,育成パック,1220,1220,￥,育成パック
68,お得パック6,610,610,￥,お得パック
70,ボーナスのアップグレードをアンロック,2440,2440,￥,アップグレートボーナス
71,超お得パック2,6100,6100,￥,超お得パック
72,お月見パス,2440,2440,￥,お月見パス
73,クリスマス限定パック,6100,6100,￥,クリスマス限定パック
74,勉強プラン,1220,1220,￥,勉強プラン
75,誓約パック,3680,3680,￥,誓約パック
76,課題購入,1220,1220,￥,課題購入
1010101,レベル24パック,250,250,￥,レベル24パック
1010201,レベル32パック,610,610,￥,レベル32パック
1010301,レベル48パック,1220,1220,￥,レベル48パック
1010401,レベル58パック,1220,1220,￥,レベル58パック
1010402,レベル58パック,3680,3680,￥,レベル58パック
1010403,レベル58パック,6100,6100,￥,レベル58パック
1010404,レベル58パック,8500,8500,￥,レベル58パック
1010501,レベル78パック,1220,1220,￥,レベル78パック
1010502,レベル78パック,3680,3680,￥,レベル78パック
1010503,レベル78パック,6100,6100,￥,レベル78パック
1010504,レベル78パック,8500,8500,￥,レベル78パック
1010601,レベル100パック,1220,1220,￥,レベル100パック
1010602,レベル100パック,3680,3680,￥,レベル100パック
1010603,レベル100パック,6100,6100,￥,レベル100パック
1010604,レベル100パック,8500,8500,￥,レベル100パック
1030101,戦姫育成パック,610,610,￥,戦姫育成パック
