id,desc,mask_icon,icon_offset
1,あなたが異次元から選ばれた方ですか？今、私たちの学校は危機に面しています。元々平和的に交流していた悪魔学院が、不思議な力に感染してしまったように発狂し出したのです。何か不思議な力に影響されたのようです。\n私たちと[c][d76500]契約を結んで[-][/c]、この学園を征服してください！,,
3,まず、先輩の[c][d76500]名前[-][/c]を教えてください！,,
4,では、私が学園を案内しますね。少しずつ慣れていきましょう！,buttoncrop_1,0|0
5,先輩、見てください、これは[c][d76500]ガチャ[-][/c]の入口です,,
6,[c][d76500]ノーマルガチャ[-][/c]で大部分の戦姫が獲得できますよ~\n（1-5星）\nでも、[c][d76500]ノーマルガチャコイン[-][/c]が必要となります！,buttoncrop_4,0|0
7,今、無料で使えますよ~\n試してみましょうよ～,,
8,,,
9,[c][d76500]プレミアムガチャ[-][/c]を使えば[c][d76500]レア[-][/c]な戦姫が獲得できますよ~\n（3-5星）\n[c][d76500]ダイヤ[-][/c]または[c][d76500]プレミアムガチャコイン[-][/c]が必要となりま～す,buttoncrop_6,0|0
10,あら～今回のプレミアムガチャも無料ですね,,
11,,buttoncrop_1,0|0
12,これで、先輩は戦姫の獲得方法も分かってきたようですね。次は[c][d76500]戦闘[-][/c]を見てみましょう~,,
13,こっち、こっち～\n先輩、[c][d76500]戦闘[-][/c]はこっちですよ～,buttoncrop_2,0|0
14,先輩~開始する前に、出陣させる戦姫を設定してくださいね～,,
15,好きな戦姫のアイコンをタップして、戦姫を出陣させてみましょう～,buttoncrop_3,0|0
16,,buttoncrop_3,0|0
17,準備オッケー\n陣容を保存してくださいね~,buttoncrop_5,0|0
18,では、戦闘開始です！,buttoncrop_2,0|0
19,出陣させた戦姫たちが自動的に戦います\n先輩はよく[c][d76500]戦利品[-][/c]をチエックして受け取ってくださいね,,
20,戦姫たちは現在このステージを探索しています\n終わったら[c][d76500]戦闘[-][/c]が勃発しちゃいますよ～,,
21,きゃあ！[c][d76500]戦闘[-][/c]が勃発したみたい！\n先輩、見に行きましょう！,buttoncrop_17,-50|-25
22,まずは、出陣する戦姫を選んでくださいね～,buttoncrop_3,0|0
23,,buttoncrop_3,0|0
24,準備オーケ~\nでは、始めましょう～,buttoncrop_5,0|0
25,戦姫たちはそれぞれの[c][d76500]陣営[-][/c]がありますよ～\n陣営の違う戦姫の間には、お互いに[c][d76500]相克関係[-][/c]があります！\n詳しい情報は左下のボタンをタップして確認してくださ～い。,,
26,,buttoncrop_18,0|0
27,,,
28,,,
29,えへへ、戦姫の欠片をゲットしたようですね\nカバンを開けて戦姫を[c][d76500]合成[-][/c]してみましょう！,buttoncrop_1,0|0
