id,name,desc
1,潜在能力突破,味方の戦姫の会心率が25%、会心ダメージが25%アップする。
2,邪悪な儀式,味方戦姫はHP90%、エネルギー200ptの状態で戦闘を開始する。
3,切り刻む,戦闘開始後、全ての敵にランダムで3ターンの間継続ダメージを与え、全ての敵が受けた継続ダメージ（流血・毒・燃焼）が25%アップ。
4,エネルギー波,戦闘開始後、全ての敵に2ターン継続のランダム拘束効果を与え、味方戦姫が下記状態：凍結、石化、気絶の敵に与えるダメージが50%アップ。
5,眩しき光,味方戦姫がスキルを使用後、ランダムで一名の敵を2ターンの間気絶させる。
6,蔓延する恐怖,敵が行動する度に、味方HP上限が一番高い戦姫のHP上限の10%ダメージを与える。必中。更に50%の確率で2ターンの間沈黙させる。
7,雲華嵐,味方戦姫のHP回復比率が25%アップし、全ての敵のHP回復比率が75％ダウンする。更に回復する度に、HPが一番高い敵にそのHP上限の5%のダメージを与える。
8,修羅の道,味方戦姫がダメージを受けたとき、75％の確率で自身攻撃100%のカウンターを行う、必中。
9,一心同体,味方戦姫のダメージ軽減が25%アップする。味方戦姫がダメージを受けた場合、50%の確率で全員にそのダメージを分担させる。
10,二刀流,味方戦姫の通常攻撃のダメージが100%アップする。更に味方戦姫が通常攻撃後に50%の確率でもう一回の通常攻撃を行う。
