id,name,skill_name,ex_skill_desc
751001011,董卓,生命吸取,スキルの攻撃力によるダメージ倍率が{1}にアップ、回復量が{2}にアップ。
751001012,董卓,生命吸取,スキルの攻撃力によるダメージ倍率が{1}にアップ、回復量が{2}にアップ。
751001013,董卓,生命吸取,スキルの攻撃力によるダメージ倍率が{1}にアップ、回復量が{2}にアップ。
751001014,董卓,生命吸取,スキルの攻撃力によるダメージ倍率が{1}にアップ、回復量が{2}にアップ。
751001015,董卓,生命吸取,スキルの攻撃力によるダメージ倍率が{1}にアップ、[c][01a310]凍結[-][/c]させる確率が{2}にアップ、回復量が{3}にアップ。
751001021,董卓,霸王之心,HPアップ効果が{1}にアップ。
751001022,董卓,霸王之心,HPアップ効果が{1}にアップ、ブレイクアップ効果が{2}にアップ。
751001023,董卓,霸王之心,HPアップ効果が{1}にアップ、ブレイクアップ効果が{2}にアップ。
751001024,董卓,霸王之心,HPアップ効果が{1}にアップ、ブレイクアップ効果が{2}にアップ。
751001025,董卓,霸王之心,HPアップ効果が{1}にアップ、ブレイクアップ効果が{2}にアップ。
751001031,董卓,靈魂儀式,回復量が{1}にアップ。
751001032,董卓,靈魂儀式,回復量が{1}にアップ。
751001033,董卓,靈魂儀式,回復量が{1}にアップ。
751001034,董卓,靈魂儀式,回復量が{1}にアップ。
751001035,董卓,靈魂儀式,回復量が{1}にアップ。
751001041,董卓,吸取,回復量が{1}にアップ。
751001042,董卓,吸取,回復量が{1}にアップ。
751001043,董卓,吸取,回復量が{1}にアップ。
751001044,董卓,吸取,回復量が{1}にアップ。
751001045,董卓,吸取,回復量が{1}にアップ。
751002011,德古拉,蝙蝠爆破,スキルの攻撃力によるダメージ倍率が{1}にアップ、ソーサラーの敵への[c][01a310]流血[-][/c]ダメージ倍率が{2}にアップ。
751002012,德古拉,蝙蝠爆破,スキルの攻撃力によるダメージ倍率が{1}にアップ、ソーサラーの敵への[c][01a310]流血[-][/c]ダメージ倍率が{2}にアップ。
751002013,德古拉,蝙蝠爆破,スキルの攻撃力によるダメージ倍率が{1}にアップ、ソーサラーの敵への[c][01a310]流血[-][/c]ダメージ倍率が{2}にアップ。
751002014,德古拉,蝙蝠爆破,スキルの攻撃力によるダメージ倍率が{1}にアップ、ソーサラーの敵への[c][01a310]流血[-][/c]ダメージ倍率が{2}にアップ。
751002015,德古拉,蝙蝠爆破,スキルの攻撃力によるダメージ倍率が{1}にアップ、ソーサラーの敵への[c][01a310]流血[-][/c]ダメージ倍率が{2}にアップ。
751002021,德古拉,破綻,攻撃力アップ効果が{1}にアップ。
751002022,德古拉,破綻,攻撃力アップ効果が{1}にアップ、HPアップ効果が{2}にアップ。
751002023,德古拉,破綻,攻撃力アップ効果が{1}にアップ、HPアップ効果が{2}にアップ。
751002024,德古拉,破綻,攻撃力アップ効果が{1}にアップ、HPアップ効果が{2}にアップ。
751002025,德古拉,破綻,攻撃力アップ効果が{1}にアップ、HPアップ効果が{2}にアップ。
751002031,德古拉,致命一擊,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751002032,德古拉,致命一擊,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751002033,德古拉,致命一擊,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751002034,德古拉,致命一擊,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751002035,德古拉,致命一擊,スキルの攻撃力によるダメージ倍率が{1}にアップ、敵の防御力の減少量が{2}にアップ。
751002041,德古拉,致命破甲,回復量が{1}にアップ。
751002042,德古拉,致命破甲,回復量が{1}にアップ。
751002043,德古拉,致命破甲,回復量が{1}にアップ。
751002044,德古拉,致命破甲,回復量が{1}にアップ。
751002045,德古拉,致命破甲,突破力アップ効果が{1}にアップ、会心率アップ効果が{2}アップ、回復量が{3}にアップ。
751003011,孟獲,巨象之力,スキルの攻撃力によるダメージ倍率が{1}にアップ、[c][01a310]流血[-][/c]ダメージ倍率が{2}にアップ。
751003012,孟獲,巨象之力,スキルの攻撃力によるダメージ倍率が{1}にアップ、[c][01a310]流血[-][/c]ダメージ倍率が{2}にアップ。
751003013,孟獲,巨象之力,スキルの攻撃力によるダメージ倍率が{1}にアップ、[c][01a310]流血[-][/c]ダメージ倍率が{2}にアップ。
751003014,孟獲,巨象之力,スキルの攻撃力によるダメージ倍率が{1}にアップ、[c][01a310]流血[-][/c]させる確率が{2}にアップ、[c][01a310]流血[-][/c]ダメージ倍率が{3}にアップ。
751003015,孟獲,巨象之力,スキルの攻撃力によるダメージ倍率が{1}にアップ、[c][01a310]流血[-][/c]させる確率が{2}にアップ、[c][01a310]流血[-][/c]ダメージ倍率が{3}にアップ。
751003021,孟獲,野性意志,HPアップ効果が{1}にアップ。
751003022,孟獲,野性意志,HPアップ効果が{1}にアップ、突破力アップ効果が{2}にアップ。
751003023,孟獲,野性意志,HPアップ効果が{1}にアップ、突破力アップ効果が{2}にアップ。
751003024,孟獲,野性意志,HPアップ効果が{1}にアップ、突破力アップ効果が{2}にアップ。
751003025,孟獲,野性意志,HPアップ効果が{1}にアップ、突破力アップ効果が{2}にアップ。
751003031,孟獲,原始力量,突破力アップ効果が{1}にアップ。
751003032,孟獲,原始力量,突破力アップ効果が{1}にアップ、会心率アップ効果が{2}アップ。
751003033,孟獲,原始力量,突破力アップ効果が{1}にアップ、会心率アップ効果が{2}アップ。
751003034,孟獲,原始力量,突破力アップ効果が{1}にアップ、会心率アップ効果が{2}アップ。
751003035,孟獲,原始力量,突破力アップ効果が{1}にアップ、会心率アップ効果が{2}アップ。
751003041,孟獲,嗜血強攻,攻撃力アップ効果が{1}にアップ。
751003042,孟獲,嗜血強攻,攻撃力アップ効果が{1}にアップ。
751003043,孟獲,嗜血強攻,攻撃力アップ効果が{1}にアップ。
751003044,孟獲,嗜血強攻,攻撃力アップ効果が{1}にアップ。
751003045,孟獲,嗜血強攻,攻撃力アップ効果が{1}にアップ、会心率アップ効果が{2}にアップ。
751004011,甘夫人,火狐爆炸,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751004012,甘夫人,火狐爆炸,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751004013,甘夫人,火狐爆炸,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751004014,甘夫人,火狐爆炸,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751004015,甘夫人,火狐爆炸,スキルの攻撃力によるダメージ倍率が{1}にアップ、攻撃力アップ効果が{2}にアップ。
751004021,甘夫人,冷血,会心率アップ効果が{1}にアップ。
751004022,甘夫人,冷血,会心率アップ効果が{1}にアップ、攻撃力アップ効果が{2}にアップ。
751004023,甘夫人,冷血,会心率アップ効果が{1}にアップ、攻撃力アップ効果が{2}にアップ、拘束耐性アップ効果が{3}にアップ。
751004024,甘夫人,冷血,会心率アップ効果が{1}にアップ、攻撃力アップ効果が{2}にアップ、拘束耐性アップ効果が{3}にアップ。
751004025,甘夫人,冷血,会心率アップ効果が{1}にアップ、攻撃力アップ効果が{2}にアップ、拘束耐性アップ効果が{3}にアップ。
751004031,甘夫人,花噬,HPアップ効果が{1}にアップ。
751004032,甘夫人,花噬,HPアップ効果が{1}にアップ、攻撃力アップ効果が{2}にアップ。
751004033,甘夫人,花噬,HPアップ効果が{1}にアップ、攻撃力アップ効果が{2}にアップ。
751004034,甘夫人,花噬,HPアップ効果が{1}にアップ、攻撃力アップ効果が{2}にアップ。
751004035,甘夫人,花噬,HPアップ効果が{1}にアップ、攻撃力アップ効果が{2}にアップ。
751004041,甘夫人,魂牽,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751004042,甘夫人,魂牽,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751004043,甘夫人,魂牽,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751004044,甘夫人,魂牽,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751004045,甘夫人,魂牽,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751005011,周瑜,幽冥轟擊,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751005012,周瑜,幽冥轟擊,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751005013,周瑜,幽冥轟擊,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751005014,周瑜,幽冥轟擊,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751005015,周瑜,幽冥轟擊,スキルの攻撃力によるダメージ倍率が{1}にアップ、[c][01a310]石化[-][/c]させる確率が{2}にアップ。
751005021,周瑜,狐火,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751005022,周瑜,狐火,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751005023,周瑜,狐火,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751005024,周瑜,狐火,スキルの攻撃力によるダメージ倍率が{1}にアップ。
751005025,周瑜,狐火,スキルの攻撃力によるダメージ倍率が{1}にアップ、敵のブロックの減少量が{2}にアップ。
751005031,周瑜,欺詐之影,攻撃力アップ効果が{1}にアップ。
751005032,周瑜,欺詐之影,攻撃力アップ効果が{1}にアップ、HPアップ効果が{2}にアップ。
751005033,周瑜,欺詐之影,攻撃力アップ効果が{1}にアップ、HPアップ効果が{2}にアップ。
751005034,周瑜,欺詐之影,攻撃力アップ効果が{1}にアップ、HPアップ効果が{2}にアップ。
751005035,周瑜,欺詐之影,攻撃力アップ効果が{1}にアップ、HPアップ効果が{2}にアップ。
751005041,周瑜,顧曲,自身の攻撃力アップ効果が{1}にアップ。
751005042,周瑜,顧曲,自身の攻撃力アップ効果が{1}にアップ。
751005043,周瑜,顧曲,自身の攻撃力アップ効果が{1}にアップ。
751005044,周瑜,顧曲,自身の攻撃力アップ効果が{1}にアップ。
751005045,周瑜,顧曲,自身の攻撃力アップ効果が{1}にアップ、味方戦姫の攻撃力アップ効果が{2}にアップ。
751006011,孫悟空,金箍棒,スキルの攻撃力によるダメージ倍率が{1}にアップ、[c][01a310]毒[-][/c]ダメージ倍率が{2}にアップ。
751006012,孫悟空,金箍棒,スキルの攻撃力によるダメージ倍率が{1}にアップ、[c][01a310]毒[-][/c]ダメージ倍率が{2}にアップ。
751006013,孫悟空,金箍棒,スキルの攻撃力によるダメージ倍率が{1}にアップ、[c][01a310]毒[-][/c]ダメージ倍率が{2}にアップ。
751006014,孫悟空,金箍棒,スキルの攻撃力によるダメージ倍率が{1}にアップ、[c][01a310]毒[-][/c]ダメージ倍率が{2}にアップ。
751006015,孫悟空,金箍棒,スキルの攻撃力によるダメージ倍率が{1}にアップ、[c][01a310]毒[-][/c]ダメージ倍率が{2}にアップ。
751006021,孫悟空,當頭一棒,[c][01a310]気絶[-][/c]させる確率が{1}にアップ。
751006022,孫悟空,當頭一棒,[c][01a310]気絶[-][/c]させる確率が{1}にアップ。
751006023,孫悟空,當頭一棒,[c][01a310]気絶[-][/c]させる確率が{1}にアップ。
751006024,孫悟空,當頭一棒,[c][01a310]気絶[-][/c]させる確率が{1}にアップ。
751006025,孫悟空,當頭一棒,[c][01a310]気絶[-][/c]させる確率が{1}にアップ。
751006031,孫悟空,弱點擊破,ダメージアップ効果が{1}にアップ。
751006032,孫悟空,弱點擊破,ダメージアップ効果が{1}にアップ。
751006033,孫悟空,弱點擊破,ダメージアップ効果が{1}にアップ。
751006034,孫悟空,弱點擊破,ダメージアップ効果が{1}にアップ。
751006035,孫悟空,弱點擊破,ダメージアップ効果が{1}にアップ。
751006041,孫悟空,破綻,突破力アップ効果が{1}にアップ。
751006042,孫悟空,破綻,突破力アップ効果が{1}にアップ、攻撃力アップ効果が{2}にアップ。
751006043,孫悟空,破綻,突破力アップ効果が{1}にアップ、攻撃力アップ効果が{2}にアップ。
751006044,孫悟空,破綻,突破力アップ効果が{1}にアップ、攻撃力アップ効果が{2}にアップ。
751006045,孫悟空,破綻,突破力アップ効果が{1}にアップ、攻撃力アップ効果が{2}にアップ。
751007011,司馬懿,毒念爆炸,スキルの攻撃力によるダメージ倍率が{1}にアップ、[c][01a310]毒[-][/c]ダメージ倍率が{2}にアップ。
751007012,司馬懿,毒念爆炸,スキルの攻撃力によるダメージ倍率が{1}にアップ、[c][01a310]毒[-][/c]ダメージ倍率が{2}にアップ。
751007013,司馬懿,毒念爆炸,スキルの攻撃力によるダメージ倍率が{1}にアップ、[c][01a310]毒[-][/c]ダメージ倍率が{2}にアップ。
751007014,司馬懿,毒念爆炸,スキルの攻撃力によるダメージ倍率が{1}にアップ、[c][01a310]毒[-][/c]ダメージ倍率が{2}にアップ。
