id,name,notation
11001,廖化,りょうか
11002,阮籍,げんせき
11003,王平,おうへい
12001,曹洪,そうこう
12002,紀霊,きれい
12003,韓当,かんとう
13001,凌統,りょうとう
13002,ジャコランタン,
13003,馬雲リョク,ばうんりょく
14001,管輅,かんろ
14002,盧植,ろしょく
14003,田豊,でんほう
21001,夏侯玄,かこうげん
21002,程普,ていふ
21003,韓遂,かんすい
21004,曹芳,そうほう
22001,馬良,ばりょう
22002,龐会,ほうかい
22003,黄蓋,こうがい
22004,胡車児,こしゃじ
23001,張宝,ちょうほう
23002,張梁,ちょうりょう
23003,猿飛佐助,
23004,沙摩柯,しゃまか
24001,公孫瓚,こうそんさん
24002,丁奉,ていほう
24003,華雄,かゆう
24004,鍾繇,しょうよう
31001,朱然,しゅぜん
31002,玉兎,ぎょくと
31003,孔融,こうゆう
31004,王双,おうそう
31005,孫堅,そんけん
32001,郭図,かくと
32002,エドワード,
32003,何進,かしん
32004,陳登,ちんとう
32005,織田信忠,
33001,鍾会,しょうかい
33002,蒋幹,しょうかん
33003,司馬師,しばし
33004,夏侯覇,かこうは
33005,毛利元就,
34001,曹性,そうせい
34002,徐盛,じょせい
34003,蒋欽,しょうきん
34004,高順,こうじゅん
34005,梅鶯毒,ばいおうどく
35001,曹叡,そうえい
36001,嫦娥,じょうが
41001,周泰,しゅうたい
41002,赤兎,せきと
41003,馬超,ばちょう
41004,楊修,ようしゅう
41005,顔良,がんりょう
41006,禰衡,でいこう
41007,文醜,ぶんしゅう
41008,張春華,ちょうしゅんか
42001,小喬,しょうきょう
42002,典韋,てんい
42003,孫策,そんさく
42004,甄姫,しんき
42005,荀攸,じゅんゆう
42006,曹沖,そうちゅう
42007,劉禅,りゅうぜん
42008,徐晃,じょこう
43001,魯粛,ろしゅく
43002,曹休,そうきゅう
43003,王允,おういん
43004,歩練師,ほれんし
43005,文聘,ぶんぺい
43006,張角,ちょうかく
43007,魏延,ぎえん
43008,諸葛瑾,しょかつきん
44001,袁術,えんじゅつ
44002,潘鳳,はんほう
44003,歩隲,ほしつ
44004,王元姫,おうげんき
44005,馬謖,ばしょく
44006,李典,りてん
44007,何皇后,かこうごう
44008,張仲景,ちょうちゅうけい
45001,賈詡,かく
45002,王朗,おうろう
45003,李儒,りじゅ
46001,程昱,ていいく
46002,張昭,ちょうしょう
46003,法正,ほうせい
51001,周瑜,しゅうゆ
51002,張郃,ちょうこう
51003,董卓,とうたく
51004,ドラキュラ,
51005,孫悟空,そんごくう
51006,鄧艾,とうがい
51007,孟獲,もうかく
51008,千本桜,せんぼんざくら
51009,甘夫人,かんふじん
51010,司馬懿,しばい
52001,貂蝉,ちょうせん
52002,荀彧,じゅんいく
52003,夏侯惇,かこうとん
52004,曹操,そうそう
52005,趙雲,ちょううん
52006,大喬,だいきょう
52007,張飛,ちょうひ
52008,夏侯淵,かこうえん
52009,関羽,かんう
52010,曹植,そうしょく
53001,左慈,さじ
53002,偃月,えんげつ
53003,霊帝,れいてい
53004,献帝,けんてい
53005,織田信長,
53006,姜維,きょうい
53007,圖靈,
53008,豊臣秀吉,
53009,伊達政宗,
53010,方天,ほうてん
53011,黄月英,こうげつえい
54001,黄忠,こうちゅう
54002,許褚,きょちょ
54003,劉表,りゅうひょう
54004,蔡文姫,さいぶんき
54005,祝融,しゅくゆう
54006,郭氏,かくし
54007,呂蒙,りょもう
54008,諸葛亮,しょかつりょう
54009,孫尚香,そんしょうこう
54010,呂玲綺,りょれいき
55001,ワラキス,ワラキス
55002,司馬昭,しばしょう
55003,郭嘉,かくか
55004,于吉,うきつ
55005,ルシファー,
56001,水鏡,すいきょう
56002,ガブリエル,
56003,ミカエル,
56004,龐統,ほうとう
111001,廖化-BOSS,廖化-BOSS
112001,曹洪-BOSS,曹洪-BOSS
112002,紀霊-BOSS,紀霊-BOSS
113001,凌統-BOSS,凌統-BOSS
121002,程普-BOSS,程普-BOSS
123001,張宝-BOSS,張宝-BOSS
123002,張梁-BOSS,張梁-BOSS
123003,猿飛佐助-BOSS,猿飛佐助-BOSS
135001,曹叡-BOSS,曹叡-BOSS
136001,嫦娥-BOSS,嫦娥-BOSS
145001,賈詡-BOSS,賈詡-BOSS
146001,程昱-BOSS,程昱-BOSS
541001,周泰,しゅうたい
541002,赤兎,せきと
541003,馬超,ばちょう
541004,楊修,ようしゅう
541005,顔良,がんりょう
541006,禰衡,でいこう
541007,文醜,ぶんしゅう
541008,張春華,ちょうしゅんか
542001,小喬,しょうきょう
542002,典韋,てんい
542003,孫策,そんさく
542004,甄姬,しんき
542005,荀攸,じゅんゆう
542006,曹沖,そうちゅう
542007,劉禅,りゅうぜん
542008,徐晃,じょこう
543001,魯粛,ろしゅく
543002,曹休,そうきゅう
543003,王允,おういん
543004,步練師,ほれんし
543005,文聘,ぶんぺい
543006,張角,ちょうかく
543007,魏延,ぎえん
543008,諸葛瑾,しょかつきん
544001,袁術,えんじゅつ
544002,潘鳳,はんほう
544003,歩隲,ほしつ
544004,王元姫,おうげんき
544005,馬謖,ばしょく
544006,李典,りてん
544007,何皇后,かこうごう
544008,張仲景,ちょうちゅうけい
545001,賈詡,かく
545002,王朗,おうろう
545003,李儒,りじゅ
546001,程昱,ていいく
546002,張昭,ちょうしょう
546003,法正,ほうせい
651001,周瑜,しゅうゆ
651002,董卓,とうたく
651003,ドラキュラ,
651004,孫悟空,そんごくう
651005,孟獲,もうかく
651006,甘夫人,かんふじん
651007,夏侯惇,かこうとん
651008,趙雲,ちょううん
651009,大喬,だいきょう
651010,夏侯淵,かこうえん
651011,司馬懿,しばい
651012,張春華,ちょうしゅんか
651013,馬超,ばちょう
651014,楊修,ようしゅう
651015,張郃,ちょうこう
651016,鄧艾,とうがい
651017,千本桜,せんぼんざくら
652001,関羽,かんう
652002,曹植,そうしょく
652003,霊帝,れいてい
652004,織田信長,
652005,姜維,きょうい
652006,豊臣秀吉,
652007,伊達政宗,
652008,方天,ほうてん
652009,黄忠,こうちゅう
652010,許褚,きょちょ
652011,荀彧,じゅんいく
652012,甄姬,しんき
652013,貂蝉,ちょうせん
652014,曹操,そうそう
652015,孫策,そんさく
652016,徐晃,じょこう
652017,張飛,ちょうひ
653001,劉表,りゅうひょう
653002,祝融,しゅくゆう
653003,郭氏,かくし
653004,孫尚香,そんしょうこう
653005,司馬昭,しばしょう
653006,水鏡,すいきょう
653011,偃月,えんげつ
653012,張角,ちょうかく
653013,曹休,そうきゅう
653014,魏延,ぎえん
653015,献帝,けんてい
653016,左慈,さじ
653017,黄月英,こうげつえい
654011,蔡文姬,さいぶんき
654012,馬謖,ばしょく
654013,呂蒙,りょもう
654014,張仲景,ちょうちゅうけい
654015,何皇后,かこうごう
654016,諸葛亮,しょかつりょう
654017,呂玲綺,りょれいき
655011,于吉,うきつ
655012,李儒,りじゅ
655013,ルシファー,
655014,郭嘉,かくか
656011,ガブリエル,
656012,法正,ほうせい
656013,ミカエル,
656014,龐統,ほうとう
751001,董卓,とうたく
751002,ドラキュラ,
751003,孟獲,もうかく
751004,甘夫人,かんふじん
751005,周瑜,しゅうゆ
751006,孫悟空,そんごくう
751007,司馬懿,しばい
751008,張郃,ちょうこう
751009,鄧艾,とうがい
751010,千本桜,せんぼんざくら
752001,夏侯惇,かこうとん
752002,趙雲,ちょううん
752003,大喬,だいきょう
752004,夏侯淵,かこうえん
752005,関羽,かんう
752006,曹植,そうしょく
752007,荀彧,じゅんいく
752008,貂蝉,ちょうせん
752009,曹操,そうそう
752010,張飛,ちょうひ
753001,霊帝,れいてい
753002,織田信長,
753003,姜維,きょうい
753004,豊臣秀吉,
753005,伊達政宗,
753006,方天,ほうてん
753007,偃月,えんげつ
753008,献帝,けんてい
753009,左慈,さじ
753010,黄月英,こうげつえい
754001,黄忠,こうちゅう
754002,許褚,きょちょ
754003,劉表,りゅうひょう
754004,祝融,しゅくゆう
754005,郭氏,かくし
754006,孫尚香,そんしょうこう
754007,蔡文姬,さいぶんき
754008,呂蒙,りょもう
754009,諸葛亮,しょかつりょう
754010,呂玲綺,りょれいき
755001,司馬昭,しばしょう
755002,于吉,うきつ
755003,ルシファー,
755004,郭嘉,かくか
756001,水鏡,すいきょう
756002,ガブリエル,
756003,ミカエル,
756004,龐統,ほうとう
1000001,石像鬼,石像鬼
1000002,貝希摩斯,貝希摩斯
1000003,海德拉,海德拉
1000004,巴哈姆特,巴哈姆特
1000005,ボーンドラゴン,ボーンドラゴン
1000006,窮奇,窮奇
1000007,ぼんやりちゃんX,ぼんやりちゃんX
1000008,闇の教団の使徒X,闇の教団の使徒X
1000009,正直な人X,正直な人X
1000010,山師X,山師X
1000011,小悪魔X,小悪魔X
1000012,金角X,金角X
1000013,金角X,金角X
1000014,偵察兵X,偵察兵X
52011,陸遜,りくそん
652018,陸遜,りくそん
752011,陸遜,りくそん
51011,巴尼拉,
651018,巴尼拉,
751011,巴尼拉,
653018,圖靈,
753011,圖靈,
55006,以掃＆雅各,
655015,以掃＆雅各,
755005,以掃＆雅各,
56005,华佗,かだ
656015,华佗,かだ
756005,华佗,かだ
54011,赤蓮,せきれん
654018,赤蓮,せきれん
754011,赤蓮,せきれん
52012,銀月,
652019,銀月,
752012,銀月,
53012,魏延（青羽）,ぎえん（あおば）
653019,魏延（青羽）,ぎえん（あおば）
753012,魏延（青羽）,ぎえん（あおば）
52013,龍胤·曹操,そうそう（しぇんろん）
652020,龍胤·曹操,そうそう（しぇんろん）
752013,龍胤·曹操,そうそう（しぇんろん）
55007,呂布,りょふ
655016,呂布,りょふ
755006,呂布,りょふ
56006,路西菲爾,
656016,路西菲爾,
756006,路西菲爾,
53013,王異,おうい
653020,王異,おうい
753013,王異,おうい
52014,坂本龍馬,
652021,坂本龍馬,
