id,text
1,1、幽夢学園へようこそ。第一印象はいかがですか？
2,2、本ゲーム「ガールズXバトル2」について、知ったきっかけを教えてください
3,3、アニメ・漫画・ゲーム・ラノベなどの二次元コンテンツについて、あなたに最も合っている記述を選択してください
4,4、普段どのゲームをプレイしていますか？（複数選択可能）
5,5、以下のスマホゲームジャンルで、プレイしたことあるかつ慣れているのはどれですか？（複数選択可能）
6,6、スマホゲームで課金消費は合計どのくらいでしょうか？（円）
7,7、ゲームをプレイする理由を教えてくれますか？（最大2項目選択可能）
8,8、あなたの趣味を教えてくれますか？（複数選択可能）
9,9、あなたの性別を教えてくれますか？
10,10、年齢を教えてくれますか？
11,11、下記内容について、あなたに合っているのは？
12,12、ゲーム中で現在、最もお気に入りの内容を教えてくれますか？
13,あなたが「ガールズｘバトル２」をプレイしている期間は？
14,あなたのレベルは？
15,ここ二週間の「ガールズｘバトル２」をプレイした時間は？
16,ゲームのプレイ時間が少ない理由は？（複数選択可能）
17,今までプレイしてきて「ガールズｘバトル２」についてどう思いますか？
18,現在「ガールズｘバトル２」に満足しているところは何ですか？（複数選択可能）
19,現在「ガールズｘバトル２」で不満なところは何ですか？（複数選択可能）
20,ストーリーを読む時、あなたは以下のどのような状況に該当しますか？
21,新戦姫「バニラ」の以下の部分に満足していますか？
22,音楽フェスティバルイベントに参加し、よく理解できましたか？
23,音楽フェスティバルイベントの以下の内容についてどう思いましたか？
24,音楽フェスティバルのストーリーについて、以下に同意しますか？
25,音楽フェスティバルイベントに参加しなかった理由を教えてください。（複数選択可能）
26,音楽フェスティバルイベントの限定衣装について、どう思いますか？
27,典籍研究と図書館の観測者イベントに参加し、よく理解できましたか？
28,典籍研究イベントの以下の内容についてどう思いましたか？
29,メインストーリーについて、以下に同意しますか？
30,新しいストーリーの魏延の立ち絵についてどう思いますか？
31,典籍研究と図書館の観測者イベントに参加しなかった理由を教えてください。（複数選択可能）
32,ワルキューレ系衣装についてどう思いますか？（龐統：流炎鳳凰、バニラ：氷炎の書、呂玲綺：羅刹の蜂）
33,インフィニティリーグに参加し、よく理解できましたか？
34,インフィニティリーグについて、以下の内容はどう思いますか？
35,インフィニティリーグに参加しなかった理由を教えてください。（複数選択可能）
36,以下の中で「ガールズｘバトル２」について情報交換に利用したことがあるものを選択してください。（複数選択可能）
