id,title,text
1,機能説明,メインクエスト|戦姫チームを戦闘に派遣し、オートモードを開始したり、メインクエストを進めたりします。戦闘では、プレイヤーEXP、EXPドリンク、ゴールド、装備などのボーナスが獲得できます。||最上階|最上階はたくさんの敵に占領されています。敵を倒すと沢山のお弁当と強力な装備を獲得できます。一定の階数に達すると、星5戦姫も獲得できます。階数が高いほど、敵も強くなります。||競技場|競技場で他のプレイヤーに挑戦しましょう！勝利するとポイントがもらえます。さらに大量の無料ダイヤを獲得できます！||ガチャ|新しい戦姫をゲットする最も便利な方法です。大量のガチャコインを集めると、無料で戦姫を召喚できます。金の卵のエネルギーが満タンになると、星5の戦姫からランダムで一人を召喚できます。||進学|戦姫のランクをあげるためには進学する必要があります。進学で戦姫のランクを最大星6まであげることができます。必要な素材戦姫を集めると、進学で戦姫のランクをあげることができます。ランクアップした後、使用した素材戦姫に相応するEXPドリンクとお弁当が返還されます。装着中の装備もバッグに戻ります。戦姫の数が多いほど、ランクアップのチャンスも多くなります！||転校|使わない戦姫がいる場合、彼女たちを転校させることができます。戦姫の転校後、EXPドリンク、お弁当、水晶の彫刻刀、校友録などがもらえます。装着中の装備、水晶と魂器もバッグに戻ります。転校で獲得した校友録は、転校ショップで戦姫と交換できます。たまに、イベントで販売するパックに校友録も入っています。||装備合成|装備合成で低級装備を高級装備にすることができます。同じ服装セットの装備を装着すると、装備のセットステータスが有効になります。注意：装着中の装備は装備合成画面で表示されません。||自販機|販売機で販売機使用券を使うと、一定の確率で戦姫の欠片、装備、魂器、大量のゴールドやEXPドリンクが獲得できます。皆様に幸運が訪れますように！||売店|売店では定期的にEXPドリンク、お弁当、戦姫の欠片、装備、ガチャコイン、競技場チケット、販売機使用券、刻印などが登場します。||新入生募集|新入生募集で指定学部の戦姫を召喚できます！刻印を使うと、一定確率で指定された学部の星4、星5戦姫及び星4、星5戦姫の欠片が獲得できます（刻印はバイトミッション、イベントで交換、不定期のイベントパック販売で獲得できます）。毎回召喚後、人事ファイルがもらえます。一定数の人事ファイルで、戦姫を同学部の他の戦姫と交換できます。注意：辰星・修羅学部以外の星4、星5戦姫のみが交換可能です。||アルバイト|24時間ごとに戦姫ミッションを更新します。戦姫ミッションを完了すると、豊富な報酬がもらえます！ダイヤを使って戦姫ミッションのレベルを変えたり、完了までの時間を短縮したりすることができます。バイト依頼書を使うと、戦姫ミッションを増やすことができます（更新後、依頼書で増やしたミッションは消えます）。バイト依頼書はオートモードで一定確率で獲得できます。||使い魔|使い魔は戦姫たちの仲間です。飼育している使い魔を出陣させることで、バフ効果を得られ、戦闘中にアクティブスキルも使用できます。使い魔ビスケットとエッセンスビスケットで使い魔を強化・進化することが出来ます。
2,ステージ説明,総覧|戦闘地図はイージー、ノーマル、ハード、アビスの4つの難易度に分けられており、それぞれに複数のステージがあります。難易度が低い方から順番に開放されます。||ステージの開放|新しいステージに入り、一定時間探索し終わると、戦闘イベントが起こります。チーム戦闘力とプレイヤーレベルが次のステージに進む条件に達し、イベントをクリアすると、次のステージへ進めます。||エリア・地図の開放|現在エリアのステージを全クリアすると、次のエリアが開放されます。現在の難易度のステージを全クリアすると、次の難易度が開放されます。||戦闘イベント|新しいステージに入ると、対応する戦闘イベントが起こります。イベントをクリアすることにより、豊富なボーナスがもらえます。||オートモード|オートモードは時間が長いほど報酬が多くなります。オートモードの最大時間は10時間です。10時間を超えると報酬が増えませんので、必ず10時間以内に受け取ってください！||産出＆取得|ステージクリアとオートモードでプレイヤーEXP、ゴールドとEXPドリンクが獲得できます。ステージの難易度が高いほど、これらを得られる量も多くなります。VIPレベルが高いほどこれらがドロップする量も多くなります。||ドロップ＆戦利品|アイテムドロップ情報で現在ステージで獲得できるアイテムをチェックできます。オートモードの場合、一定の確率でそのステージのドロップアイテムを獲得できます。獲得したアイテムは戦利品画面でチェックできます。
3,戦闘,戦闘位置|基本的に、前列の戦姫は後列の戦姫より攻撃を受けやすくなります。戦場で生き残るには、戦姫のジョブに応じて適切な配置を心掛ける必要があります。||学部相性|戦姫の間には学部相性が存在します。戦闘の前に敵戦姫の学部に応じて味方チームを調整すると、有利に戦えます。||学部オーラ|同じ学部の戦姫6人、もしくは異なる学部の戦姫6人を出陣させると、組み合わせに応じて強力な学部オーラ効果が発動します。||戦闘の勝敗|戦闘が15ターンを超えると、攻撃側の敗北となります。15ターン以内に敵の戦姫を全員倒した場合は勝利、味方の戦姫が全員倒された場合は敗北となります。||攻撃力|戦姫の攻撃力が高いほど、攻撃時の与ダメージが大きくなります。||HP|戦姫のHPが多いほど、戦場で生き残りやすくなります。||防御力|戦姫の防御力が高いほど、被ダメージが小さくなります。||速度|各ターンの戦姫の動く順番を左右します。速度の速い戦姫のほうが、先に行動します。速度が同じ場合は、編成順が前の戦姫が先に行動します。||スキルダメージ|スキルダメージとは、スキルによるダメージのバフであり、スキルダメージ率が高いほどスキルの与ダメージが大きくなります。スキルダメージは戦姫自身の攻撃力に基づいて計算され、アクティブスキルにのみ適用されます。||ブロック|ブロック判定が発動した時、ダメージを30%軽減します。会心ダメージの場合は、ダメージを50%軽減します。||ブレイク|ブレイクは、相手のブロックの発動率を減少させます。また、ブレイク1%につき与ダメージが0.3%アップします（最大で45%までアップ）。ダメージアップ效果は攻撃力に基づいて計算されたダメージに適用されます。||会心率|会心攻撃が発生する確率。数値が高いほど、会心攻撃が発生しやすくなります。会心が発生すると、150%のダメージを与えます。パッシブスキルは会心が発生しません。||会心耐性|敵の攻撃の会心率を減少します。会心耐性が高いほど、自身が攻撃された時、敵の会心攻撃が発生し難くなります。||会心ダメージ|会心発生時の与ダメージアップ率。数値が高いほど、会心攻撃のダメージがアップします。数値の上限は150％です。||突破力|攻撃目標の防御力を一定量だけ無視できます。突破力が高いほど、無視できる防御力の数値がアップします。上限は100％。||拘束耐性|敵の拘束スキル（気絶・凍結・石化など）を回避する確率。拘束スキルの成功率とは別々に計算するので、拘束耐性が70%の敵に対して、拘束成功率が50%でも成功することがあります。||拘束強化率|敵が拘束される確率をアップさせます。さらに、敵の拘束耐性を打ち消すことができます。||ダメージ軽減|ダメージを軽減する割合。攻撃してきた者の攻撃力に基づくダメージのみ軽減できます。数値の上限は70%です。||防御貫通|防御貫通によるダメージは、敵の防御力に影響されません。ただし、敵のダメージ軽減の影響は受けます。||ダメージカット|あらゆる被ダメージを軽減します。他の軽減率とは独立で計算され、最大でダメージの70％を軽減できます。||回避|回避の成功率を左右します。成功すると、敵のアクティブスキルや通常攻撃のダメージと効果を回避します（使い魔のスキルダメージと効果は回避不可）。||エネルギー|戦闘開始時の所持エネルギーは50ptです。その後、通常攻撃を行うたびに50ptアップし、攻撃を受けるたびに10pt（会心ダメージだと20pt）アップします。所持エネルギーが100ptになると、アクティブスキルを発動できます。100ptを超えた場合は、超えた分の1ptにつき1%分スキルダメージがアップします。||エネ減耐性|敵から受けるエネルギー減少効果を軽減します。パーセンテージの数値に応じて、エネルギーの減少量が軽減されます。||戦闘中の数字の色|白は会心が発動しておらず、陣営相性が有利でない時のダメージです。黄色は会心が発動しておらず、陣営相性が有利な時のダメージです。赤は会心発生時のダメージです（相性は関係なし）。緑は受けた回復効果の量を表します。||特殊効果|「特殊効果」に分類されるスキルは、マイナス効果またはバフ効果を解除する潜在能力やスキルを以ってしても、解除できません。
4,戦姫の獲得方法,戦闘ドロップ|戦闘中オートモード、メインクエストをクリア、毎日の戦姫テスト及び最上階に参加すると、一定の確率で戦姫の欠片がもらえます。||ショップ購入|売店、販売機ショップ、転校ショップで戦姫の欠片が販売されています。||ガチャ|ガチャ画面でハート、ガチャコイン、ダイヤなどで召喚すると、新しい戦姫を獲得できます。||入学|入学で刻印を使用して召喚すると、戦姫の欠片を獲得できます。||販売機|販売機で販売機チケットを使用すると、確率で戦姫の欠片を獲得できます。||バイトミッション|バイトで一定の確率で戦姫の欠片がもらえる戦姫ミッションが現れます。戦姫ミッションを完成すると、一定数の戦姫の欠片を獲得できます。||探索|フレンドボスに勝利すると一定の確率で戦姫の欠片を獲得できます。
5,戦姫の訓練方法,戦姫レベルUP|EXPドリンクで戦姫をレベルUPさせることができます。||戦姫昇格|レベルが上限に達した戦姫は、お弁当で昇格できます。||戦姫星ランクアップ|戦姫レベルとランクが上限に達すると、進学を通じて戦姫の星ランクをアップできます。星ランクがアップするとステータスが上がる一方、レベル、装備とランクはそのまま維持されます。||戦姫覚醒|素材戦姫を使って、星6以上の戦姫を覚醒させることができます。覚醒は戦姫の星ランクとステータスをアップさせ、パッシブスキルを強化します。また、使われた素材戦姫に相応するEXPドリンクが返還されます。||装備及び魂器の装着|戦姫に装備と魂器を装着すると、戦闘力がアップします。装着する装備と魂器の星ランクと品質が高いほど、戦姫の戦闘力が高くなります。||水晶レベルアップ|戦姫の水晶をレベルアップ、または変換することで戦姫の能力を強化できます。水晶のレベルアップや変換には、一定数の彫刻刀とゴールドが必要です。||エリートスキル|星10に達した戦姫は、エリートスキルの強化で戦闘力をアップできます。エリートスキルのレベルUPには、一定数の「入門クラス資料」と「超絶クラス資料」が必要です。
6,戦姫の特性,ジョブ|戦姫のジョブには、ウォーリア、ソーサラー、レンジャー、アサシン、プリーストの5種類があります。ウォーリアはHPと防御が高く、前列でダメージを引き受けるのが得意です。ソーサラーとレンジャーはHPと防御は低いものの、攻撃力が高く複数攻撃のスキルも多いので、後列から複数の敵の体力を削るのが得意です。アサシンはHPと防御は低いですが、攻撃力が高く単独攻撃のスキルも多いので、後列から単体の敵へのダメージを稼ぐのが得意です。プリーストはHP、防御と攻撃は低いですが、回復スキルと拘束スキルが多く、後列で他の戦姫を支援することが得意です。||星ランク|戦姫にはそれぞれ星ランクが設定されており、デフォルトの最大ランクは星5となります。星ランクが高いほど基本性能が高く、スキルが強くなります。星ランクは戦姫進学と戦姫覚醒で上げることができます。||学部|戦姫の学部には、修羅、辰星、雲華、隠匿、神威、風見の6種類があります。各学部間には相性があります。雲華は隠匿に、隠匿は神威に、神威は風見に、風見は雲華に有利で、修羅と辰星は互いに有利になります。有利な学部と戦闘した戦姫は与えるダメージが30%、ブレイクが15%UPします。
7,装備と魂器,装備と魂器の品質|装備と魂器の品質は青、金、紫、緑、赤、オレンジ、ピンクの7種類あります。品質が高いほど、ステータス上のバフが多くなります。||装備と魂器の星ランク|品質が青、金の装備の星ランクは星1-2、品質が紫の装備の星ランクは星1-3、品質が緑、赤の装備の星ランクは星1-4、品質がオレンジの装備の星ランクは星1-6、品質がピンクの装備の星ランクは星1-3となります。品質が青、金の魂器の星ランクは星1-4、品質が紫、緑の魂器の星ランクは星1-5、品質が赤、オレンジの魂器の星ランクは星1-6、品質がピンクの魂器の星ランクは星1-3となります。同品質の装備と魂器は、星ランクが高いほどステータス上のバフも多くなります。||装備の合成と魂器|低品質の装備から高品質の装備を合成することができます。一定数の魂器の欠片を集めると、その品質の魂器に合成できます。||装備の獲得|オートモード、最上階、戦闘などをクリアすると、装備がドロップします。売店、精霊幻境ショップ、サークルショップ、販売機ショップで装備を購入できます。販売機でも一定の確率で装備を獲得できます。||装備セットの装着|星3以上の緑品質の装備から、装備セット効果が付くようになります。同じセットの装備を一定数装着すると、装備セットの効果が発動します。||魂器レベルアップ|余った魂器で装着中の魂器をレベルアップできます。魂器がレベルアップすると、星ランクがアップします。||魂器の獲得|オートモードで獲得、またはサークルショップで購入した魂器の欠片で魂器を合成できます。販売機でも一定の確率で魂器を獲得できます。
8,フレンド,フレンド追加|フレンド画面でIDを探索してフレンド申請を送る、おすすめフレンドを選択してフレンド申請を送る、チャットでプレイヤーのアイコンをタップしてフレンド申請を送る、サークルで部員のアイコンをタップしてフレンド申請を送る、いずれかの方法でフレンドを追加できます。||フレンド申請|申請一覧で届いたフレンド申請をチェックして、同意をタップすればフレンドの追加が完了します。||ハート|フレンドの間では、お互いにハートを送ることができます。ハートは友情ガチャで使えます。||フレンド削除|フレンド画面で、フレンドのアイコンをタップして情報詳細をチェックできます。情報詳細画面で削除をタップすれば、フレンドを削除できます。||探索|毎日フレンドボスに挑戦することができます。挑戦する時にはフレンドの協力戦姫を借りることができます。勝利すると、ダイヤ、ゴールド、戦姫の欠片などのボーナスが入手できます。毎週、自分の協力戦姫の協力回数に基づき、ボーナスが入手できます。
9,サークル,入部|サークル画面で、サークルIDあるいはサークル名を検索し、「申請」をタップして申請メッセージを送信します。許可されると入部できます。||サークル作成|サークル画面でサークルを設立できます。サークルを設立するには、一定のダイヤとプレイヤーレベルの条件を満たさなければなりません。作成後は、他のプレイヤーの申請を受け、サークルに加入させることができます。||部長任命|部長は部員リストで「部長任命」をタップすれば、他の部員を部長に任命することができます。||サークル解散|部長は部室画面で「サークル解散」をタップし、サークルを解散できます。解散を確定した2時間後、サークルは解散されます。||サークルレベル|サークル部員のデイリーログインが条件を満たすとレベルアップできます。||サークルショップ|サークルコインを使ってサークルショップで戦姫の欠片、装備、魂器の欠片などのアイテムを購入できます。||ラボ|ラボでサークルコインとゴールドを使ってサークルスキルをLvUPできます。サークルジョブスキルをレベルアップすると、対応するジョブの戦姫を強化できます。||サークル機能|サークル部員のデイリーログインで、サークルのレベルアップができます。部員のデイリーログインでサークルEXPを獲得できる回数は、部員人数が上限となります。サークル部員は体育館、食堂、グラウンドなどに参加して、サークルコインと他のボーナスを獲得できます。サークルショップで商品を購入したり、ラボでサークルスキルをレベルアップしたりすることもできます。
10,よくある質問,1.問：別のデバイスでゲームを続ける方法|答え：ゲームをダウンロードしてゲームを起動します。タイトル画面の右上にある設定ボタンをタップし、アカウント切り替えを選択し、アカウントとパスワードを入力してログインしてください。|2.問：アカウントを忘れた、アカウントが盗用された、パスワードが変更された場合の対処方法|答え：アカウントのセキュリティー問題はすぐにサービスセンターまでご連絡ください。|3.問：認証時間が超過しログインできない場合の対処方法|答え：ログインできない場合、もう一度お試しください。あるいはゲームを一旦中止して再起動してください。|4.問：ゲームがずっと更新中（check updates）でログインできない場合の対処方法　|答え：ゲームがずっと更新中（check updates）でログインできない場合、ゲームを一旦中止して再起動させてください。あるいは、ネットワーク環境を確認してください。それでも解決できない場合は、サービスセンターまでご連絡ください。|5.問：データやアカウントをなくしてしまった場合の対処方法|答え：データは異なるサーバー間で共有されません。サーバーが正しいことを確認してください。ログインしたサーバーが間違っていない場合、サービスセンターまでご連絡ください。ご連絡の際、ゲームIDと登録メールアドレスなどの情報をあわせてご提供ください。|6.問：プレイ中に頻繁に接続異常になる場合の対処方法|答え：ゲームの接続異常が頻繁に出現する場合、まずはインターネットの接続情況を確認してください。インターネットの異常がない場合、サービスセンターまでご連絡ください。|7.問：ゲームが強制終了した場合の対処方法　|答え：ゲームが強制終了した場合、まずは使用中のアプリをすべて停止させてから、もう一回ゲームを起動してみてください。再び強制終了した場合、デバイスを再起動してもう一度お試しください。あるいは、デバイスの詳細情報と強制終了問題をサービスセンターまでご報告ください。|8.問：不正行為を行ったプレイヤーを発見した場合の対処方法|答え：弊社は公平公正なゲーム環境を守るため、ゲームのBUGを利用するなどの不正行為でゲーム環境のバランスを破壊することを固く禁止しています。不正行為を行ったプレイヤーに遭遇した場合、ただちにご連絡ください。
