id,name,desc_effect_num1,desc_effect_num2,desc_effect_num3,desc_effect_num4
201,[普通黃晶Ⅰ],,,,
202,[普通黃晶Ⅱ],,,,
301,[普通紫晶Ⅰ],,,,
302,[普通紫晶Ⅱ],,,,
401,[初級紫晶Ⅰ],,,,
402,[初級紫晶Ⅱ],,,,
501,[中級紫晶Ⅰ],,,,
502,[中級紫晶Ⅱ],,,,
601,[高級紫晶Ⅰ],,,,
602,[高級紫晶Ⅱ],,,,
701,[普通綠晶Ⅰ],,,,
702,[普通綠晶Ⅱ],,,,
703,[普通綠晶Ⅲ],,,,
801,[初級綠晶Ⅰ],,,,
802,[初級綠晶Ⅱ],,,,
901,[中級綠晶Ⅰ],,,,
902,[中級綠晶Ⅱ],,,,
1001,[高級綠晶Ⅰ],,,,
1002,[高級綠晶Ⅱ],,,,
1101,[普通赤晶Ⅰ],,,,
1102,[普通赤晶Ⅱ],,,,
1103,[普通赤晶Ⅲ],,,,
1201,[初級赤晶Ⅰ],,,,
1202,[初級赤晶Ⅱ],,,,
1301,[中級赤晶Ⅰ],,,,
1302,[中級赤晶Ⅱ],,,,
1401,[高級赤晶Ⅰ],,,,
1501,[終極赤晶Ⅰ],,,,測試套裝技能描述描述描述描述描述描述描述描述描述
1601,[召喚者],,,,測試套裝技能描述描述描述描述描述描述描述描述描述
1701,[裁決者],,,,測試套裝技能描述描述描述描述描述描述描述描述描述
1801,[碎天者],,,,測試套裝技能描述描述描述描述描述描述描述描述描述
1901,[主宰者],,,,
