id,name,desc
1,ステージ1,通常ステージ。特殊ルールなし。
2,ステージ2,通常ステージ。特殊ルールなし。
3,ステージ3,通常ステージ。特殊ルールなし。
4,ステージ4,通常ステージ。特殊ルールなし。
5,ステージ5,特殊ルール：味方のレンジャー戦姫の攻撃力が50%減少する
6,ステージ6,特殊ルール：味方のプリースト戦姫の最大HPが40%減少する
7,ステージ7,特殊ルール：戦闘開始から3ターンの間、味方の戦姫が沈黙状態になる。
8,ステージ8,特殊ルール：味方戦姫の受ける治療効果が75%減少する
9,ステージ9,特殊ルール：ターン終了時に、敵のHPが各自の最大HP10%分ずつ回復する。
10,ステージ10,特殊ルール：敵があらゆるマイナス効果を回避する
11,時の渦,このステージでの1回の攻撃で与えた最大ダメージが、ランキングに反映されます。右側の詳細ボタンをタップすると、今週のランキングを確認できます。
12,ステージ1,通常ステージ。特殊ルールなし。
13,ステージ2,通常ステージ。特殊ルールなし。
14,ステージ3,通常ステージ。特殊ルールなし。
15,ステージ4,通常ステージ。特殊ルールなし。
16,ステージ5,特殊ルール：味方のソーサラー戦姫の攻撃力が50%減少する
17,ステージ6,特殊ルール：味方のウォーリア戦姫の最大HPが40%減少する
18,ステージ7,特殊ルール：同一ターン内においてアクティブスキルを使用できる味方戦姫が1体のみになる
19,ステージ8,特殊ルール：味方戦姫の攻撃で会心が発生しなくなる（会心確定の攻撃を除く）
20,ステージ9,特殊ルール：味方戦姫の攻撃力が50%減少する
21,ステージ10,特殊ルール：敵があらゆるマイナス効果を回避する
22,時の渦,このステージで1回の攻撃で与えた最大ダメージが、ランキングに反映されます。右側の詳細ボタンをタップすると、今週のランキングを確認できます。
