name,translation
MAIN_STORY,メインクエスト
MAIN_SCHOOL,学園
MAIN_ARENA,挑戦
SEVENDAY_NORMAL,[c][5c5c5c][size=42][sc][ffffff]{1}[-][/c][-][/sc]日目
SEVENDAY_AVAILABEL,[c][d76500][size=42][sc][ffffff]{1}[-][/c][-][/sc]日目
SEVEN_DAY_DES1,累計[sc][d36901]2日[/sc]ログインで[sc][d36901]星5戦姫曹操[/sc]をGET！
SEVEN_DAY_DES2,累計[sc][d36901]2日[/sc]ログインで[sc][d36901]戦姫衣装[/sc]をGET！
CONCERN_SNS_HTTP_H5,https://twitter.com/girlsxbattle2jp
NEED_GO_APPSTORE,最新バージョンにアップデートしてください
ACCOUNT_IS_BANNED,このアカウントはログインが禁止されています。
NEW_GAME_RESOURCE_LOADED,更新データがあります。ゲームを再起動してください！
CONCERN_SNS_HTTP,https://twitter.com/YumeGakuen_JP
WELFARE_LIMIT_NUM,{1}/[size=15]{2}[-]
TERMS_SERVICE_URL_UNITY_IOS,http://www.soaindo.com/article/terms_of_use
PRIVACY_POLICY_URL_UNITY_IOS,http://www.soaindo.com/article/privacy_policy
