name,translation
STAGE_NAME,ステージ{1}-{2}
BIG_MAP,マップ
YES,はい
NO,いいえ
GET,獲得
GET2,受取
TEAM,チーム
AWARD,戦利品
EQUIP,装備
ITEM,アイテム
DEBRIS,欠片
ARTIFACT,魂器
NOW_NONE,{1}がありません
NOT_SELL,売却不可
BATTLE_FORMATION_WIN,戦姫出撃
FRONT_ROW,前 列
BACK_ROW,後 列
ARTIFACT_ATTR_LIMIT,発動条件：{1}
GET_WAYS,獲得方法：
FORT_NAME_1,サーラ雲華
FORT_NAME_2,月砂の島
FORT_NAME_3,恐怖の地
FORT_NAME_4,クローム鉱山
FORT_NAME_5,忘却の氷原
FORT_NAME_6,ハイデルベルク
FORT_NAME_7,灼熱の地
FORT_NAME_8,至高天
FORT_NAME_9,サーラ雲華
FORT_NAME_10,月砂の島
FORT_NAME_11,恐怖の地
FORT_NAME_12,クローム鉱山
FORT_NAME_13,忘却の氷原
FORT_NAME_14,ハイデルベルク
FORT_NAME_15,灼熱の地
FORT_NAME_16,至高天
FORT_NAME_17,神木の森
FORT_NAME_18,亡霊の要塞
FORT_NAME_19,サーラ雲華
FORT_NAME_20,月砂の島
FORT_NAME_21,恐怖の地
FORT_NAME_22,クローム鉱山
FORT_NAME_23,忘却の氷原
FORT_NAME_24,ハイデルベルク
FORT_NAME_25,灼熱の地
FORT_NAME_26,至高天
FORT_NAME_27,神木の森
FORT_NAME_28,亡霊の要塞
FORT_NAME_29,太古の遺跡
FORT_NAME_30,隠匿風見
FORT_NAME_31,サーラ雲華
FORT_NAME_32,月砂の島
FORT_NAME_33,恐怖の地
FORT_NAME_34,クローム鉱山
FORT_NAME_35,忘却の氷原
FORT_NAME_36,ハイデルベルク
FORT_NAME_37,灼熱の地
FORT_NAME_38,至高天
FORT_NAME_39,神木の森
FORT_NAME_40,亡霊の要塞
FORT_NAME_41,太古の遺跡
FORT_NAME_42,隠匿風見
PARTNER_DETAIL_TIPS,いいですか？ステータスの数値に拘り過ぎると、大変な目に遭いますよ。
GRADE,ランク
