id,name,desc
10001,햇살 목욕,유몽 스킨 상점 교환
10002,존재의 시작,유몽 스킨 상점 교환
10003,바다의 공주,유몽 스킨 상점 교환
10004,운명의 붉은 실,유몽 스킨 상점 교환
10005,할로윈 드레스,유몽 스킨 상점 교환
10006,전장 엘리트,유몽 스킨 상점 교환
10007,풍권 마스터,유몽 스킨 상점 교환
10008,꿈나라의 앨리스,유몽 스킨 상점 교환
10009,눈의 여왕,유몽 스킨 상점 교환
10010,크리스마스 파티,유몽 스킨 상점 교환
10011,크리스마스 요정,유몽 스킨 상점 교환
10012,겨울 왕국,유몽 스킨 상점 교환
10013,프로즌 나이트,유몽 스킨 상점 교환
10014,신년 드레스,한정 이벤트
10015,허니 베이비,유몽 스킨 상점 교환
10016,핑크 스위티,유몽 스킨 상점 교환
10017,벚꽃 비,유몽 스킨 상점 교환
10018,수줍은 밤의 장미,소녀와 서약
10019,피안의 수비,소녀와 서약
10020,진홍색 키스,소녀와 서약
10021,분홍색 예찬,소녀와 서약
10022,얼음 장미의 춤,소녀와 서약
10023,화이트 로즈의 서약,소녀와 서약
10024,벚꽃 만개,유몽 스킨 상점 교환
10025,부활절 사냥꾼,유몽 스킨 상점 교환
10026,천년연가,소녀와 서약
10027,붉은 장미의 약속,소녀와 서약
10028,데굴데굴 냥이,유몽 스킨 상점 교환
10029,진성 시험관,유몽 스킨 상점 교환
10030,신위 시험관,유몽 스킨 상점 교환
10031,대나무잎 떡,한정 이벤트
10032,풍견 시험관,유몽 스킨 상점 교환
10033,썸머 브리즈,기간 한정 이벤트
10034,블루 오션,한정 이벤트
10035,수라 시험관,한정 이벤트
10036,파티 파괴자,유몽 스킨 상점 교환
10037,달콤한 여신,유몽 스킨 상점 교환
10038,파도를 가르는 검,한정 이벤트
10039,천생연분,소녀와 서약
10040,환상의 판타지,소녀와 서약
10041,오션 브리즈,한정 이벤트
10042,담화 시험관,한정 이벤트
10043,썸머 판타지,한정 이벤트
10044,순수한 벚꽃,소녀와 서약
10045,은신 시험관,한정 이벤트
10046,순수의 날개,소녀와 서약
10047,유혹의 얼굴,캐릭터 챌린지·초선
10048,정열의 깃털,소녀와 서약
10049,빛나는 그림자,소녀와 서약
10050,영혼의 음악,한정 이벤트
10051,락 콘서트,"한정 이벤트, 유몽 스킨 상점에서 교환"
10052,롤링 비트,"한정 이벤트, 유몽 스킨 상점에서 교환"
10053,저음의 포효,한정 이벤트
10054,달빛에 비친 바니,한정 이벤트
10055,악마의 벌,"한정 이벤트, 유몽 스킨 상점에서 교환"
10056,얼음과 불의 서,한정 이벤트
10057,빛나는 봉황,한정 이벤트
10058,초심,위연의 초심 미션 완성
10059,단풍 비,유몽 스킨 상점 교환
10060,풍림의 한때,한정 이벤트
10061,트릭올트릿,한정 이벤트
10062,매혹의 마녀,한정 이벤트
10063,붉은 유성,한정 이벤트
10064,슈팅스타,"한정 이벤트, 유몽 스킨 상점에서 교환"
10065,AI 구축자,한정 이벤트
10066,순수한 꽃잎,한정 이벤트
10067,청풍명월,한정 이벤트
10068,취중온천,"한정 이벤트, 유몽 스킨 상점에서 교환"
10069,취옹지의,한정 이벤트
10070,온천 요정,유몽 스킨 상점 교환
10071,푸른 작우,한정 이벤트
10072,아쿠아마린,한정 이벤트
10073,크리스마스 선물,한정 이벤트
10074,화이트 크리스마스,한정 이벤트
10075,눈토끼의 이브,한정 이벤트
10076,블리자드 검,한정 이벤트
10077,휴일 오후,한정 이벤트
10078,사자춤,한정 이벤트
10079,운명의 쌍둥이,한정 이벤트
10080,복신의 사자,한정 이벤트
10081,하트의 여왕,한정 이벤트
10082,은빛 피장미,한정 이벤트
10083,신입 바리스타,한정 이벤트
10084,유혹의 메이드,한정 이벤트
10085,죽음의 집사,한정 이벤트
10086,벚꽃의 춤,한정 이벤트
10087,벚꽃 여행,한정 이벤트
10088,쌍둥이의 행복,소녀와 서약
10089,대심판장,한정 이벤트
10090,홈런,한정 이벤트
10091,스퍼트 소녀,한정 이벤트
10092,풀 스파이크,한정 이벤트
10093,톱니바퀴 랩소디,한정 이벤트
10094,불변의 사랑,소녀와 서약
10095,달빛 환상곡,한정 이벤트
10096,핑크빛 사랑,소녀와 서약
10097,꽃다운 소녀,소녀와 서약
21001,에센스,혼기 업그레이드 시 초과된 경험치 반환
21002,컬러 분필,자동 모드 드롭
21003,의자,자동 모드 드롭
21004,초승달검,자동 모드 드롭
21005,경고등,자동 모드 드롭
21006,마법 입문서,자동 모드 드롭
22001,골드 큐브,자동 모드 드롭
22002,실버 왕관,자동 모드 드롭
22003,마녀의 저주,자동 모드 드롭
22004,만능 팩,자동 모드 드롭
22005,마법 진급 인도,자동 모드 드롭
23001,행운의 네잎 클로버,"자동 모드 드롭, 조각 합성, 슬롯 머신 사용"
23002,새총,"자동 모드 드롭, 조각 합성, 슬롯 머신 사용"
23003,눈의 정령의 키스,"자동 모드 드롭, 조각 합성, 슬롯 머신 사용"
23004,유도 검은띠,"자동 모드 드롭, 조각 합성, 슬롯 머신 사용"
23005,유도 두건,"자동 모드 드롭, 조각 합성, 슬롯 머신 사용"
24001,야구 배트,"조각 합성, 상점 구매"
24002,일본도,"조각 합성, 상점 구매"
24003,봉인된 편지,"조각 합성, 상점 구매"
24004,용의 이빨,"조각 합성, 상점 구매"
24005,연료통,"조각 합성, 상점 구매"
24006,가죽 신발,"조각 합성, 상점 구매"
24007,과일 케이크,"조각 합성, 상점 구매"
25001,엔젤 지팡이,"조각 합성, 상점 구매"
25002,불꽃 깃털,"조각 합성, 상점 구매"
25003,악마의 칼날,"조각 합성, 상점 구매"
25004,천둥 룬,"조각 합성, 상점 구매"
25005,여포의 용맹,"조각 합성, 상점 구매"
25006,레이스 스타킹,"조각 합성, 상점 구매"
25007,벚꽃 가지,"조각 합성, 상점 구매"
25008,무도회 가면,"조각 합성, 상점 구매"
25009,포커 여왕,"조각 합성, 상점 구매"
25010,눈의 정령의 도끼,"조각 합성, 상점 구매"
25011,크리스마스 트리,"조각 합성, 상점 구매"
25012,뇌신의 마음,"조각 합성, 상점 구매"
25013,슈퍼 약제,"조각 합성, 상점 구매"
25014,혼석 펜던트,"조각 합성, 상점 구매"
25015,가브리엘의 노래,"조각 합성, 상점 구매"
25016,악마의 편지,"조각 합성, 상점 구매"
25017,운명의 십자,"조각 합성, 상점 구매"
25018,정령의 왕관,"조각 합성, 상점 구매"
25019,고양이 후드,"조각 합성, 상점 구매"
25020,가터벨트,"조각 합성, 상점 구매"
25021,비치 발리볼,"조각 합성, 상점 구매"
25022,하트 피어싱,"조각 합성, 상점 구매"
25023,매직 블럭,"조각 합성, 상점 구매"
25024,시간의 모래,"조각 합성, 상점 구매"
25025,우아한 나이트,"조각 합성, 상점 구매"
25026,대립,"조각 합성, 상점 구매"
25027,마음의 열쇠,"조각 합성, 상점 구매"
26001,대교의 축복,조각 합성
26002,영혼의 향로,조각 합성
