id,get_chapter,get_url,get_url_h5
1,제 1화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_1_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_01x_ko_kr.png?width=720&height=1753
2,제 2화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_2_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_2x_ko_kr.png?width=720&height=1753
3,제 3화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_3_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_3x_ko_kr.png?width=720&height=1753
4,제 4화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_4_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_4x_ko_kr.png?width=720&height=1753
5,제 5화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_5_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_5x_ko_kr.png?width=720&height=1753
6,제 6화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_6_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_6x_ko_kr.png?width=720&height=1753
7,제 7화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_7_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_7x_ko_kr.png?width=720&height=1753
8,제 8화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_8_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_8x_ko_kr.png?width=720&height=1753
9,제 9화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_9_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_9x_ko_kr.png?width=720&height=1753
10,제 10화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_10_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_10x_ko_kr.png?width=720&height=1753
11,제 11화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_11_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_11x_ko_kr.png?width=720&height=1753
12,제 12화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_12_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_12x_ko_kr.png?width=720&height=1753
13,제 13화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_13_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_13x_ko_kr.png?width=720&height=1753
14,제 14화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_14_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_14x_ko_kr.png?width=720&height=1753
15,제 15화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_15_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_15x_ko_kr.png?width=720&height=1753
16,제 16화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_16_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_16x_ko_kr.png?width=720&height=1753
17,제 17화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_17_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_17x_ko_kr.png?width=720&height=1753
18,제 18화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_18_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_18x_ko_kr.png?width=720&height=1753
19,제 19화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_19_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_19x_ko_kr.png?width=720&height=1753
20,제 20화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_20_ko_kr_unity.png?width=730&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_20x_ko_kr.png?width=720&height=1753
21,제 21화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_21_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_21x_ko_kr.png?width=720&height=1753
22,제 22화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_22_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_22x_ko_kr.png?width=720&height=1753
23,제 23화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_23_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_23x_ko_kr.png?width=720&height=1753
24,제 24화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_24_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_24x_ko_kr.png?width=720&height=1753
25,제 25화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_25_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_25x_ko_kr.png?width=720&height=1753
26,제 26화,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_26_ko_kr_unity.png?width=720&height=1753,https://yottacdn.akamaized.net/carolpfres/common/assets/upload/img/115/manga_26x_ko_kr.png?width=720&height=1753
