id,name,text
1,학교 앞,자동 획득
2,학교 앞 (한밤중),자동 획득
3,학교 뒤,레벨 30 달성
34,학교 풍경,자동 획득
4,손인짱의 학부 강좌,자동 획득
5,조조,자동 획득
6,교실,자동 획득
7,루시퍼,자동 획득
8,여몽,자동 획득
9,미카엘,자동 획득
10,입학식,자동 획득
11,여름 축제,자동 획득
12,학원 축제,자동 획득
13,주유,자동 획득
14,해변에서의 휴식,직접 구매 가능
15,교회,1명의 소녀와 서약
16,운동장,학원 리그 50회 승리
17,드라큘라의 성,6성 이상의 드라큘라 획득
18,은신 학부,메인 스토리 챕터 3 클리어
19,은신 학부,5명의 은신 학부 소녀 획득
20,신위 학부,5명의 신위 학부 소녀 획득
21,풍견 학부,5명의 풍견 학부 소녀 획득
22,담화 학부,5명의 담화 학부 소녀 획득
23,수라 학부,5명의 수라 학부 소녀 획득
24,진성 학부,5명의 진성 학부 소녀 획득
25,은신 학부의 검은 날개,메인 스토리 챕터 3 클리어
26,단체 사진,메인 스토리 챕터 4 클리어
27,재탄생,캐릭터 챌린지·방통 클리어
28,영원한 맹세,"다음 소녀와 서약합니다：미카엘, 루시퍼, 사마의, 제갈량, 위연, 등애, 조조, 드라큘라."
29,기념 파티,해제 조건 없음
30,여름 해변,해제 조건 없음
31,크리스마스 밤,해제 조건 없음
32,계시의 빛,해제 조건 없음
33,해피 뉴이어,해제 조건 없음
35,샤이닝 스타,해제 조건 없음
36,풍화기려,해제 조건 없음
37,산속 온천,해제 조건 없음
38,운명의 쌍둥이,이사우&야곱의 캐릭터 챌린지 챕터 10 클리어
39,따뜻한 크리스마스,해제 조건 없음
40,경자년 새해,해제 조건 없음
41,유몽 체육 대회의 추억,해제 조건 없음
42,2주년 케이크,한정 이벤트-카니발 퍼즐
43,심쿵 대작전의 추억,해제 조건 없음
44,은신 학부,은신 학부 소녀 도감 45개 해제
45,신위 학부,신위 학부 소녀 도감 45개 해제
46,풍견 학부,풍견 학부 소녀 도감 45개 해제
47,담화 학부,담화 학부 소녀 도감 45개 해제
48,수라 학부,수라 학부 소녀 도감 18개 해제
49,진성 학부,진성 학부 소녀 도감 18개 해제
50,숲 (밤),해제 조건 없음
51,숲,해제 조건 없음
52,별과 하늘 사이,메인 스토리 챕터 11 클리어
53,우로보로스 대도서관,메인 스토리 챕터 12 클리어
54,도장,학원 리그 승리 100회\n진도：{1}/100
55,여름 축제,메인 스토리 챕터 4 클리어
56,해변에서의 휴식,해제 조건 없음
57,위험한 밤,해제 조건 없음
58,훈훈한 크리스마스,해제 조건 없음
59,새해 축복,해제 조건 없음
60,침실,캐릭터 챌린지·위연 클리어
61,연락 다리,캐릭터 챌린지·이사우&야곱 클리어
62,기숙사 내,메인 스토리 챕터 2 클리어
63,실험실,캐릭터 챌린지·제갈량 클리어
64,훈련장,캐릭터 챌린지·방통 클리어
65,입학 파티장(외),메인 스토리 챕터 13 클리어
66,축하파티,해제 조건 없음
