1,name,enter_dialog,click_dialog1,click_dialog2,click_dialog3,click_dialog4,click_dialog5,click_dialog6,chosen_dialog1
1,상점,돈을 넣어주시면 당신의 얘기를 들어드릴게요.,돈만 있으면 못할 일이 없답니다.,손님 주문은 어떻게 하시겠어요? 어? 손님이 아니구나…… 그럼 돌아가세요.,돈만 있으면 못할 일이 없답니다.,손님 주문은 어떻게 하시겠어요? 어? 손님이 아니구나……그럼 돌아가세요.,월급을 위해서!,,월급을 위해서!
2,슬롯 머신 상점,뭐가 좋을까나?,나랑 바꾸지 않을래? 네가 생각지도 못한 물건도 있단다~!,할인권? 그런거 발행한 기억이 없는데! 무효야 무효~,나랑 바꾸지 않을래? 네가 생각지도 못한 물건도 있단다~!,할인권? 그런거 발행한 기억이 없는데! 무효야 무효~,나랑 바꾸지 않을래? 네가 생각지도 못한 물건도 있단다~!,,"돈이 되는 거라면, 어디든 있지, 무엇이든 팔고~"
3,일반 슬롯 머신,운은 최고의 실력~ 아~ 안믿는다구?,내 귀 잡아 당기지 마! 저리 가! 싫어!,운은 최고의 실력~ 아~ 안믿는다구?,내 귀 잡아 당기지 마! 저리 가! 싫어!,잇츠 쇼 타임마~,운은 최고의 실력~ 아~ 안믿는다구?,,It's show time~
4,프리미엄 슬롯 머신,"제 마음을 담은 선물이에요.선물을 열어주세요, 주인님!","자기 전에 양말 준비해놔, 잊으면 안 돼요! 몰래 선물 넣어둘 거니까.",나쁜 아이에게는 선물을 안준다구~,"제 마음을 담은 선물이에요.선물을 열어주세요, 주인님!","자기 전에 양말 준비해놔, 잊으면 안 돼요! 몰래 선물 넣어둘 거니까.",나쁜 아이에게는 선물을 안준다구~,,소원을 빌어봐!
5,신입생 모집,지식은 최고의 자산!,조용히 해! 수업 중이야!,나중에 테스트 결과를 보여줄게. 발전이 없다면 바로 벌을 줄 거야!,"지금 힘들게 배운 지식들이, 나중에는 큰 도움이 될거야.",나중에 테스트 결과를 보여줄게. 발전이 없다면 바로 벌을 줄 거야!,"지금 힘들게 배운 지식들이, 나중에는 큰 도움이 될거야.",,중요한 순간에는 자신의 지식에 의존해야하니까.
6,매점,어서오세요! 필요하신거 있으면 불러주세요~,여기 구매 리스트입니다. 꼼꼼하게 확인해보세요~,제가 도와드릴게요~,여기 구매 리스트입니다. 꼼꼼하게 확인해보세요~,제가 도와드릴게요~,어서오세요! 필요하신거 있으면 불러주세요~,,여기 구매 리스트입니다. 꼼꼼하게 확인해보세요~
7,책의 정령 성역 상점,뭐가 좋을까나?,너~ 나랑 거래하지 않을래? 네가 생각지도 못한걸 가지고 있다구~,할인권? 그런거 발행한 기억이 없는데! 무효야 무효~,너~ 나랑 거래하지 않을래? 네가 생각지도 못한걸 가지고 있다구~,할인권? 그런거 발행한 기억이 없는데! 무효야 무효~,너~ 나랑 거래하지 않을래? 네가 생각지도 못한걸 가지고 있다구~,,"돈이 되는 거라면, 어디든 있지, 무엇이든 팔고~"
8,새로운 책의 정령 성역 입구,이번엔 어떤 장소일까요?,대도서관에 이런 장소가 있다니! 몰랐어요!,지금은 책의 정령의 10% 정도의 능력을 쓸 수 있어요~,책의 정령의 힘이 안정되어 있지 않기 때문에 사용한 후에 매번 쉬지 않으면 안된답니다!,책의 정령의 힘이 안정되어 있지 않기 때문에 사용한 후에 매번 쉬지 않으면 안된답니다!,지금은 책의 정령의 10% 정도의 능력을 쓸 수 있어요~,,대도서관에 이런 장소가 있다니! 몰랐어요!
9,동아리 상점(원술),우울하다... 내 재산을 어떻게 하면 다 쓸 수 있지. 누군가 대신 써줄 사람 없나~,우울하다... 내 재산을 어떻게 하면 다 쓸 수 있지. 누군가 대신 써줄 사람 없나~,우울하다... 내 재산을 어떻게 하면 다 쓸 수 있지. 누군가 대신 써줄 사람 없나~,돈벼락~,돈벼락~,돈벼락~,,돈벼락~
10,토너먼트 상점(사마소),어서오세요! 필요하신거 있으면 불러주세요~,여기 구매 리스트입니다. 꼼꼼하게 확인해보세요~,내가 도와줄게~,여기 구매 리스트입니다. 꼼꼼하게 확인해보세요~,내가 도와줄게~,어서오세요! 필요하신거 있으면 불러주세요~,,여기 구매 리스트입니다. 꼼꼼하게 확인해보세요~
31,교환 상점용 장합,"어머 교환권이 많은 것 같지 않니? 어때, 뭐 교환해 갈래?","하…… 조조의 씀씀이는 너무 헤퍼요. 내가 없으면, 어떻게 조직을 운영할거야…… 무슨 조직이냐고? 비밀~","왜? 왜 날 쳐다봐? 카드 게임을 하고 싶니? 좋아, 나를 이길 수 있다면 할인해줄게~ 흐흐흐 농담이야! 나한테 할인해주는 권한 없거든.","슬롯 머신을 즐길 수 있는게 부럽네. 나? 어차피 제일 좋은것만 나오니까, 이젠 큰 기쁨도 못 느끼게 되더라고.","기계에서 상품을 받는 것보다 직접 누군가로부터 받은 전리품이 더 좋아. 뭔가 걸지 않을래, 선배?","하긴, 분명 한 번 진 적이 있었어…… 그래도 그 실패는 성공의 어머니잖아?",,"후후, 보는 눈이 있군요. 이로써 목표에 한발 더 다가섰어……"
32,교환 상점용 곽환,"앗 선배다~ 여행 도중에 발견한 재미있는 물건들이 있으니, 교환해요~",여행 후 휴식은 중요해! 그리고 잘 쉬고나서 다음 여행을 떠나는 거야!,"응~ 여행의 자극적인 느낌도 좋지만, 역시 학원으로 돌아온 후의 안정감도 좋아!","우리 허저는는 무엇을 하고 있을까? 앗 괜찮아, 분명 온실에 있을 거니까, 여기 볼일 끝나면 만나러 갈게~","가는 것과 돌아오는 것은 둘 다 중요해! 여행에서 돌아온 후 누군가 ""돌아왔네""라고 하지 않으면, 여행이라고 할 수 없지! 선배도 선배를 기다리는 사람이 있죠?","제갈량 선배의 말대로 수집한 물건을 모두에게 교환시켰더니, 아주 인기있었어! 모두에게 도움이 될 수 있어서 기뻐!",,앗 그건 내 보물이니까 잘 간직해야해!
40,소녀 교환 상점용 고순,환영합니다! 오늘은 무엇을 찾으세요?,선도위원회에 맡겨진 첫 단독 임무에요. 선배님의 기대에 부응하겠습니다!,"아직 선도위원에 가입한지 얼마 되지 않았으니 만약 뭔가 잘못한 점이 있다면, 많은 지도 부탁드립니다!","선배님들은 선배님이 해야 할 일이 있으니, 가게 보는 임무를 나에게 부탁했겠지... 음? 선배들이 카페에서 얘기하고 있네? 음... 뭐... 중요하게 상의할 일이 있는 거겠지!",선배님이 이번 학원 테스트에서 상당히 좋은 활약을 했어요! 나도 나중에 참가할 자격이 생길까...?,"후... 앗! 보, 보고! 현재 이상무! 음, 미카엘 회장이 아니었구나... 놀래라... 넋 나간 모습을 들킨다면.... 상상만 해도 끔찍해",,여기 선배가 부탁하신거에요.필요하시면 다시 오세요!
44,교환 상점용 제갈량,어서오세요~ 학생회 한정 판매 상품이 많이 있으니 보고가세요~,학생 회장인데 가게까지 봐야하고…… 나 요즘 일이 너무 많은거 아닌가?,기본적으로 학생회는 학생들이 상점가에서 마음대로 가게를 오픈하도록 권장하는데 아무래도 요즘 몇몇 가게들이 좀 수상한 것 같아……,마음에 드는 거 없으세요? 천천히 골라보세요~ 맘에 드는게 제일 중요하니까요.,학생회가 만든 상점의 이익은 학원을 짓는 데 쓰는 거야. 선배도 도와주러 와야 해 히히. 도망쳐도 소용없어. 이미 내가 리스트에 이름 올려놨으니까~,"응…… 이번 만남은 이렇게 문제 없는거로~ 다음은... 아! 실례합니다, 선배. 고르셨나요?",나랑 수다 떨어줘서 고마워~,"자, 선배가 원하는 물건, 이미 포장해 놨어요. 이걸 살 줄 알았거든."
